corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,11d11.0,52,82099,0,66,4837,0
gdc,11d11.0,52,82099,0,4845,18904,0
gdc,11d11.0,52,82099,0,18912,53381,0
gdc,11d11.0,52,82099,0,53390,62529,0
gdc,11d11.0,52,82099,0,62536,68967,0
gdc,11d11.0,52,82099,0,68975,72517,0
gdc,11d11.0,52,82099,0,72525,82099,0
gdc,11d11.0,82108,162157,0,82123,93067,0
gdc,11d11.0,82108,162157,0,93075,101909,0
gdc,11d11.0,82108,162157,0,101918,123132,0
gdc,11d11.0,82108,162157,0,101946,105510,0
gdc,11d11.0,82108,162157,0,105516,113236,0
gdc,11d11.0,82108,162157,0,113244,123132,0
gdc,11d11.0,82108,162157,0,123141,144026,0
gdc,11d11.0,82108,162157,0,144032,162157,0
gdc,11d11.0,162168,230422,0,162183,192735,0
gdc,11d11.0,162168,230422,0,192744,210869,0
gdc,11d11.0,162168,230422,0,210878,230422,0
gdc,11d11.0,230431,277709,0,230446,244706,0
gdc,11d11.0,230431,277709,0,244712,263945,0
gdc,11d11.0,230431,277709,0,263951,277709,0
gdc,11d11.0,277719,317681,0,277734,281228,0
gdc,11d11.0,277719,317681,0,281237,286591,0
gdc,11d11.0,277719,317681,0,286597,289902,0
gdc,11d11.0,277719,317681,0,289911,295382,0
gdc,11d11.0,277719,317681,0,295390,299377,0
gdc,11d11.0,277719,317681,0,299385,309176,0
gdc,11d11.0,277719,317681,0,309184,317681,0
