corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11d2m.0,342,473,_Stage,_Stage,Gartenplatz,NN,gartenplatz,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,",","$,",--,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,mit,APPR,mit,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Hermen,NN,herm,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,der,ART,der,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,epischen,ADJA,episch,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Dichter,NN,dichter,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,geziert,VVPP,zieren,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Vorn,ADV,vorn,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,an,APPR,an,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,der,ART,der,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Szene,NN,szene,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,zur,APPRART,zu,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Rechten,NN,recht,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Virgil,NE,virgil,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,",","$,",--,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,zur,APPRART,zu,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Linken,NN,linke,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Ariost,NE,ariost,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Prinzessin,NN,prinzessin,30412,,(0)
gdc,11d2m.0,342,473,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,342,473,_Stage,_Stage,Leonore,NE,leonore,30412,,(1)
gdc,11d2m.0,342,473,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,Sie,PPER,sie,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,kränzt,VVFIN,kränzen,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,die,ART,der,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,Herme,NN,herm,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,Virgils,NE,virgil,30412,,
gdc,11d2m.0,1179,1208,Prinzessin,prinzessin,.,$.,--,30412,,
gdc,11d2m.0,1307,1334,Leonore,leonore,Sie,PPER,sie,30412,,
gdc,11d2m.0,1307,1334,Leonore,leonore,kränzt,VVFIN,kränzen,30412,,
gdc,11d2m.0,1307,1334,Leonore,leonore,Ariostens,NE,ariostens,30412,,
gdc,11d2m.0,1307,1334,Leonore,leonore,Herme,NE,herme,30412,,
gdc,11d2m.0,1307,1334,Leonore,leonore,.,$.,--,30412,,
gdc,11d2m.0,11009,11029,_Stage,_Stage,Die,ART,der,30412,,
gdc,11d2m.0,11009,11029,_Stage,_Stage,Vorigen,NN,vorige,30412,,
gdc,11d2m.0,11009,11029,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,11009,11029,_Stage,_Stage,Alfons,NE,alfons,30412,,(2)
gdc,11d2m.0,11009,11029,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,17047,17070,Prinzessin,prinzessin,nach,APPR,nach,30412,,
gdc,11d2m.0,17047,17070,Prinzessin,prinzessin,der,ART,der,30412,,
gdc,11d2m.0,17047,17070,Prinzessin,prinzessin,Szene,NN,szene,30412,,
gdc,11d2m.0,17047,17070,Prinzessin,prinzessin,gekehrt,VVPP,kehren,30412,,
gdc,11d2m.0,17047,17070,Prinzessin,prinzessin,.,$.,--,30412,,
gdc,11d2m.0,17443,17462,_Stage,_Stage,Die,ART,der,30412,,
gdc,11d2m.0,17443,17462,_Stage,_Stage,Vorigen,NN,vorige,30412,,
gdc,11d2m.0,17443,17462,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,17443,17462,_Stage,_Stage,Tasso,NE,tasso,30412,,(3)
gdc,11d2m.0,17443,17462,_Stage,_Stage,.,$.,--,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,mit,APPR,mit,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,einem,ART,ein,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,Buche,NN,buch,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,in,APPR,in,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,Pergament,NE,pergament,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,geheftet,VVPP,heften,30412,,
gdc,11d2m.0,17470,17508,Tasso,tasso,.,$.,--,30412,,
gdc,11d2m.0,17998,18019,Tasso,tasso,Er,PPER,er,30412,,
gdc,11d2m.0,17998,18019,Tasso,tasso,übergibt,VVFIN,übergeben,30412,,
gdc,11d2m.0,17998,18019,Tasso,tasso,den,ART,der,30412,,
gdc,11d2m.0,17998,18019,Tasso,tasso,Band,NN,band,30412,,
gdc,11d2m.0,17998,18019,Tasso,tasso,.,$.,--,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,Auf,APPR,auf,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,die,ART,der,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,Herme,NN,herm,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,Virgils,NE,virgil,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,deutend,ADJD,deutend,30412,,
gdc,11d2m.0,21166,21196,Alfons,alfons,.,$.,--,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Alfons,NE,alfons,30412,,(2)
gdc,11d2m.0,21567,21679,Alfons,alfons,winkt,VVFIN,winken,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,seiner,PPOSAT,sein,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Schwester,NN,schwester,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,",","$,",--,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,sie,PPER,sie,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,nimmt,VVFIN,nehmen,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,den,ART,der,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Kranz,NN,kranz,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,von,APPR,von,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,der,ART,der,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Büste,NN,büst,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Virgils,NE,virgil,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,und,KON,und,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,nähert,VVFIN,nähern,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,sich,PRF,sich,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Tasso,NE,tasso,30412,,(3)
gdc,11d2m.0,21567,21679,Alfons,alfons,.,$.,--,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,Er,PPER,er,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,tritt,VVFIN,treten,30412,,
gdc,11d2m.0,21567,21679,Alfons,alfons,zurück,PTKVZ,zurück,30412,,
