corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11f81.0,316,516,Clavigo,clavigo,Das,ART,der,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Blatt,NN,blatt,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,wird,VAFIN,werden,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,eine,ART,ein,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,gute,ADJA,gut,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Wirkung,NN,wirkung,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,tun,VVINF,tun,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,es,PPER,es,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,muß,VMFIN,müssen,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,alle,PIAT,aller,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Weiber,NN,weiber,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,bezaubern,VVINF,bezaubern,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,.,$.,--,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Sag,XY,sag,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,mir,PPER,sich,17692,clavigo,(0)
gdc,11f81.0,316,516,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Carlos,NE,carlos,17692,carlos,(1)
gdc,11f81.0,316,516,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,glaubst,VVFIN,glauben,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,du,PPER,du,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,nicht,PTKNEG,nicht,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,daß,KOUS,daß,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,meine,PPOSAT,mein,17692,clavigo,(0)
gdc,11f81.0,316,516,Clavigo,clavigo,Wochenschrift,NN,wochenschrift,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,jetzt,ADV,jetzt,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,eine,PIS,einer,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,der,ART,der,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,ersten,ADJA,erster,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,in,APPR,in,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,Europa,NE,europa,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,ist,VAFIN,sein,17692,,
gdc,11f81.0,316,516,Clavigo,clavigo,?,$.,--,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Wir,PPER,wir,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Spanier,NN,spanier,17692,,
gdc,11f81.0,521,699,Carlos,carlos,wenigstens,ADV,wenigstens,17692,,
gdc,11f81.0,521,699,Carlos,carlos,haben,VAFIN,haben,17692,,
gdc,11f81.0,521,699,Carlos,carlos,keinen,PIAT,kein,17692,,
gdc,11f81.0,521,699,Carlos,carlos,neueren,ADJA,neu,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Autor,NN,autor,17692,,
gdc,11f81.0,521,699,Carlos,carlos,",","$,",--,17692,,
gdc,11f81.0,521,699,Carlos,carlos,der,ART,der,17692,,
gdc,11f81.0,521,699,Carlos,carlos,so,ADV,so,17692,,
gdc,11f81.0,521,699,Carlos,carlos,viel,PIAT,viel,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Stärke,NN,stärke,17692,,
gdc,11f81.0,521,699,Carlos,carlos,des,ART,der,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Gedankens,NN,gedanke,17692,,
gdc,11f81.0,521,699,Carlos,carlos,",","$,",--,17692,,
gdc,11f81.0,521,699,Carlos,carlos,so,ADV,so,17692,,
gdc,11f81.0,521,699,Carlos,carlos,viel,PIAT,viel,17692,,
gdc,11f81.0,521,699,Carlos,carlos,blühende,ADJA,blühend,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Einbildungskraft,NN,einbildungskraft,17692,,
gdc,11f81.0,521,699,Carlos,carlos,mit,APPR,mit,17692,,
gdc,11f81.0,521,699,Carlos,carlos,einem,ART,ein,17692,,
gdc,11f81.0,521,699,Carlos,carlos,so,ADV,so,17692,,
gdc,11f81.0,521,699,Carlos,carlos,glänzenden,ADJA,glänzend,17692,,
gdc,11f81.0,521,699,Carlos,carlos,und,KON,und,17692,,
gdc,11f81.0,521,699,Carlos,carlos,leichten,ADJA,leicht,17692,,
gdc,11f81.0,521,699,Carlos,carlos,Stil,NN,stil,17692,,
gdc,11f81.0,521,699,Carlos,carlos,verbände,VVFIN,verband,17692,,
gdc,11f81.0,521,699,Carlos,carlos,.,$.,--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Laß,KOUS,lassen,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,mich,PPER,mich,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,"!",$.,--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Ich,PPER,ich,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,muß,VMFIN,müssen,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,unter,APPR,unter,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,dem,ART,der,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Volke,NN,volke,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,noch,ADV,noch,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,der,ART,der,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Schöpfer,NN,schöpfer,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,des,ART,der,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,guten,ADJA,gut,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Geschmacks,NN,geschmack,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,werden,VAINF,werden,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,.,$.,--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Die,ART,der,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Menschen,NN,mensch,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,sind,VAFIN,sein,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,willig,ADJD,willig,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,allerlei,PIAT,allerlei,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Eindrücke,NN,eindruck,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,anzunehmen,VVIZU,annehmen,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,;,$.,--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,ich,PPER,ich,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,habe,VAFIN,haben,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,einen,ART,ein,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Ruhm,NN,ruhm,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,ein,ART,ein,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,Zutrauen,NN,zutrauen,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,unter,APPR,unter,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,meinen,PPOSAT,mein,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,Mitbürgern,NN,mitbürger,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,;,$.,--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,und,KON,und,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,unter,APPR,unter,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,uns,PPER,uns,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,gesagt,VVPP,sagen,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,meine,PPOSAT,mein,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,Kenntnisse,NN,kenntnis,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,breiten,VVFIN,breiten,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,sich,PRF,sich,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,täglich,ADJD,täglich,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,aus,PTKVZ,aus,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,",","$,",--,17692,,
gdc,11f81.0,704,1062,Clavigo,clavigo,meine,PPOSAT,mein,17692,clavigo,(0)
gdc,11f81.0,704,1062,Clavigo,clavigo,Empfindungen,NN,empfindung,17692,,
