corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Ist,VAFIN,sein,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,es,PPER,es,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,erlaubt,VVPP,erlauben,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,",","$,",--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,so,ADV,so,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,zerstreut,VVPP,zerstreuen,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,zu,PTKZU,zu,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,sein,VAINF,sein,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,?,$.,--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,gute,ADJA,gut,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Gesellschaft,NN,gesellschaft,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,zu,PTKZU,zu,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,fliehen,VVINF,fliehen,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,",","$,",--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,seinen,PPOSAT,sein,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Freunden,NN,freund,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,die,ART,der,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Lust,NN,lust,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,traulicher,ADJA,traulich,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Stunden,NN,stunde,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,zu,PTKZU,zu,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,verderben,VVINF,verderben,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,?,$.,--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Glauben,VVFIN,glauben,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Sie,PPER,sie,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,",","$,",--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,daß,KOUS,daß,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,wir,PPER,wir,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,scherzen,VVINF,scherzen,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,und,KON,und,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,genießen,VVINF,genießen,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,können,VMINF,können,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,",","$,",--,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,wenn,KOUS,wenn,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,unser,PPOSAT,unser,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Wirt,NN,wirt,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,den,ART,der,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,Tisch,NN,tisch,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,verläßt,VVFIN,verlassen,29216,,
gdc,11g5f.0,1048,1688,Die Marquise,die_marquise,",","$,",--,29216,,
