corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,11g9w.0,brackenburg,7,
gdc,11g9w.0,buyck,2,
gdc,11g9w.0,oranien,24,
gdc,11g9w.0,ein_anderer_b,15,
gdc,11g9w.0,ein_anderer_d,18,
gdc,11g9w.0,zimmermeister,9,
gdc,11g9w.0,egmont,22,
gdc,11g9w.0,einige_andere_mehrere_das_volk_andere,30,
gdc,11g9w.0,ein_anderer_c,17,
gdc,11g9w.0,regentin,4,
gdc,11g9w.0,sekretaer,23,
gdc,11g9w.0,jetter,1,
gdc,11g9w.0,ein_buerger_b,14,
gdc,11g9w.0,ein_buerger_c,16,
gdc,11g9w.0,ein_buerger_a,12,
gdc,11g9w.0,alle_1-1,29,
gdc,11g9w.0,seifensieder,10,
gdc,11g9w.0,mutter,8,
gdc,11g9w.0,soest,0,
gdc,11g9w.0,machiavell,5,
gdc,11g9w.0,anderer_buerger_a,13,
gdc,11g9w.0,buerger_d,19,
gdc,11g9w.0,ruysum,3,
gdc,11g9w.0,ein_anderer_e,20,
gdc,11g9w.0,klare_klaerchen,6,
gdc,11g9w.0,silva,25,
gdc,11g9w.0,alba,28,
gdc,11g9w.0,vansen,11,
gdc,11g9w.0,ferdinand,27,
gdc,11g9w.0,gomez,26,
gdc,11g9w.0,ein_anderer_f,21,
