corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Ihr,PPER,ihr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,denkt,VVFIN,denken,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,ihr,PPOSAT,ihr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Herrn,NN,herr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,ich,PPER,ich,3934,einsiedler,(0)
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,bin,VAFIN,sein,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,allein,ADV,allein,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Weil,KOUS,weil,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,ich,PPER,ich,3934,einsiedler,(0)
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,nicht,PTKNEG,nicht,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,mag,VMFIN,mögen,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,in,APPR,in,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Städten,NN,stadt,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,sein,VAINF,sein,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,.,$.,--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Ihr,PPER,ihr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,irrt,VVFIN,irren,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,euch,PPER,euch,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,liebe,ADJA,lieb,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Herren,NN,herr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,mein,PPOSAT,mein,3934,einsiedler,(0)
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,"!",$.,--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Ich,PPER,ich,3934,einsiedler,(0)
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,hab,VVFIN,hab,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,mich,PRF,mich,3934,einsiedler,(0)
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,nicht,PTKNEG,nicht,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,hierher,ADV,hierher,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,begeben,VVPP,begeben,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Weil,KOUS,weil,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,sie,PPER,sie,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,in,APPR,in,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Städten,NN,stadt,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,so,ADV,so,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,ruchlos,ADJD,ruchlos,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,leben,VVINF,leben,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Und,KON,und,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,alle,PIS,aller,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,wandeln,VVFIN,wandeln,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,nach,APPR,nach,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,ihrem,PPOSAT,ihr,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Trieb,NN,trieb,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Der,ART,der,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Schmeichler,NE,schmeichler,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,",","$,",--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Heuchler,NE,heuchler,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,und,KON,und,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,der,ART,der,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Dieb,NN,dieb,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,:,$.,--,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,Das,PDS,der,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,hätt,VVFIN,hätt,3934,,
gdc,11gn9.0,96,2227,Einsiedler,einsiedler,mich,PPER,mich,3934,einsiedler,(0)
