corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11h60.0,136,314,Merkurius,merkurius,Charon,NE,charon,4543,charon,(1)
gdc,11h60.0,136,314,Merkurius,merkurius,"!",$.,--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,he,XY,--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,",","$,",--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Charon,NE,charon,4543,charon,(1)
gdc,11h60.0,136,314,Merkurius,merkurius,"!",$.,--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Mach,PROAV,mach,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,",","$,",--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,daß,KOUS,daß,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,du,PPER,du,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,rüberkommst,VVFIN,rüberkommsen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,.,$.,--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Geschwind,NN,geschwind,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,"!",$.,--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Meine,PPOSAT,mein,4543,merkurius,(0)
gdc,11h60.0,136,314,Merkurius,merkurius,Leutchen,NN,leutchen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,da,ADV,da,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,beklagen,VVFIN,beklagen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,sich,PRF,sich,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,zum,APPRART,zu,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Erbarmen,NN,erbarmen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,",","$,",--,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,wie,PWAV,wie,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,ihnen,PPER,ihnen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,das,ART,der,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Gras,NN,gras,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,die,ART,der,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Füße,NN,fuß,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,netzt,VVFIN,netzen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,und,KON,und,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,sie,PPER,sie,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,den,ART,der,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,Schnuppen,NN,schnuppe,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,kriegen,VVFIN,kriegen,4543,,
gdc,11h60.0,136,314,Merkurius,merkurius,.,$.,--,4543,,
gdc,11h60.0,319,418,Charon,charon,Saubre,NE,saubr,4543,,
gdc,11h60.0,319,418,Charon,charon,Nation,NE,nation,4543,,
gdc,11h60.0,319,418,Charon,charon,"!",$.,--,4543,,
gdc,11h60.0,319,418,Charon,charon,Woher,PWAV,woher,4543,,
gdc,11h60.0,319,418,Charon,charon,?,$.,--,4543,,
gdc,11h60.0,319,418,Charon,charon,Das,PDS,der,4543,,
gdc,11h60.0,319,418,Charon,charon,ist,VAFIN,sein,4543,,
gdc,11h60.0,319,418,Charon,charon,einmal,ADV,einmal,4543,,
gdc,11h60.0,319,418,Charon,charon,wieder,ADV,wieder,4543,,
gdc,11h60.0,319,418,Charon,charon,von,APPR,von,4543,,
gdc,11h60.0,319,418,Charon,charon,der,ART,der,4543,,
gdc,11h60.0,319,418,Charon,charon,rechten,ADJA,rechter,4543,,
gdc,11h60.0,319,418,Charon,charon,Rasse,NN,rasse,4543,,
gdc,11h60.0,319,418,Charon,charon,.,$.,--,4543,,
gdc,11h60.0,319,418,Charon,charon,Die,PDS,der,4543,,
gdc,11h60.0,319,418,Charon,charon,könnten,VMFIN,können,4543,,
gdc,11h60.0,319,418,Charon,charon,immer,ADV,immer,4543,,
gdc,11h60.0,319,418,Charon,charon,leben,VVINF,leben,4543,,
gdc,11h60.0,319,418,Charon,charon,.,$.,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Droben,NN,drobe,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,reden,VVFIN,reden,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,sie,PPER,sie,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,umgekehrt,ADJD,umgekehrt,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,.,$.,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Doch,KON,doch,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,mit,APPR,mit,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,allem,PIS,alle,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,dem,PDS,der,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,war,VAFIN,sein,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,das,ART,der,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Paar,NN,paar,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,nicht,PTKNEG,nicht,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,unangesehen,ADJD,unangesehen,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,auf,APPR,auf,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,der,ART,der,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Oberwelt,NN,oberwelt,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,.,$.,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Dem,ART,der,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Herrn,NN,herr,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Literator,NN,literator,4543,literator,(3)
gdc,11h60.0,423,666,Merkurius,merkurius,hier,ADV,hier,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,fehlt,VVFIN,fehlen,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,nichts,PIS,nichts,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,als,KOKOM,als,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,seine,PPOSAT,sein,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Perücke,NN,perücke,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,und,KON,und,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,seine,PPOSAT,sein,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Bücher,NN,buch,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,und,KON,und,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,der,ART,der,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Megäre,NN,megäre,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,da,ADV,da,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,nur,ADV,nur,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Schminke,NN,schminke,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,und,KON,und,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Dukaten,NN,dukat,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,.,$.,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,Wie,PWAV,wie,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,steht,VVFIN,stehen,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,',$(,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,s,PPER,--,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,drüben,VVINF,drüben,4543,,
gdc,11h60.0,423,666,Merkurius,merkurius,?,$.,--,4543,,
gdc,11h60.0,671,748,Charon,charon,Nimm,VVIMP,nimm,4543,,
gdc,11h60.0,671,748,Charon,charon,dich,PPER,dich,4543,,
gdc,11h60.0,671,748,Charon,charon,in,APPR,in,4543,,
gdc,11h60.0,671,748,Charon,charon,acht,CARD,acht,4543,,
gdc,11h60.0,671,748,Charon,charon,",","$,",--,4543,,
gdc,11h60.0,671,748,Charon,charon,sie,PPER,sie,4543,,
gdc,11h60.0,671,748,Charon,charon,haben,VAFIN,haben,4543,,
gdc,11h60.0,671,748,Charon,charon,dir,PPER,dir,4543,,
gdc,11h60.0,671,748,Charon,charon,',$(,--,4543,,
gdc,11h60.0,671,748,Charon,charon,s,PPER,--,4543,,
gdc,11h60.0,671,748,Charon,charon,geschworen,VVPP,schwören,4543,,
gdc,11h60.0,671,748,Charon,charon,",","$,",--,4543,,
gdc,11h60.0,671,748,Charon,charon,wenn,KOUS,wenn,4543,,
gdc,11h60.0,671,748,Charon,charon,du,PPER,du,4543,,
gdc,11h60.0,671,748,Charon,charon,hinüberkommst,VVFIN,hinübkommsen,4543,,
gdc,11h60.0,671,748,Charon,charon,.,$.,--,4543,,
gdc,11h60.0,753,770,Merkurius,merkurius,Wieso,PWAV,wieso,4543,,
gdc,11h60.0,753,770,Merkurius,merkurius,?,$.,--,4543,,
gdc,11h60.0,775,959,Charon,charon,Admet,NE,admet,4543,admet,(5)
gdc,11h60.0,775,959,Charon,charon,und,KON,und,4543,,
gdc,11h60.0,775,959,Charon,charon,Alceste,NE,alcest,4543,alceste,(4)
gdc,11h60.0,775,959,Charon,charon,sind,VAFIN,sein,4543,,
gdc,11h60.0,775,959,Charon,charon,übel,ADJD,übel,4543,,
gdc,11h60.0,775,959,Charon,charon,auf,APPR,auf,4543,,
gdc,11h60.0,775,959,Charon,charon,dich,PPER,dich,4543,,
gdc,11h60.0,775,959,Charon,charon,zu,PTKZU,zu,4543,,
gdc,11h60.0,775,959,Charon,charon,sprechen,VVINF,sprechen,4543,,
gdc,11h60.0,775,959,Charon,charon,",","$,",--,4543,,
gdc,11h60.0,775,959,Charon,charon,am,APPRART,an,4543,,
gdc,11h60.0,775,959,Charon,charon,ärgsten,ADJA,arg,4543,,
gdc,11h60.0,775,959,Charon,charon,Euripides,NN,euripide,4543,euripides,(2)
