corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,11hdv.0,292,336,Postmeisterin,postmeisterin,Karl,NE,karl,15813,,
gdc,11hdv.0,292,336,Postmeisterin,postmeisterin,"!",$.,--,15813,,
gdc,11hdv.0,292,336,Postmeisterin,postmeisterin,Karl,NE,karl,15813,,
gdc,11hdv.0,292,336,Postmeisterin,postmeisterin,"!",$.,--,15813,,
gdc,11hdv.0,340,358,Der Junge,der_junge,Was,PWS,was,15813,,
gdc,11hdv.0,340,358,Der Junge,der_junge,is,PPER,--,15813,,
gdc,11hdv.0,340,358,Der Junge,der_junge,?,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Wo,PWAV,wo,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,hat,VAFIN,haben,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,dich,PPER,dich,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,der,ART,der,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Henker,NN,henker,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,wieder,ADV,wieder,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,?,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Geh,XY,geh,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,hinaus,APZR,hinaus,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,;,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,der,ART,der,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Postwagen,NN,postwagen,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,kommt,VVFIN,kommen,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,.,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Führ,ADV,führ,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,die,ART,der,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Passagiers,NN,passagier,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,herein,PTKVZ,herein,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,",","$,",--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,trag,VVFIN,trag,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,ihnen,PPER,ihnen,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,das,ART,der,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Gepäck,NN,gepäck,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,;,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,rühr,ADV,rühr,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,dich,PPER,dich,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,"!",$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Machst,VVFIN,machst,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,du,PPER,du,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,wieder,ADV,wieder,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,ein,ART,ein,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Gesicht,NN,gesicht,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,?,$.,--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Wart,VVIMP,wart,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,",","$,",--,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,ich,PPER,ich,15813,postmeisterin,(0)
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,will,VMFIN,wollen,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,dir,PPER,dir,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,dein,VAINF,dein,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,muffig,ADJD,muffig,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,Wesen,NN,wesen,15813,,
gdc,11hdv.0,363,893,Postmeisterin,postmeisterin,vertreiben,VVINF,vertreiben,15813,,
