corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,ger000486,591,777,_Stage,_Stage,Madam,NE,madam,5705,,(0
gdc,ger000486,591,777,_Stage,_Stage,Braun,NE,braun,5705,,0)
gdc,ger000486,591,777,_Stage,_Stage,",","$,",--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,(,$(,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,auf,APPR,auf,5705,,
gdc,ger000486,591,777,_Stage,_Stage,dem,ART,der,5705,,
gdc,ger000486,591,777,_Stage,_Stage,Catheder,NN,catheder,5705,,
gdc,ger000486,591,777,_Stage,_Stage,",","$,",--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,giebt,VVFIN,gieben,5705,,
gdc,ger000486,591,777,_Stage,_Stage,Unterricht,NE,unterricht,5705,,
gdc,ger000486,591,777,_Stage,_Stage,und,KON,und,5705,,
gdc,ger000486,591,777,_Stage,_Stage,ist,VAFIN,sein,5705,,
gdc,ger000486,591,777,_Stage,_Stage,von,APPR,von,5705,,
gdc,ger000486,591,777,_Stage,_Stage,allen,PIS,aller,5705,,
gdc,ger000486,591,777,_Stage,_Stage,ihren,PPOSAT,ihr,5705,,
gdc,ger000486,591,777,_Stage,_Stage,Pensionairs,NN,pensionair,5705,,
gdc,ger000486,591,777,_Stage,_Stage,umgeben,VVPP,umgeben,5705,,
gdc,ger000486,591,777,_Stage,_Stage,;,$.,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,die,ART,der,5705,,
gdc,ger000486,591,777,_Stage,_Stage,wenigsten,PIAT,wenigster,5705,,
gdc,ger000486,591,777,_Stage,_Stage,derselben,PDS,derselbe,5705,,
gdc,ger000486,591,777,_Stage,_Stage,haben,VAFIN,haben,5705,,
gdc,ger000486,591,777,_Stage,_Stage,Acht,CARD,acht,5705,,
gdc,ger000486,591,777,_Stage,_Stage,auf,APPR,auf,5705,,
gdc,ger000486,591,777,_Stage,_Stage,die,ART,der,5705,,
gdc,ger000486,591,777,_Stage,_Stage,Lection,NN,lection,5705,,
gdc,ger000486,591,777,_Stage,_Stage,;,$.,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,sie,PPER,sie,5705,,
gdc,ger000486,591,777,_Stage,_Stage,plaudern,VVFIN,plaudern,5705,,
gdc,ger000486,591,777,_Stage,_Stage,",","$,",--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,sie,PPER,sie,5705,,
gdc,ger000486,591,777,_Stage,_Stage,necken,VVFIN,necken,5705,,
gdc,ger000486,591,777,_Stage,_Stage,sich,PRF,sich,5705,,
gdc,ger000486,591,777,_Stage,_Stage,",","$,",--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,u,KON,u,5705,,
gdc,ger000486,591,777,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,s,PPER,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,w,XY,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,591,777,_Stage,_Stage,),$(,--,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,man,PIS,man,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,hört,VVFIN,hören,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,eine,ART,ein,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,Uhr,NN,uhr,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,drey,ADJD,drey,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,schlagen,VVINF,schlagen,5705,,
gdc,ger000486,2577,2610,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,(,$(,--,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,indem,KOUS,indem,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,sie,PPER,sie,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,die,ART,der,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,Bücher,NN,buch,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,wegwerfen,VVINF,wegwerfen,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,und,KON,und,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,davon,PROAV,davon,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,laufen,VVINF,laufen,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,.,$.,--,5705,,
gdc,ger000486,2634,2684,Alle Pensionairs,alle_pensionairs,),$(,--,5705,,
gdc,ger000486,2747,2756,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,2747,2756,Madam Braun,madam_braun,allein,ADV,allein,5705,,
gdc,ger000486,2747,2756,Madam Braun,madam_braun,.,$.,--,5705,,
gdc,ger000486,2747,2756,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,Maulwurf,NE,maulwurf,5705,,(4)
gdc,ger000486,2863,2907,_Stage,_Stage,(,$(,--,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,ein,ART,ein,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,wenig,ADV,wenig,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,betrunken,VVPP,betrunken,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,),$(,--,5705,,
gdc,ger000486,2863,2907,_Stage,_Stage,Madam,NE,madam,5705,,(0
gdc,ger000486,2863,2907,_Stage,_Stage,Braun,NE,braun,5705,,0)
gdc,ger000486,2863,2907,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,Sie,PPER,sie,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,sieht,VVFIN,sehen,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,den,ART,der,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,Titel,NN,titel,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,an,PTKVZ,an,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,.,$.,--,5705,,
gdc,ger000486,3728,3753,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,4407,4421,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,4407,4421,Madam Braun,madam_braun,Maulwurf,NN,maulwurf,5705,,(4)
gdc,ger000486,4407,4421,Madam Braun,madam_braun,ab,PTKVZ,ab,5705,,
gdc,ger000486,4407,4421,Madam Braun,madam_braun,.,$.,--,5705,,
gdc,ger000486,4407,4421,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,4436,4444,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,4436,4444,Madam Braun,madam_braun,allein,ADV,allein,5705,,
gdc,ger000486,4436,4444,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,Sie,PPER,sie,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,findet,VVFIN,finden,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,einen,ART,ein,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,Strickstrumpf,NN,strickstrumpf,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,",","$,",--,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,den,PRELS,der,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,sie,PPER,sie,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,verbirgt,VVFIN,verbergen,5705,,
gdc,ger000486,4599,4649,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,4753,4772,_Stage,_Stage,Rose,NE,rose,5705,,(5)
gdc,ger000486,4753,4772,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,4753,4772,_Stage,_Stage,Madame,FM,--,5705,,
gdc,ger000486,4753,4772,_Stage,_Stage,Braun,FM,braun,5705,,
gdc,ger000486,4753,4772,_Stage,_Stage,.,$.,--,5705,,
gdc,ger000486,4780,4808,Rose,rose,(,$(,--,5705,,
gdc,ger000486,4780,4808,Rose,rose,überbringt,VVFIN,überbringen,5705,,
gdc,ger000486,4780,4808,Rose,rose,ihr,PPER,ihr,5705,,
gdc,ger000486,4780,4808,Rose,rose,einen,ART,ein,5705,,
gdc,ger000486,4780,4808,Rose,rose,Brief,NN,brief,5705,,
gdc,ger000486,4780,4808,Rose,rose,),$(,--,5705,,
gdc,ger000486,6290,6313,Maulwurf,maulwurf,(,$(,--,5705,,
gdc,ger000486,6290,6313,Maulwurf,maulwurf,indem,KOUS,indem,5705,,
gdc,ger000486,6290,6313,Maulwurf,maulwurf,er,PPER,er,5705,,
gdc,ger000486,6290,6313,Maulwurf,maulwurf,fortstolpert,VVFIN,fortstolpern,5705,,
gdc,ger000486,6290,6313,Maulwurf,maulwurf,),$(,--,5705,,
gdc,ger000486,6438,6447,Madam Braun,madam_braun,(,$(,--,5705,,
gdc,ger000486,6438,6447,Madam Braun,madam_braun,zu,APPR,zu,5705,,
gdc,ger000486,6438,6447,Madam Braun,madam_braun,Rose,NE,rose,5705,,(5)
gdc,ger000486,6438,6447,Madam Braun,madam_braun,),$(,--,5705,,
gdc,ger000486,6902,6916,Maulwurf,maulwurf,(,$(,--,5705,,
gdc,ger000486,6902,6916,Maulwurf,maulwurf,kommt,VVFIN,kommen,5705,,
