corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,ger000488,437,24963,0,451,5053,0
gdc,ger000488,437,24963,0,5060,13017,0
gdc,ger000488,437,24963,0,13025,20501,0
gdc,ger000488,437,24963,0,20508,24963,0
gdc,ger000488,24970,52971,0,24985,35162,0
gdc,ger000488,24970,52971,0,35169,42238,0
gdc,ger000488,24970,52971,0,42245,43212,0
gdc,ger000488,24970,52971,0,43219,45439,0
gdc,ger000488,24970,52971,0,45446,52971,0
gdc,ger000488,52978,94827,0,53013,54627,0
gdc,ger000488,52978,94827,0,54634,60346,0
gdc,ger000488,52978,94827,0,60353,63909,0
gdc,ger000488,52978,94827,0,63916,68285,0
gdc,ger000488,52978,94827,0,68293,71978,0
gdc,ger000488,52978,94827,0,71985,75972,0
gdc,ger000488,52978,94827,0,75979,81310,0
gdc,ger000488,52978,94827,0,81317,86463,0
gdc,ger000488,52978,94827,0,86470,90160,0
gdc,ger000488,52978,94827,0,90164,94827,0
gdc,ger000488,94833,135043,0,94848,97539,0
gdc,ger000488,94833,135043,0,97547,106203,0
gdc,ger000488,94833,135043,0,106210,115834,0
gdc,ger000488,94833,135043,0,115841,117704,0
gdc,ger000488,94833,135043,0,117712,121436,0
gdc,ger000488,94833,135043,0,121443,127262,0
gdc,ger000488,94833,135043,0,127269,132135,0
gdc,ger000488,94833,135043,0,132142,135043,0
gdc,ger000488,135050,163637,0,135065,138708,0
gdc,ger000488,135050,163637,0,138715,141691,0
gdc,ger000488,135050,163637,0,141698,146654,0
gdc,ger000488,135050,163637,0,146661,150443,0
gdc,ger000488,135050,163637,0,150450,153066,0
gdc,ger000488,135050,163637,0,153071,158504,0
gdc,ger000488,135050,163637,0,158511,163637,0
