corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,ger000496,353,443,_stage,361,367,Ehlert,ehlert
gdc,ger000496,445,576,werner_wahrsagerin,473,477,Mich,werner_wahrsagerin
gdc,ger000496,800,1028,werner_wahrsagerin,808,811,Ich,werner_wahrsagerin
gdc,ger000496,800,1028,werner_wahrsagerin,910,913,mir,werner_wahrsagerin
gdc,ger000496,800,1028,werner_wahrsagerin,941,944,mir,werner_wahrsagerin
gdc,ger000496,800,1028,werner_wahrsagerin,978,982,mich,werner_wahrsagerin
gdc,ger000496,1033,1379,ehlert,1068,1071,ich,ehlert
gdc,ger000496,1033,1379,ehlert,1097,1100,ich,ehlert
gdc,ger000496,1033,1379,ehlert,1262,1265,ich,ehlert
gdc,ger000496,1033,1379,ehlert,1267,1270,Ich,ehlert
gdc,ger000496,1033,1379,ehlert,1349,1354,meine,ehlert
gdc,ger000496,1384,1439,werner_wahrsagerin,1415,1418,ich,werner_wahrsagerin
gdc,ger000496,1444,1656,ehlert,1452,1455,Ich,ehlert
gdc,ger000496,1444,1656,ehlert,1502,1505,mir,ehlert
gdc,ger000496,1444,1656,ehlert,1540,1543,ich,ehlert
gdc,ger000496,1444,1656,ehlert,1576,1579,ich,ehlert
gdc,ger000496,1444,1656,ehlert,1602,1605,mir,ehlert
gdc,ger000496,1444,1656,ehlert,1626,1629,ich,ehlert
gdc,ger000496,1734,1873,ehlert,1764,1767,ich,ehlert
gdc,ger000496,1734,1873,ehlert,1849,1852,ich,ehlert
gdc,ger000496,1989,2059,werner_wahrsagerin,2010,2013,ich,werner_wahrsagerin
gdc,ger000496,2235,2327,werner_wahrsagerin,2259,2262,Ich,werner_wahrsagerin
gdc,ger000496,2235,2327,werner_wahrsagerin,2286,2289,ich,werner_wahrsagerin
gdc,ger000496,2369,2805,werner_wahrsagerin,2717,2720,Ich,werner_wahrsagerin
gdc,ger000496,2369,2805,werner_wahrsagerin,2783,2786,ich,werner_wahrsagerin
gdc,ger000496,2810,2938,ehlert,2833,2836,mir,ehlert
gdc,ger000496,2810,2938,ehlert,2864,2867,mir,ehlert
gdc,ger000496,2943,3118,werner_wahrsagerin,2951,2954,Ich,werner_wahrsagerin
gdc,ger000496,2943,3118,werner_wahrsagerin,2977,2980,mir,werner_wahrsagerin
gdc,ger000496,3474,3515,werner_wahrsagerin,3482,3485,Ich,werner_wahrsagerin
gdc,ger000496,3520,3814,ehlert,3551,3554,ich,ehlert
gdc,ger000496,3520,3814,ehlert,3659,3664,Julie,julie
gdc,ger000496,4196,4554,werner_wahrsagerin,4236,4239,ich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4267,4270,ich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4308,4311,ich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4360,4363,ich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4475,4478,ich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4484,4488,mich,werner_wahrsagerin
gdc,ger000496,4196,4554,werner_wahrsagerin,4537,4540,mir,werner_wahrsagerin
gdc,ger000496,4559,4723,ehlert,4578,4581,ich,ehlert
gdc,ger000496,4559,4723,ehlert,4623,4626,ich,ehlert
gdc,ger000496,4728,4750,werner_wahrsagerin,4736,4739,Ich,werner_wahrsagerin
gdc,ger000496,4755,4820,ehlert,4770,4773,Ich,ehlert
gdc,ger000496,5234,5371,werner_wahrsagerin,5253,5259,Ehlert,ehlert
gdc,ger000496,5234,5371,werner_wahrsagerin,5283,5286,ich,werner_wahrsagerin
gdc,ger000496,5398,5718,werner_wahrsagerin,5664,5667,mir,werner_wahrsagerin
gdc,ger000496,5398,5718,werner_wahrsagerin,5701,5704,ich,werner_wahrsagerin
gdc,ger000496,5763,5891,werner_wahrsagerin,5788,5791,ich,werner_wahrsagerin
gdc,ger000496,5763,5891,werner_wahrsagerin,5865,5871,meiner,werner_wahrsagerin
gdc,ger000496,5919,6182,werner_wahrsagerin,5927,5932,Julie,julie
gdc,ger000496,5919,6182,werner_wahrsagerin,5940,5944,mich,werner_wahrsagerin
gdc,ger000496,5919,6182,werner_wahrsagerin,6015,6018,mir,werner_wahrsagerin
gdc,ger000496,5919,6182,werner_wahrsagerin,6064,6067,ich,werner_wahrsagerin
gdc,ger000496,6207,6317,werner_wahrsagerin,6247,6250,mir,werner_wahrsagerin
gdc,ger000496,6322,6450,ehlert,6330,6333,Ich,ehlert
gdc,ger000496,6322,6450,ehlert,6356,6359,ich,ehlert
gdc,ger000496,6322,6450,ehlert,6405,6408,ich,ehlert
gdc,ger000496,7003,7325,werner_wahrsagerin,7095,7098,ich,werner_wahrsagerin
gdc,ger000496,7003,7325,werner_wahrsagerin,7200,7203,Ich,werner_wahrsagerin
gdc,ger000496,7003,7325,werner_wahrsagerin,7244,7247,ich,werner_wahrsagerin
gdc,ger000496,7003,7325,werner_wahrsagerin,7300,7303,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7637,7640,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7660,7663,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7689,7692,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7702,7708,meiner,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7776,7779,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7847,7850,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7859,7865,meinen,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,7934,7937,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,8046,8049,ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,8174,8177,Ich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,8199,8203,mich,werner_wahrsagerin
gdc,ger000496,7625,8364,werner_wahrsagerin,8239,8245,meinem,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8501,8504,Ich,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8632,8635,mir,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8679,8682,ich,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8683,8686,mir,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8724,8727,ich,werner_wahrsagerin
gdc,ger000496,8454,8771,werner_wahrsagerin,8745,8748,ich,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,8826,8829,ich,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,8937,8940,ich,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,9003,9006,mir,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,9018,9021,ich,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,9066,9069,ich,werner_wahrsagerin
gdc,ger000496,8809,9261,werner_wahrsagerin,9179,9182,ich,werner_wahrsagerin
gdc,ger000496,9355,9600,werner_wahrsagerin,9525,9528,mir,werner_wahrsagerin
gdc,ger000496,10026,10123,ehlert,10041,10044,mir,ehlert
gdc,ger000496,10026,10123,ehlert,10057,10060,ich,ehlert
