corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,ger000588,435,931,Waker,waker,Mir,PPER,sich,6886,waker,(0)
gdc,ger000588,435,931,Waker,waker,gehts,ADV,gehts,6886,,
gdc,ger000588,435,931,Waker,waker,verteufelt,VVPP,verteufeln,6886,,
gdc,ger000588,435,931,Waker,waker,"!",$.,--,6886,,
gdc,ger000588,435,931,Waker,waker,–,XY,–,6886,,
gdc,ger000588,435,931,Waker,waker,Bruder,NN,bruder,6886,,
gdc,ger000588,435,931,Waker,waker,"!",$.,--,6886,,
gdc,ger000588,435,931,Waker,waker,die,ART,der,6886,,
gdc,ger000588,435,931,Waker,waker,Schuldner,NN,schuldner,6886,,
gdc,ger000588,435,931,Waker,waker,plagen,VVFIN,plagen,6886,,
gdc,ger000588,435,931,Waker,waker,mich,PPER,mich,6886,waker,(0)
gdc,ger000588,435,931,Waker,waker,–,APPR,–,6886,,
gdc,ger000588,435,931,Waker,waker,der,ART,der,6886,,
gdc,ger000588,435,931,Waker,waker,Wechsel,NN,wechsel,6886,,
gdc,ger000588,435,931,Waker,waker,bleibt,VVFIN,bleiben,6886,,
gdc,ger000588,435,931,Waker,waker,aus,PTKVZ,aus,6886,,
gdc,ger000588,435,931,Waker,waker,",","$,",--,6886,,
gdc,ger000588,435,931,Waker,waker,–,TRUNC,–,6886,,
gdc,ger000588,435,931,Waker,waker,und,KON,und,6886,,
gdc,ger000588,435,931,Waker,waker,wenn,KOUS,wenn,6886,,
gdc,ger000588,435,931,Waker,waker,er,PPER,er,6886,,
gdc,ger000588,435,931,Waker,waker,auch,ADV,auch,6886,,
gdc,ger000588,435,931,Waker,waker,kommt,VVFIN,kommen,6886,,
gdc,ger000588,435,931,Waker,waker,;,$.,--,6886,,
gdc,ger000588,435,931,Waker,waker,so,ADV,so,6886,,
gdc,ger000588,435,931,Waker,waker,kann,VMFIN,können,6886,,
gdc,ger000588,435,931,Waker,waker,ich,PPER,ich,6886,waker,(0)
gdc,ger000588,435,931,Waker,waker,kaum,ADV,kaum,6886,,
gdc,ger000588,435,931,Waker,waker,die,ART,der,6886,,
gdc,ger000588,435,931,Waker,waker,Hälfte,NN,hälfte,6886,,
gdc,ger000588,435,931,Waker,waker,meiner,PPOSAT,mein,6886,waker,(0)
gdc,ger000588,435,931,Waker,waker,Schulden,NN,schuld,6886,,
gdc,ger000588,435,931,Waker,waker,bezahlen,VVINF,bezahlen,6886,,
gdc,ger000588,435,931,Waker,waker,.,$.,--,6886,,
gdc,ger000588,435,931,Waker,waker,Das,PDS,der,6886,,
