corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,ger000595,stockknecht_lorenz,9,
gdc,ger000595,anne,1,
gdc,ger000595,der_junge,13,
gdc,ger000595,stockmeister,3,
gdc,ger000595,pasquillant,15,
gdc,ger000595,stadt-syndicus,10,
gdc,ger000595,therese,2,
gdc,ger000595,christoph,4,
gdc,ger000595,hof-cavalier,12,
gdc,ger000595,unterofficier,7,
gdc,ger000595,frau_von_broschalka,21,
gdc,ger000595,jacob,5,
gdc,ger000595,baron_broschalka,20,
gdc,ger000595,mariane,0,
gdc,ger000595,der_juengere_carl,19,
gdc,ger000595,sophie,8,
gdc,ger000595,der_tischler,22,
gdc,ger000595,fuerst,11,
gdc,ger000595,general,14,
gdc,ger000595,arrestant_mutowsky,6,
gdc,ger000595,kammerherr,16,
gdc,ger000595,das_maedchen_sophie,17,
gdc,ger000595,der_aeltere_ferdinand,18,
