corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,jkjf.0,15507,15717,_stage,15512,15520,Dietrich,dietrich
gdc,jkjf.0,15507,15717,_stage,15540,15545,Erich,erich
gdc,jkjf.0,15507,15717,_stage,15547,15558,Helldrungen,helldrungen
gdc,jkjf.0,15507,15717,_stage,15635,15645,Ein Knappe,ein_knappe
gdc,jkjf.0,15853,16023,dietrich,15863,15874,Helldrungen,helldrungen
gdc,jkjf.0,15853,16023,dietrich,15914,15917,ich,dietrich
gdc,jkjf.0,15853,16023,dietrich,15940,15946,meiner,dietrich
gdc,jkjf.0,16209,16408,dietrich,16311,16314,mir,dietrich
gdc,jkjf.0,16426,16445,_stage,16438,16444,Gräfin,graefin
gdc,jkjf.0,16447,16514,graefin,16502,16513,Helldrungen,helldrungen
gdc,jkjf.0,16519,16582,helldrungen,16532,16535,Ich,helldrungen
gdc,jkjf.0,16587,17005,dietrich,16682,16685,ich,dietrich
gdc,jkjf.0,16587,17005,dietrich,16709,16714,Erich,erich
gdc,jkjf.0,16587,17005,dietrich,16874,16879,Erich,erich
gdc,jkjf.0,17010,17108,graefin,17042,17045,ich,graefin
gdc,jkjf.0,17189,17339,graefin,17312,17315,ich,graefin
gdc,jkjf.0,17482,17614,graefin,17568,17571,mir,graefin
gdc,jkjf.0,17802,17861,dietrich,17835,17842,Gerlind,gerlind
gdc,jkjf.0,17866,17901,graefin,17885,17888,ich,graefin
gdc,jkjf.0,17919,17987,_stage,17927,17935,Liborius,liborius
gdc,jkjf.0,17919,17987,_stage,17941,17948,Rüdiger,ruediger
gdc,jkjf.0,18073,18451,dietrich,18109,18114,meine,dietrich
gdc,jkjf.0,18456,18961,liborius,18497,18505,Dietrich,dietrich
gdc,jkjf.0,18456,18961,liborius,18855,18862,Rüdiger,ruediger
gdc,jkjf.0,20444,20562,helldrungen,20476,20479,ich,helldrungen
gdc,jkjf.0,20444,20562,helldrungen,20491,20497,meinen,helldrungen
gdc,jkjf.0,20567,21025,ruediger,20978,20984,Münzer,muenzer
gdc,jkjf.0,21130,21415,graefin,21145,21151,Münzer,muenzer
gdc,jkjf.0,22351,22750,erich,22396,22407,Helldrungen,helldrungen
gdc,jkjf.0,22351,22750,erich,22433,22436,ich,erich
gdc,jkjf.0,22351,22750,erich,22437,22440,mir,erich
gdc,jkjf.0,22755,23965,dietrich,22773,22776,mir,dietrich
gdc,jkjf.0,22755,23965,dietrich,23017,23023,Münzer,muenzer
gdc,jkjf.0,22755,23965,dietrich,23032,23035,ich,dietrich
gdc,jkjf.0,22755,23965,dietrich,23088,23091,ich,dietrich
gdc,jkjf.0,22755,23965,dietrich,23121,23125,mich,dietrich
gdc,jkjf.0,22755,23965,dietrich,23146,23151,meine,dietrich
gdc,jkjf.0,22755,23965,dietrich,23426,23431,meine,dietrich
gdc,jkjf.0,22755,23965,dietrich,23499,23502,mir,dietrich
gdc,jkjf.0,22755,23965,dietrich,23570,23573,mir,dietrich
gdc,jkjf.0,24130,24173,erich,24141,24148,Gerlind,gerlind
gdc,jkjf.0,24178,24233,graefin,24192,24195,ich,graefin
gdc,jkjf.0,24178,24233,graefin,24211,24214,mir,graefin
gdc,jkjf.0,24251,24266,_stage,24259,24265,Probst,probst
gdc,jkjf.0,24277,24286,_stage,24280,24285,Erich,erich
gdc,jkjf.0,24377,24572,probst,24444,24447,ich,probst
gdc,jkjf.0,24377,24572,probst,24496,24499,ich,probst
gdc,jkjf.0,24984,25679,probst,25078,25081,ich,probst
gdc,jkjf.0,24984,25679,probst,25340,25343,ich,probst
gdc,jkjf.0,25684,25863,dietrich,25729,25732,ich,dietrich
gdc,jkjf.0,26539,26555,_stage,26547,26554,Gerlind,gerlind
gdc,jkjf.0,26618,26694,graefin,26626,26633,Gerlind,gerlind
gdc,jkjf.0,26699,26806,gerlind,26729,26732,mir,gerlind
gdc,jkjf.0,26811,26841,liborius,26831,26835,mein,liborius
gdc,jkjf.0,26846,28307,gerlind,26855,26858,Ich,gerlind
gdc,jkjf.0,26846,28307,gerlind,26868,26872,mein,gerlind
gdc,jkjf.0,26846,28307,gerlind,26893,26896,mir,gerlind
gdc,jkjf.0,26846,28307,gerlind,26913,26919,meiner,gerlind
gdc,jkjf.0,26846,28307,gerlind,27077,27080,mir,gerlind
gdc,jkjf.0,26846,28307,gerlind,27146,27150,mich,gerlind
