corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,jn6r.0,1872,1939,Erster Schreiber,erster_schreiber,Vergnügte,ADJA,vergnügt,34251,,
gdc,jn6r.0,1872,1939,Erster Schreiber,erster_schreiber,Feiertage,NN,feiertag,34251,,
gdc,jn6r.0,1872,1939,Erster Schreiber,erster_schreiber,"!",$.,--,34251,,
gdc,jn6r.0,1944,2028,Zweiter Schreiber,zweiter_schreiber,Vergnügte,ADJA,vergnügt,34251,,
gdc,jn6r.0,1944,2028,Zweiter Schreiber,zweiter_schreiber,Feiertage,NN,feiertag,34251,,
gdc,jn6r.0,1944,2028,Zweiter Schreiber,zweiter_schreiber,"!",$.,--,34251,,
gdc,jn6r.0,2318,2513,Schrauber,schrauber,Vergnügte,ADJA,vergnügt,34251,,
gdc,jn6r.0,2318,2513,Schrauber,schrauber,Feiertage,NN,feiertag,34251,,
gdc,jn6r.0,2318,2513,Schrauber,schrauber,"!",$.,--,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,Sie,PPER,sie,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,haben,VAFIN,haben,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,es,PPER,es,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,not,NN,not,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,",","$,",--,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,Herr,NN,herr,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,Schrauber,NE,schrauber,34251,schrauber,(2)
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,",","$,",--,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,daß,KOUS,daß,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,Sie,PPER,sie,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,da,ADV,da,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,mitsummen,VVFIN,mitsummen,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,",","$,",--,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,wo,PWAV,wo,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,Sie,PPER,sie,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,doch,ADV,doch,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,wissen,VVINF,wissen,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,",","$,",--,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,wie,PWAV,wie,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,ich,PPER,ich,34251,faehnlein,(3)
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,denke,VVFIN,denken,34251,,
gdc,jn6r.0,2518,2671,Fähnlein,faehnlein,"!",$.,--,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Pah,XY,pah,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,",","$,",--,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,ich,PPER,ich,34251,schrauber,(2)
gdc,jn6r.0,2676,2767,Schrauber,schrauber,bin,VAFIN,sein,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,der,ART,der,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Vertraute,NN,vertraute,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,dieser,PDAT,dieser,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Ihrer,PPOSAT,ihr,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Gedanken,NN,gedanke,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,seit,APPR,seit,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Jahren,NN,jahr,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,.,$.,--,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,Sie,PPER,sie,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,sehen,VVFIN,sehen,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,schwarz,ADJD,schwarz,34251,,
gdc,jn6r.0,2676,2767,Schrauber,schrauber,.,$.,--,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,Das,ART,der,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,thut,NN,thut,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,der,ART,der,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,Schütze,NN,schütze,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,auch,ADV,auch,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,",","$,",--,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,der,ART,der,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,Zentrum,NN,zentrum,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,schießt,VVFIN,schießen,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,.,$.,--,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,Wenn,KOUS,wenn,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,nun,ADV,nun,34251,,
gdc,jn6r.0,2772,2876,Fähnlein,faehnlein,doch,ADV,doch,34251,,
