corpus,drama,figure_surface,figure_id,Gender,Age
gdc,k8cn.0,Daphne,daphne,FEMALE,
gdc,k8cn.0,Tomaso,tomaso,MALE,
gdc,k8cn.0,Chor (II/11),chor_2-11,UNKNOWN,
gdc,k8cn.0,Fränzl,fraenzl,FEMALE,
gdc,k8cn.0,Jakob,jakob,MALE,
gdc,k8cn.0,Volpino,volpino,MALE,
gdc,k8cn.0,Lisel,lisel,FEMALE,
gdc,k8cn.0,Fräule,fraeule,FEMALE,
gdc,k8cn.0,Peter,peter,MALE,
gdc,k8cn.0,Herr von Bär,herr_von_baer,MALE,
gdc,k8cn.0,Frau von Habicht,frau_von_habicht,FEMALE,
gdc,k8cn.0,Dardos,dardos,MALE,
gdc,k8cn.0,Chor (III/23),chor_3-23,UNKNOWN,
gdc,k8cn.0,Chor (III/16),chor_3-16,UNKNOWN,
gdc,k8cn.0,Tirus,tirus,MALE,
gdc,k8cn.0,Chor (I/16),chor_1-16,UNKNOWN,
gdc,k8cn.0,Johann,johann,MALE,
gdc,k8cn.0,Herr von Wolf,herr_von_wolf,MALE,
gdc,k8cn.0,Chloe,chloe,FEMALE,
gdc,k8cn.0,Ganymedes,ganymedes,MALE,
