corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,k93c.0,8019,8130,Marcus,marcus,Bald,ADV,bald,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,",","$,",--,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,Lucius,NN,lucius,19702,lucius,(1)
gdc,k93c.0,8019,8130,Marcus,marcus,",","$,",--,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,entweicht,VVFIN,entweichen,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,mir,PPER,sich,19702,marcus,(0)
gdc,k93c.0,8019,8130,Marcus,marcus,die,ART,der,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,Geduld,NN,geduld,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,.,$.,--,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,So,ADV,so,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,lange,ADV,lange,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,weilt,VVFIN,weilen,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,kein,PIAT,kein,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,Flamen,NN,flame,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,in,APPR,in,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,dem,ART,der,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,Tempel,NN,tempel,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,wie,KOKOM,wie,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,dieses,PDS,dieser,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,Mädchen,NN,mädchen,19702,,
gdc,k93c.0,8019,8130,Marcus,marcus,.,$.,--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Wahr,NN,wahr,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,"!",$.,--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,–,KON,–,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Nun,ADV,nun,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,schließe,VVFIN,schließen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Freund,NN,freund,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,von,APPR,von,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Deiner,NE,deiner,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Ungeduld,NE,ungeduld,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,auf,APPR,auf,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,die,PDS,der,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,die,PRELS,der,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,jetzt,ADV,jetzt,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,des,ART,der,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Appius,NE,appius,19702,appius,(8)
gdc,k93c.0,8136,8457,Lucius,lucius,Erwartung,NN,erwartung,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,spannt,ADJD,spannen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,"!",$.,--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Sein,PPOSAT,sein,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Herz,NN,herz,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,scheint,VVFIN,scheinen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,ein,ART,ein,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Vulkan,NE,vulkan,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,entflammter,ADJA,entflammt,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Leidenschaft,NN,leidenschaft,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,.,$.,--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Kaum,ADV,kaum,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,war,VAFIN,sein,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,es,PPER,es,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Mitternacht,NN,mitternacht,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,so,ADV,so,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,ließ,VVFIN,lassen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,er,PPER,er,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,schon,ADV,schon,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,mich,PPER,mich,19702,lucius,(1)
gdc,k93c.0,8136,8457,Lucius,lucius,rufen,VVINF,rufen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,daß,KOUS,daß,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,ich,PPER,ich,19702,lucius,(1)
gdc,k93c.0,8136,8457,Lucius,lucius,ja,ADV,ja,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,dich,PRF,dich,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,früh,ADJD,früh,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,genug,ADV,genug,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,zur,APPRART,zu,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,That,NN,that,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,ermahnte,VVFIN,ermahnen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,",","$,",--,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,früh,ADJD,früh,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,genug,ADV,genug,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,ihm,PPER,ihm,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,dann,ADV,dann,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,vom,APPRART,von,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Ausschlag,NN,ausschlag,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,Nachricht,NN,nachricht,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,brächte,VVFIN,bringen,19702,,
gdc,k93c.0,8136,8457,Lucius,lucius,.,$.,--,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Sollte,VMFIN,sollen,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,denn,ADV,denn,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Verhaftung,NN,verhaftung,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,eines,ART,ein,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Weibs,NN,weib,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,",","$,",--,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,noch,ADV,noch,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,beynah,VVFIN,beynah,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Kinds,NE,kind,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,",","$,",--,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,ein,ART,ein,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Werk,NN,werk,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,von,APPR,von,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,ungewissem,ADJA,ungewiss,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,Ausschlag,NN,ausschlag,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,seyn,NE,seyn,19702,,
gdc,k93c.0,8463,8568,Marcus,marcus,?,$.,--,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Selbst,ADV,selbst,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,diese,PDAT,dieser,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Furcht,NN,furcht,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,des,ART,der,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Allgewaltigen,NN,allgewaltige,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,verräth,VVFIN,verräth,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,die,ART,der,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Stärke,NN,stärke,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,seiner,PPOSAT,sein,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Leidenschaft,NN,leidenschaft,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,.,$.,--,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Doch,KON,doch,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,Marcus,NE,marcus,19702,marcus,(0)
gdc,k93c.0,8575,8877,Lucius,lucius,–,NE,–,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,oft,ADV,oft,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,vernahm,VVFIN,vernehmen,19702,,
gdc,k93c.0,8575,8877,Lucius,lucius,ich,PPER,ich,19702,lucius,(1)
gdc,k93c.0,8575,8877,Lucius,lucius,von,APPR,von,19702,,
