corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,Sie,PPER,sie,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,wissen,VVFIN,wissen,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,also,ADV,also,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,nicht,PTKNEG,nicht,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,",","$,",--,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,Jungfer,NE,jungfer,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,Lisette,NE,lisette,15632,LISETTE,lisette
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,",","$,",--,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,in,APPR,in,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,welcher,ADJA,welcher,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,Absicht,NN,absicht,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,mich,PPER,mich,15632,DER VERWALTER,der_verwalter
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,die,ART,der,15632,DIE BARONINN,die_baroninn
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,Baroninn,NN,baroninn,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,schon,ADV,schon,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,wieder,ADV,wieder,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,rufen,VVINF,rufen,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,läßt,VVFIN,lassen,15632,,
gdc,k93g.0,544,661,DER VERWALTER,der_verwalter,?,$.,--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Das,PDS,der,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,sagte,VVFIN,sagen,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,mir,PPER,sich,15632,LISETTE,lisette
gdc,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,und,KON,und,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,es,PPER,es,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,wäre,VAFIN,sein,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Kunst,NN,kunst,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,es,PPER,es,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,zu,PTKZU,zu,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,errathen,VVINF,errathen,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,.,$.,--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Sie,PPER,sie,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,hat,VAFIN,haben,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,heut,ADV,heut,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,so,ADV,so,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,vielerley,ADJD,vielerley,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Dinge,NN,ding,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,im,APPRART,in,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Kopfe,NN,kopfe,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,daß,KOUS,daß,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,selbst,ADV,selbst,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,weiß,VVFIN,weiß,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,",","$,",--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,was,PWS,was,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,sie,PPER,sie,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,will,VMFIN,wollen,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,und,KON,und,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,nicht,PTKNEG,nicht,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,will,VMFIN,wollen,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,.,$.,--,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Wenn,KOUS,wenn,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,wir,PPER,wir,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,doch,ADV,doch,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,diese,PDAT,dieser,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,Festivität,NN,festivität,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,schon,ADV,schon,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,überstanden,VVPP,überstehen,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,hätten,VAFIN,haben,15632,,
gdc,k93g.0,666,889,LISETTE,lisette,"!",$.,--,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,Ja,PTKANT,ja,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,wohl,ADV,wohl,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,–,NN,–,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,und,KON,und,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,Ich,PPER,ich,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,von,APPR,von,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,meinem,PPOSAT,mein,15632,DER VERWALTER,der_verwalter
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,Interims-Haushofmeister-Amte,NN,interims-haushofmeister-amte,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,wieder,ADV,wieder,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,los,PTKVZ,los,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,wäre,VAFIN,sein,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,"!",$.,--,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,Das,PDS,der,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,ist,VAFIN,sein,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,nun,ADV,nun,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,diesen,PDAT,dieser,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,Morgen,NN,morgen,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,das,ART,der,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,zwölftemal,ADV,zwölftemal,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,",","$,",--,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,daß,KOUS,daß,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,ich,PPER,ich,15632,DER VERWALTER,der_verwalter
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,gerufen,VVPP,rufen,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,werde,VAFIN,werden,15632,,
gdc,k93g.0,894,1081,DER VERWALTER,der_verwalter,;,$.,--,15632,,
