corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,kd4r.0,950,1054,_stage,955,962,Welting,welting
gdc,kd4r.0,950,1054,_stage,993,1003,Wildenhain,wildenhain
gdc,kd4r.0,1056,1157,welting,1097,1107,Wildenhain,wildenhain
gdc,kd4r.0,1056,1157,welting,1109,1114,Meine,welting
gdc,kd4r.0,1162,1247,wildenhain,1174,1177,Ich,wildenhain
gdc,kd4r.0,1162,1247,wildenhain,1215,1222,Welting,welting
gdc,kd4r.0,1162,1247,wildenhain,1224,1227,ich,wildenhain
gdc,kd4r.0,1301,1387,wildenhain,1330,1333,ich,wildenhain
gdc,kd4r.0,1523,1611,wildenhain,1587,1592,meine,wildenhain
gdc,kd4r.0,1616,1692,welting,1643,1646,Ich,welting
gdc,kd4r.0,2043,2136,welting,2064,2069,Meine,welting
gdc,kd4r.0,2141,2386,wildenhain,2153,2156,Ich,wildenhain
gdc,kd4r.0,2391,2665,welting,2536,2539,ich,welting
gdc,kd4r.0,2797,2839,wildenhain,2829,2836,Welting,welting
gdc,kd4r.0,2844,2998,welting,2966,2970,mich,welting
gdc,kd4r.0,3003,3030,wildenhain,3015,3018,Ich,wildenhain
gdc,kd4r.0,3066,3132,wildenhain,3086,3089,Ich,wildenhain
gdc,kd4r.0,3066,3132,wildenhain,3121,3131,Wildenhain,wildenhain
gdc,kd4r.0,3306,3414,welting,3315,3318,Ich,welting
gdc,kd4r.0,3419,3749,wildenhain,3508,3511,Ich,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3595,3598,ich,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3620,3623,ich,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3642,3645,ich,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3665,3668,ich,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3694,3697,mir,wildenhain
gdc,kd4r.0,3419,3749,wildenhain,3732,3738,meiner,wildenhain
gdc,kd4r.0,3821,3890,wildenhain,3843,3846,mir,wildenhain
gdc,kd4r.0,3821,3890,wildenhain,3858,3863,meine,wildenhain
gdc,kd4r.0,3821,3890,wildenhain,3880,3884,mein,wildenhain
gdc,kd4r.0,4045,4091,_stage,4053,4060,Hermine,hermine
gdc,kd4r.0,4093,4205,hermine,4113,4118,meine,hermine
gdc,kd4r.0,4093,4205,hermine,4127,4130,Ich,hermine
gdc,kd4r.0,4093,4205,hermine,4162,4169,Welting,welting
gdc,kd4r.0,4210,4246,welting,4234,4237,ich,welting
gdc,kd4r.0,4353,4519,hermine,4377,4383,meinem,hermine
gdc,kd4r.0,4353,4519,hermine,4407,4410,Ich,hermine
gdc,kd4r.0,4353,4519,hermine,4422,4425,mir,hermine
gdc,kd4r.0,4353,4519,hermine,4451,4458,Welting,welting
gdc,kd4r.0,4353,4519,hermine,4480,4483,mir,hermine
gdc,kd4r.0,4524,4612,welting,4533,4536,Ich,welting
gdc,kd4r.0,4617,4638,hermine,4626,4630,Mein,hermine
gdc,kd4r.0,4643,4697,welting,4658,4667,Baldinger,baldinger
gdc,kd4r.0,4702,4853,hermine,4711,4720,Baldinger,baldinger
gdc,kd4r.0,4702,4853,hermine,4842,4845,mir,hermine
gdc,kd4r.0,4858,4921,welting,4867,4870,Ich,welting
gdc,kd4r.0,5080,5157,_stage,5137,5146,Baldinger,baldinger
gdc,kd4r.0,5159,5192,welting,5182,5191,Baldinger,baldinger
gdc,kd4r.0,5227,5252,hermine,5241,5250,Baldinger,baldinger
gdc,kd4r.0,5257,5393,baldinger,5268,5271,Ich,baldinger
gdc,kd4r.0,5257,5393,baldinger,5360,5363,ich,baldinger
gdc,kd4r.0,5398,5516,welting,5407,5410,Ich,welting
gdc,kd4r.0,5398,5516,welting,5438,5443,meine,welting
gdc,kd4r.0,5398,5516,welting,5460,5463,ich,welting
gdc,kd4r.0,5521,5565,hermine,5554,5564,Wildenhain,wildenhain
gdc,kd4r.0,5570,5601,baldinger,5590,5600,Wildenhain,wildenhain
gdc,kd4r.0,5803,5822,_stage,5803,5812,Baldinger,baldinger
gdc,kd4r.0,5803,5822,_stage,5814,5821,Hermine,hermine
gdc,kd4r.0,5824,5853,hermine,5843,5852,Baldinger,baldinger
gdc,kd4r.0,6088,6128,hermine,6114,6120,meines,hermine
gdc,kd4r.0,6133,6241,baldinger,6159,6162,ich,baldinger
gdc,kd4r.0,6430,6549,baldinger,6448,6451,ich,baldinger
gdc,kd4r.0,6554,6650,hermine,6605,6608,ich,hermine
gdc,kd4r.0,6709,6792,hermine,6740,6743,Ich,hermine
gdc,kd4r.0,6709,6792,hermine,6767,6770,Ich,hermine
gdc,kd4r.0,6797,6879,baldinger,6818,6822,mich,baldinger
gdc,kd4r.0,6797,6879,baldinger,6836,6839,Ich,baldinger
gdc,kd4r.0,6797,6879,baldinger,6861,6865,mich,baldinger
gdc,kd4r.0,6910,7305,baldinger,6921,6924,Ich,baldinger
gdc,kd4r.0,6910,7305,baldinger,7143,7146,Ich,baldinger
gdc,kd4r.0,6910,7305,baldinger,7152,7156,mich,baldinger
gdc,kd4r.0,7378,7737,baldinger,7636,7639,mir,baldinger
gdc,kd4r.0,7378,7737,baldinger,7655,7660,meine,baldinger
gdc,kd4r.0,7775,7824,baldinger,7789,7792,ich,baldinger
gdc,kd4r.0,8027,8254,baldinger,8063,8068,Meine,baldinger
gdc,kd4r.0,8320,8395,baldinger,8388,8391,mir,baldinger
gdc,kd4r.0,8400,8529,hermine,8409,8412,Ich,hermine
gdc,kd4r.0,8400,8529,hermine,8442,8445,Ich,hermine
gdc,kd4r.0,8400,8529,hermine,8506,8510,mich,hermine
gdc,kd4r.0,8534,8852,baldinger,8601,8604,ich,baldinger
gdc,kd4r.0,8857,8885,hermine,8874,8884,Wildenhain,wildenhain
gdc,kd4r.0,8890,9002,baldinger,8901,8904,Ich,baldinger
gdc,kd4r.0,9093,9271,baldinger,9104,9107,Ich,baldinger
gdc,kd4r.0,9276,9394,hermine,9310,9313,ich,hermine
gdc,kd4r.0,9276,9394,hermine,9346,9349,ich,hermine
gdc,kd4r.0,9276,9394,hermine,9355,9358,mir,hermine
gdc,kd4r.0,9399,9501,baldinger,9410,9413,Ich,baldinger
gdc,kd4r.0,9399,9501,baldinger,9447,9450,ich,baldinger
gdc,kd4r.0,9506,10113,hermine,9534,9538,mich,hermine
gdc,kd4r.0,9506,10113,hermine,9565,9568,mir,hermine
gdc,kd4r.0,9506,10113,hermine,9569,9574,meine,hermine
gdc,kd4r.0,9506,10113,hermine,9601,9604,ich,hermine
gdc,kd4r.0,9506,10113,hermine,9611,9615,mich,hermine
gdc,kd4r.0,9506,10113,hermine,9662,9666,Mein,hermine
gdc,kd4r.0,9506,10113,hermine,9718,9721,ich,hermine
gdc,kd4r.0,9506,10113,hermine,9751,9755,Mein,hermine
gdc,kd4r.0,9506,10113,hermine,9765,9769,mein,hermine
gdc,kd4r.0,9506,10113,hermine,9904,9907,mir,hermine
gdc,kd4r.0,9506,10113,hermine,10054,10057,Ich,hermine
