corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,kjg2.0,245,668,_Stage,_Stage,Studirzimmer,NN,studirzimmer,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,bei,APPR,bei,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Lambert,NE,lambert,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Mittelthüre,NN,mittelthüre,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,",","$,",--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,zwei,CARD,zwei,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Seitenthüren,NN,seitenthüre,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Vorn,ADV,vorn,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,links,ADV,links,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ein,ART,ein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Kamin,NN,kamin,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Dahinter,PROAV,dahinter,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ein,ART,ein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,großer,ADJA,groß,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Schreibtisch,NN,schreibtisch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,",","$,",--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,bedeckt,ADJD,bedeckt,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,mit,APPR,mit,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Büchern,NN,buch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Vorn,ADV,vorn,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,rechts,ADV,rechts,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ein,ART,ein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,kleinerer,ADJA,klein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Tisch,NN,tisch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,",","$,",--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ebenfalls,ADV,ebenfalls,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,mit,APPR,mit,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Büchern,NN,buch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,bedeckt,VVPP,bedecken,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Links,ADV,links,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,von,APPR,von,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,der,ART,der,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Mittelthüre,NN,mittelthüre,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ein,ART,ein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,kleiner,ADJA,klein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Tisch,NN,tisch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,",","$,",--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ebenfalls,ADV,ebenfalls,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,mit,APPR,mit,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Büchern,NN,buch,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,bedeckt,VVPP,bedecken,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Die,ART,der,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Wände,NN,wand,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,des,ART,der,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Hintergrundes,NN,hintergrund,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,werden,VAFIN,werden,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,von,APPR,von,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,großen,ADJA,groß,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Schränken,NN,schränken,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,eingenommen,VVPP,einnehmen,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Die,ART,der,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Schränke,NN,schränk,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,links,ADV,links,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,sind,VAFIN,sein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,sichtbar,ADJD,sichtbar,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,Bücherschränke,NN,bücherschränk,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,",","$,",--,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,einer,PIS,ein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,rechts,ADV,rechts,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,ist,VAFIN,sein,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,verschlossen,VVPP,verschlossen,13560,,
gdc,kjg2.0,245,668,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,geht,VVFIN,gehen,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,auf,PTKVZ,auf,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,und,KON,und,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,nieder,PTKVZ,nieder,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,",","$,",--,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,ein,ART,ein,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,Buch,NN,buch,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,in,APPR,in,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,der,ART,der,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,Hand,NN,hand,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,",","$,",--,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,auswendig,ADJD,auswendig,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,lernend,ADJD,lernend,13560,,
gdc,kjg2.0,696,757,Edmund,edmund,.,$.,--,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,Edmund,NE,edmund,13560,,(0)
gdc,kjg2.0,1111,1165,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,Hahnensporn,NN,hahnensporn,13560,,(1)
gdc,kjg2.0,1111,1165,_Stage,_Stage,mit,APPR,mit,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,einem,ART,ein,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,Koffer,NN,koffer,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,auf,APPR,auf,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,der,ART,der,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,Schulter,NN,schulter,13560,,
gdc,kjg2.0,1111,1165,_Stage,_Stage,.,$.,--,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Bringt,VVFIN,bringen,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,mit,APPR,mit,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Edmunds,NE,edmund,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Hülfe,NN,hülfe,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,den,ART,der,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Koffer,NN,koffer,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,auf,APPR,auf,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,die,ART,der,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Erde,NN,erde,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,",","$,",--,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,setzt,VVFIN,setzen,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,sich,PRF,sich,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,darauf,PROAV,darauf,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,und,KON,und,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,trocknet,VVFIN,trocknen,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,sich,PRF,sich,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,den,ART,der,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,Schweiß,NN,schweiß,13560,,
gdc,kjg2.0,1225,1323,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,2161,2166,Edmund,edmund,naiv,ADJD,naiv,13560,,
gdc,kjg2.0,2161,2166,Edmund,edmund,.,$.,--,13560,,
gdc,kjg2.0,4054,4062,Edmund,edmund,lachend,ADJD,lachend,13560,,
gdc,kjg2.0,4054,4062,Edmund,edmund,.,$.,--,13560,,
gdc,kjg2.0,5553,5562,Edmund,edmund,Für,APPR,für,13560,,
gdc,kjg2.0,5553,5562,Edmund,edmund,sich,PRF,sich,13560,,
gdc,kjg2.0,5553,5562,Edmund,edmund,.,$.,--,13560,,
gdc,kjg2.0,7161,7171,Hahnensporn,hahnensporn,Steht,NN,stehen,13560,,
gdc,kjg2.0,7161,7171,Hahnensporn,hahnensporn,auf,PTKVZ,auf,13560,,
gdc,kjg2.0,7161,7171,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,7561,7580,Hahnensporn,hahnensporn,Oeffnet,VVFIN,oeffnet,13560,,
gdc,kjg2.0,7561,7580,Hahnensporn,hahnensporn,den,ART,der,13560,,
gdc,kjg2.0,7561,7580,Hahnensporn,hahnensporn,Koffer,NN,koffer,13560,,
gdc,kjg2.0,7561,7580,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,7757,7783,Hahnensporn,hahnensporn,nimmt,VVFIN,nehmen,13560,,
gdc,kjg2.0,7757,7783,Hahnensporn,hahnensporn,einen,ART,ein,13560,,
gdc,kjg2.0,7757,7783,Hahnensporn,hahnensporn,Kragen,NN,kragen,13560,,
gdc,kjg2.0,7757,7783,Hahnensporn,hahnensporn,heraus,PTKVZ,heraus,13560,,
gdc,kjg2.0,7757,7783,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,Nimmt,VVFIN,nehmen,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,Schleier,NN,schleier,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,",","$,",--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,Hauben,NN,haube,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,",","$,",--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,Kragen,NN,kragen,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,",","$,",--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,Vorhemdchen,NN,vorhemdchen,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,u,KON,u,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,dergl,PDS,dergl,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,.,$.,--,13560,,
gdc,kjg2.0,7827,7908,Hahnensporn,hahnensporn,heraus,PTKVZ,heraus,13560,,
