corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,kjgc.0,697,41459,0,826,3833,0
gdc,kjgc.0,697,41459,0,3840,4397,0
gdc,kjgc.0,697,41459,0,4405,6390,0
gdc,kjgc.0,697,41459,0,6398,9606,0
gdc,kjgc.0,697,41459,0,9613,11267,0
gdc,kjgc.0,697,41459,0,11275,13921,0
gdc,kjgc.0,697,41459,0,13928,18418,0
gdc,kjgc.0,697,41459,0,18425,24914,0
gdc,kjgc.0,697,41459,0,24921,31674,0
gdc,kjgc.0,697,41459,0,31681,33521,0
gdc,kjgc.0,697,41459,0,33528,39967,0
gdc,kjgc.0,697,41459,0,39974,41459,0
gdc,kjgc.0,41466,81161,0,41481,43424,0
gdc,kjgc.0,41466,81161,0,43432,61276,0
gdc,kjgc.0,41466,81161,0,61284,61789,0
gdc,kjgc.0,41466,81161,0,61794,64305,0
gdc,kjgc.0,41466,81161,0,64312,65922,0
gdc,kjgc.0,41466,81161,0,65930,66825,0
gdc,kjgc.0,41466,81161,0,66833,68823,0
gdc,kjgc.0,41466,81161,0,68830,70675,0
gdc,kjgc.0,41466,81161,0,70683,73698,0
gdc,kjgc.0,41466,81161,0,73706,74510,0
gdc,kjgc.0,41466,81161,0,74518,76500,0
gdc,kjgc.0,41466,81161,0,76508,79342,0
gdc,kjgc.0,41466,81161,0,79349,81161,0
gdc,kjgc.0,81168,122110,0,81183,82957,0
gdc,kjgc.0,81168,122110,0,82965,87159,0
gdc,kjgc.0,81168,122110,0,87167,89999,0
gdc,kjgc.0,81168,122110,0,90007,91532,0
gdc,kjgc.0,81168,122110,0,91539,92484,0
gdc,kjgc.0,81168,122110,0,92491,93752,0
gdc,kjgc.0,81168,122110,0,93760,95524,0
gdc,kjgc.0,81168,122110,0,95532,97129,0
gdc,kjgc.0,81168,122110,0,97136,100460,0
gdc,kjgc.0,81168,122110,0,100468,101790,0
gdc,kjgc.0,81168,122110,0,101797,104153,0
gdc,kjgc.0,81168,122110,0,104160,105199,0
gdc,kjgc.0,81168,122110,0,105207,106968,0
gdc,kjgc.0,81168,122110,0,106976,107573,0
gdc,kjgc.0,81168,122110,0,107580,108474,0
gdc,kjgc.0,81168,122110,0,108481,111427,0
gdc,kjgc.0,81168,122110,0,111434,112795,0
gdc,kjgc.0,81168,122110,0,112803,122110,0
gdc,kjgc.0,122117,149221,0,122132,125581,0
gdc,kjgc.0,122117,149221,0,125588,129485,0
gdc,kjgc.0,122117,149221,0,129492,130374,0
gdc,kjgc.0,122117,149221,0,130381,138701,0
gdc,kjgc.0,122117,149221,0,138710,142513,0
gdc,kjgc.0,122117,149221,0,142521,143524,0
gdc,kjgc.0,122117,149221,0,143531,143970,0
gdc,kjgc.0,122117,149221,0,143978,147791,0
gdc,kjgc.0,122117,149221,0,147798,148586,0
gdc,kjgc.0,122117,149221,0,148594,149221,0
gdc,kjgc.0,149228,174995,0,149243,157442,0
gdc,kjgc.0,149228,174995,0,157451,158908,0
gdc,kjgc.0,149228,174995,0,158915,160797,0
gdc,kjgc.0,149228,174995,0,160805,163457,0
gdc,kjgc.0,149228,174995,0,163465,167969,0
gdc,kjgc.0,149228,174995,0,167976,173566,0
gdc,kjgc.0,149228,174995,0,173574,174079,0
gdc,kjgc.0,149228,174995,0,174087,174995,0
