corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,kmdw.0,ein_ritter,28,
gdc,kmdw.0,ein_schauspieler,7,
gdc,kmdw.0,beata,0,
gdc,kmdw.0,esther,16,
gdc,kmdw.0,leibdiener,29,
gdc,kmdw.0,thorwaertel,30,
gdc,kmdw.0,spruchsprecher,34,
gdc,kmdw.0,einer_1-5a,14,
gdc,kmdw.0,bandini,1,
gdc,kmdw.0,ralph,12,
gdc,kmdw.0,dritter_schauspieler,9,
gdc,kmdw.0,ein_buerger,11,
gdc,kmdw.0,einer_1-5d,18,
gdc,kmdw.0,einer_1-5c,17,
gdc,kmdw.0,schultheiss,21,
gdc,kmdw.0,ein_anderer,19,
gdc,kmdw.0,alle_5-5_und_5-6,39,
gdc,kmdw.0,sonnenberg,5,
gdc,kmdw.0,amalgundis,4,
gdc,kmdw.0,trabant,31,
gdc,kmdw.0,narr,6,
gdc,kmdw.0,alessandro,24,
gdc,kmdw.0,volk_1-5,36,
gdc,kmdw.0,dritter,20,
gdc,kmdw.0,judith,13,
gdc,kmdw.0,zweiter_schauspieler,8,
gdc,kmdw.0,giulio,27,
gdc,kmdw.0,daniel,32,
gdc,kmdw.0,conrad_von_stade,35,
gdc,kmdw.0,alle_1-7,37,
gdc,kmdw.0,einer_1-5b,15,
gdc,kmdw.0,geheimschreiber,26,
gdc,kmdw.0,roesel,2,
gdc,kmdw.0,schelm_vom_berge,22,
gdc,kmdw.0,ein_grieche,33,
gdc,kmdw.0,vierter_schauspieler,10,
gdc,kmdw.0,nollingen,23,
gdc,kmdw.0,kaiser,25,
gdc,kmdw.0,jutta,3,
gdc,kmdw.0,die_ritter,38,
