corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,kmq3.0,2674,3092,_stage,2871,2878,Hammond,hammond
gdc,kmq3.0,2674,3092,_stage,2892,2899,Berkley,berkley
gdc,kmq3.0,2674,3092,_stage,2949,2955,Graves,graves
gdc,kmq3.0,3094,3226,graves,3205,3209,Mein,graves
gdc,kmq3.0,3094,3226,graves,3219,3225,Graves,graves
gdc,kmq3.0,3339,3471,graves,3429,3432,Ich,graves
gdc,kmq3.0,3476,3551,hammond,3515,3522,Hammond,hammond
gdc,kmq3.0,3556,3850,graves,3621,3624,mir,graves
gdc,kmq3.0,3556,3850,graves,3654,3658,Coke,coke
gdc,kmq3.0,3556,3850,graves,3780,3784,Coke,coke
gdc,kmq3.0,3556,3850,graves,3800,3807,Hammond,hammond
gdc,kmq3.0,4154,4260,hammond,4187,4193,meinem,hammond
gdc,kmq3.0,4154,4260,hammond,4214,4218,mich,hammond
gdc,kmq3.0,4265,4675,coke,4317,4324,Hammond,hammond
gdc,kmq3.0,4265,4675,coke,4561,4568,Berkley,berkley
gdc,kmq3.0,4265,4675,coke,4621,4625,mich,coke
gdc,kmq3.0,4680,4723,berkley,4698,4705,Berkley,berkley
gdc,kmq3.0,4680,4723,berkley,4710,4717,Berkley,berkley
gdc,kmq3.0,4997,5252,berkley,5021,5027,Graves,graves
gdc,kmq3.0,5257,5765,coke,5759,5762,ich,coke
gdc,kmq3.0,5924,6063,graves,5932,5936,Mein,graves
gdc,kmq3.0,5924,6063,graves,5996,5999,Ich,graves
gdc,kmq3.0,6533,6642,coke,6547,6551,mein,coke
gdc,kmq3.0,6533,6642,coke,6636,6640,Coke,coke
gdc,kmq3.0,6647,6790,berkley,6659,6662,ich,berkley
gdc,kmq3.0,6795,6998,coke,6874,6877,ich,coke
gdc,kmq3.0,7035,7242,coke,7053,7058,meine,coke
gdc,kmq3.0,7247,7296,graves,7275,7278,ich,graves
gdc,kmq3.0,7301,7628,coke,7312,7316,mein,coke
gdc,kmq3.0,7301,7628,coke,7334,7338,mich,coke
gdc,kmq3.0,7301,7628,coke,7523,7526,Ich,coke
gdc,kmq3.0,7633,7723,berkley,7705,7708,ich,berkley
gdc,kmq3.0,7780,7907,coke,7815,7819,mich,coke
gdc,kmq3.0,8018,8229,coke,8141,8147,Graves,graves
gdc,kmq3.0,8234,8347,berkley,8285,8288,ich,berkley
gdc,kmq3.0,8507,8786,coke,8644,8648,Karl,karl
gdc,kmq3.0,8507,8786,coke,8690,8698,Cromwell,cromwell
gdc,kmq3.0,8507,8786,coke,8776,8784,Cromwell,cromwell
gdc,kmq3.0,8791,8834,graves,8810,8813,ich,graves
gdc,kmq3.0,8931,9096,richmond,8991,8996,meine,richmond
gdc,kmq3.0,8931,9096,richmond,9004,9007,ich,richmond
gdc,kmq3.0,9101,9290,graves,9141,9144,ich,graves
gdc,kmq3.0,9101,9290,graves,9157,9164,Hammond,hammond
gdc,kmq3.0,9101,9290,graves,9178,9185,Berkley,berkley
gdc,kmq3.0,9101,9290,graves,9281,9289,Richmond,richmond
gdc,kmq3.0,9295,9406,richmond,9347,9350,Ich,richmond
gdc,kmq3.0,9532,9620,richmond,9595,9598,Ich,richmond
gdc,kmq3.0,9625,9725,berkley,9638,9641,ich,berkley
gdc,kmq3.0,9625,9725,berkley,9717,9724,Hammond,hammond
gdc,kmq3.0,9731,9940,hammond,9796,9799,mir,hammond
gdc,kmq3.0,9731,9940,hammond,9815,9818,ich,hammond
gdc,kmq3.0,9731,9940,hammond,9876,9879,mir,hammond
gdc,kmq3.0,9731,9940,hammond,9901,9905,mein,hammond
gdc,kmq3.0,9945,10221,berkley,10082,10086,mein,berkley
gdc,kmq3.0,9945,10221,berkley,10120,10123,ich,berkley
gdc,kmq3.0,9945,10221,berkley,10189,10195,Ireton,ireton
gdc,kmq3.0,10305,10472,graves,10415,10423,Cromwell,cromwell
gdc,kmq3.0,10477,10622,hammond,10599,10606,Berkley,berkley
gdc,kmq3.0,10627,10821,graves,10689,10696,Berkley,berkley
gdc,kmq3.0,10826,10951,berkley,10862,10870,Cromwell,cromwell
gdc,kmq3.0,10956,11147,graves,11052,11055,Ich,graves
gdc,kmq3.0,11379,11496,graves,11424,11427,Ich,graves
gdc,kmq3.0,11379,11496,graves,11445,11448,mir,graves
gdc,kmq3.0,11579,12872,graves,11623,11626,Ich,graves
gdc,kmq3.0,11579,12872,graves,11681,11684,Ich,graves
gdc,kmq3.0,11579,12872,graves,11691,11694,ich,graves
gdc,kmq3.0,11579,12872,graves,11730,11734,mich,graves
gdc,kmq3.0,11579,12872,graves,11772,11775,mir,graves
gdc,kmq3.0,11579,12872,graves,11801,11804,ich,graves
gdc,kmq3.0,11579,12872,graves,11831,11837,meines,graves
gdc,kmq3.0,11579,12872,graves,11847,11850,ich,graves
gdc,kmq3.0,11579,12872,graves,11910,11913,ich,graves
gdc,kmq3.0,11579,12872,graves,11944,11947,ich,graves
gdc,kmq3.0,11579,12872,graves,12013,12017,mich,graves
gdc,kmq3.0,11579,12872,graves,12086,12089,ich,graves
gdc,kmq3.0,11579,12872,graves,12157,12161,mich,graves
gdc,kmq3.0,11579,12872,graves,12178,12181,mir,graves
gdc,kmq3.0,11579,12872,graves,12197,12200,ich,graves
gdc,kmq3.0,11579,12872,graves,12238,12241,ich,graves
gdc,kmq3.0,11579,12872,graves,12503,12506,ich,graves
gdc,kmq3.0,11579,12872,graves,12847,12855,Cromwell,cromwell
gdc,kmq3.0,12877,12999,richmond,12959,12963,Karl,karl
gdc,kmq3.0,12877,12999,richmond,12978,12986,Montague,montague
gdc,kmq3.0,12877,12999,richmond,12991,12998,Lindsay,lindsay
gdc,kmq3.0,13012,13020,_stage,13015,13019,Coke,coke
gdc,kmq3.0,13055,13136,coke,13127,13135,Montague,montague
gdc,kmq3.0,13170,13227,coke,13181,13188,Lindsay,lindsay
gdc,kmq3.0,13232,13328,karl,13293,13296,mir,karl
gdc,kmq3.0,13526,13820,karl,13551,13555,mein,karl
gdc,kmq3.0,13526,13820,karl,13679,13684,meine,karl
gdc,kmq3.0,13825,13865,graves,13851,13858,Hammond,hammond
gdc,kmq3.0,13870,13938,hammond,13905,13908,ich,hammond
gdc,kmq3.0,13870,13938,hammond,13909,13912,mir,hammond
gdc,kmq3.0,14397,14405,_stage,14400,14404,Coke,coke
gdc,kmq3.0,14489,14509,_stage,14501,14508,Hammond,hammond
gdc,kmq3.0,14484,14917,karl,14587,14594,Hammond,hammond
