corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,kmqb.0,998,1331,_Stage,_Stage,Saal,NN,saal,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,in,APPR,in,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,den,ART,der,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Tuilerien,NN,tuilerium,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Links,ADV,links,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,ein,ART,ein,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Schreibtisch,NN,schreibtisch,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,",","$,",--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,an,APPR,an,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,welchem,PWAT,welcher,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Danton,NE,danton,23373,,(0)
gdc,kmqb.0,998,1331,_Stage,_Stage,und,KON,und,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,die,ART,der,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Andern,NN,ander,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,sitzen,VVFIN,sitzen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,",","$,",--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,lesend,ADJD,lesend,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,und,KON,und,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,schreibend,ADJD,schreibend,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Es,PPER,es,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,ist,VAFIN,sein,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Nacht,NN,nacht,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Mächtige,ADJA,mächtig,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Leuchter,NN,leuchter,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,brennen,VVFIN,brennen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Im,APPRART,in,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Hintergrund,NN,hintergrund,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,links,ADV,links,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,ein,ART,ein,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Erker,NN,erker,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,mit,APPR,mit,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,offenem,ADJA,offen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Altan,NN,altan,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,",","$,",--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,durch,APPR,durch,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,den,PRELS,der,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,man,PIS,man,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,nach,APPR,nach,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Paris,NE,paris,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,hineinschaut,VVFIN,hineinschauen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,–,XY,–,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Links,NN,links,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,und,KON,und,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,rechts,ADV,rechts,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Thüren,NN,thüre,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Rechts,ADV,rechts,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,im,APPRART,in,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Hintergrund,NN,hintergrund,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,offene,ADJA,offen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Thür,NN,thür,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,",","$,",--,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,von,APPR,von,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,wo,PWAV,wo,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,man,PIS,man,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,in,APPR,in,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,Nebensäle,NN,nebensäle,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,sieht,VVFIN,sehen,23373,,
gdc,kmqb.0,998,1331,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,1332,1378,_Stage,_Stage,Danton,NE,danton,23373,,(0)
gdc,kmqb.0,1332,1378,_Stage,_Stage,.,$.,--,23373,,
gdc,kmqb.0,1332,1378,_Stage,_Stage,Barras,NE,barras,23373,,(4)
