corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,knb2.0,kracher,4,
gdc,knb2.0,raetin_schmidt,23,
gdc,knb2.0,resi,0,
gdc,knb2.0,vierter_portier,17,
gdc,knb2.0,reisender,18,
gdc,knb2.0,josepha,5,
gdc,knb2.0,leopold,1,
gdc,knb2.0,kapitaen,8,
gdc,knb2.0,joseph,28,
gdc,knb2.0,hinzelmann,34,
gdc,knb2.0,emmy,21,
gdc,knb2.0,mali,30,
gdc,knb2.0,klaerchen,35,
gdc,knb2.0,suelzheimer,33,
gdc,knb2.0,franz,6,
gdc,knb2.0,ottilie,26,
gdc,knb2.0,mirzl,7,
gdc,knb2.0,siedler,27,
gdc,knb2.0,baeuerin,14,
gdc,knb2.0,kathi,31,
gdc,knb2.0,eine_dame,13,
gdc,knb2.0,sepp,15,
gdc,knb2.0,charlotte,25,
gdc,knb2.0,portier,32,
gdc,knb2.0,bauernjunge,16,
gdc,knb2.0,zweiter_portier,11,
gdc,knb2.0,bootsmann,9,
gdc,knb2.0,melanie_schmidt,22,
gdc,knb2.0,martin,29,
gdc,knb2.0,loidl,2,
gdc,knb2.0,erster_portier,10,
gdc,knb2.0,giesecke,24,
gdc,knb2.0,bernbach,20,
gdc,knb2.0,hochtourist,19,
gdc,knb2.0,dritter_portier,12,
gdc,knb2.0,piccolo,3,
