corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,kp19.0,294,345,_Stage,_Stage,Claudia,NE,claudia,6473,,(0)
gdc,kp19.0,294,345,_Stage,_Stage,.,$.,--,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,Laura,NE,laura,6473,,(1)
gdc,kp19.0,294,345,_Stage,_Stage,.,$.,--,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,Laura,NE,laura,6473,,(1)
gdc,kp19.0,294,345,_Stage,_Stage,zuerst,ADV,zuerst,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,in,APPR,in,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,einiger,PIAT,einiger,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,Entfernung,NN,entfernung,6473,,
gdc,kp19.0,294,345,_Stage,_Stage,.,$.,--,6473,,
gdc,kp19.0,355,385,Claudia,claudia,in,APPR,in,6473,,
gdc,kp19.0,355,385,Claudia,claudia,einen,ART,ein,6473,,
gdc,kp19.0,355,385,Claudia,claudia,Armstuhl,NN,armstuhl,6473,,
gdc,kp19.0,355,385,Claudia,claudia,hingeworfen,VVPP,hinwerfen,6473,,
gdc,kp19.0,355,385,Claudia,claudia,.,$.,--,6473,,
gdc,kp19.0,793,817,Laura,laura,die,PRELS,der,6473,,
gdc,kp19.0,793,817,Laura,laura,sich,PRF,sich,6473,,
gdc,kp19.0,793,817,Laura,laura,genähert,VVPP,nähern,6473,,
gdc,kp19.0,793,817,Laura,laura,hatte,VAFIN,haben,6473,,
gdc,kp19.0,793,817,Laura,laura,.,$.,--,6473,,
gdc,kp19.0,4862,4873,Claudia,claudia,Laura,NE,laura,6473,,(1)
gdc,kp19.0,4862,4873,Claudia,claudia,geht,VVFIN,gehen,6473,,
gdc,kp19.0,4862,4873,Claudia,claudia,.,$.,--,6473,,
gdc,kp19.0,4885,4892,Claudia,claudia,allein,ADV,allein,6473,,
gdc,kp19.0,4885,4892,Claudia,claudia,.,$.,--,6473,,
gdc,kp19.0,5065,5118,Laura,laura,die,ART,der,6473,,
gdc,kp19.0,5065,5118,Laura,laura,nur,ADV,nur,6473,,
gdc,kp19.0,5065,5118,Laura,laura,vor,APPR,vor,6473,,
gdc,kp19.0,5065,5118,Laura,laura,die,ART,der,6473,,
gdc,kp19.0,5065,5118,Laura,laura,Thüre,NN,thüre,6473,,
gdc,kp19.0,5065,5118,Laura,laura,gegangen,VVPP,gehen,6473,,
gdc,kp19.0,5065,5118,Laura,laura,war,VAFIN,sein,6473,,
gdc,kp19.0,5065,5118,Laura,laura,",","$,",--,6473,,
gdc,kp19.0,5065,5118,Laura,laura,und,KON,und,6473,,
gdc,kp19.0,5065,5118,Laura,laura,wieder,ADV,wieder,6473,,
gdc,kp19.0,5065,5118,Laura,laura,kömmt,VVFIN,kömmen,6473,,
gdc,kp19.0,5065,5118,Laura,laura,.,$.,--,6473,,
gdc,kp19.0,5245,5271,Claudia,claudia,sie,PPER,sie,6473,,
gdc,kp19.0,5245,5271,Claudia,claudia,läuft,VVFIN,laufen,6473,,
gdc,kp19.0,5245,5271,Claudia,claudia,gegen,APPR,gegen,6473,,
gdc,kp19.0,5245,5271,Claudia,claudia,die,ART,der,6473,,
