corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,kp19.0,347,781,Claudia,claudia,Welche,PWAT,welcher,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Verwirrung,NN,verwirrung,6473,,
gdc,kp19.0,347,781,Claudia,claudia,in,APPR,in,6473,,
gdc,kp19.0,347,781,Claudia,claudia,meinem,PPOSAT,mein,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,Haupte,NN,haupte,6473,,
gdc,kp19.0,347,781,Claudia,claudia,"!",$.,--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Welche,PWAT,welcher,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Last,NN,last,6473,,
gdc,kp19.0,347,781,Claudia,claudia,auf,APPR,auf,6473,,
gdc,kp19.0,347,781,Claudia,claudia,meinem,PPOSAT,mein,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,Herzen,NN,herz,6473,,
gdc,kp19.0,347,781,Claudia,claudia,"!",$.,--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Ich,PPER,ich,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,unglückselige,ADJA,unglückselig,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Mutter,NN,mutter,6473,,
gdc,kp19.0,347,781,Claudia,claudia,"!",$.,--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Mein,PPOSAT,mein,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,Zustand,NN,zustand,6473,,
gdc,kp19.0,347,781,Claudia,claudia,war,VAFIN,sein,6473,,
gdc,kp19.0,347,781,Claudia,claudia,erträglicher,ADJD,erträglich,6473,,
gdc,kp19.0,347,781,Claudia,claudia,",","$,",--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,als,KOUS,als,6473,,
gdc,kp19.0,347,781,Claudia,claudia,ich,PPER,ich,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,in,APPR,in,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Dosala,NE,dosala,6473,,
gdc,kp19.0,347,781,Claudia,claudia,in,APPR,in,6473,,
gdc,kp19.0,347,781,Claudia,claudia,dem,ART,der,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Cabinete,NN,cabinete,6473,,
gdc,kp19.0,347,781,Claudia,claudia,des,ART,der,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Prinzen,NN,prinz,6473,,
gdc,kp19.0,347,781,Claudia,claudia,saß,VVFIN,sitzen,6473,,
gdc,kp19.0,347,781,Claudia,claudia,",","$,",--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,und,KON,und,6473,,
gdc,kp19.0,347,781,Claudia,claudia,er,PPER,er,6473,,
gdc,kp19.0,347,781,Claudia,claudia,zu,APPR,zu,6473,,
gdc,kp19.0,347,781,Claudia,claudia,meiner,PPOSAT,mein,6473,claudia,(0)
gdc,kp19.0,347,781,Claudia,claudia,Tochter,NN,tochter,6473,,
gdc,kp19.0,347,781,Claudia,claudia,",","$,",--,6473,,
gdc,kp19.0,347,781,Claudia,claudia,trunken,ADJD,trunken,6473,,
gdc,kp19.0,347,781,Claudia,claudia,von,APPR,von,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Wein,NN,wein,6473,,
gdc,kp19.0,347,781,Claudia,claudia,und,KON,und,6473,,
gdc,kp19.0,347,781,Claudia,claudia,Liebe,NN,liebe,6473,,
gdc,kp19.0,347,781,Claudia,claudia,",","$,",--,6473,,
