corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,kqwr.0,10651,11004,_stage,10715,10720,Ponce,ponce
gdc,kqwr.0,10651,11004,_stage,10817,10824,Valeria,valeria
gdc,kqwr.0,10651,11004,_stage,10930,10935,Ponce,ponce
gdc,kqwr.0,11006,11057,valeria,11051,11056,Ponce,ponce
gdc,kqwr.0,11192,11341,valeria,11209,11215,meiner,valeria
gdc,kqwr.0,11192,11341,valeria,11251,11254,ich,valeria
gdc,kqwr.0,11192,11341,valeria,11262,11266,mein,valeria
gdc,kqwr.0,11192,11341,valeria,11316,11319,ich,valeria
gdc,kqwr.0,11388,11500,valeria,11431,11434,ich,valeria
gdc,kqwr.0,11505,11696,ponce,11512,11515,Ich,ponce
gdc,kqwr.0,11505,11696,ponce,11565,11568,mir,ponce
gdc,kqwr.0,11505,11696,ponce,11620,11623,ich,ponce
gdc,kqwr.0,11505,11696,ponce,11682,11685,ich,ponce
gdc,kqwr.0,11808,11950,ponce,11847,11851,mich,ponce
gdc,kqwr.0,11808,11950,ponce,11941,11944,ich,ponce
gdc,kqwr.0,11955,12043,valeria,12010,12015,Ponce,ponce
gdc,kqwr.0,11955,12043,valeria,12017,12020,ich,valeria
gdc,kqwr.0,12048,12096,ponce,12079,12082,mir,ponce
gdc,kqwr.0,12101,12255,valeria,12154,12157,ich,valeria
gdc,kqwr.0,12101,12255,valeria,12230,12235,Felix,felix
gdc,kqwr.0,12260,12526,ponce,12267,12274,Aquilar,aquilar
gdc,kqwr.0,12260,12526,ponce,12306,12311,Felix,felix
gdc,kqwr.0,12728,13126,valeria,12826,12829,ich,valeria
gdc,kqwr.0,12728,13126,valeria,12849,12852,ich,valeria
gdc,kqwr.0,12728,13126,valeria,12975,12978,ich,valeria
gdc,kqwr.0,12728,13126,valeria,12994,12998,mich,valeria
gdc,kqwr.0,12728,13126,valeria,13121,13125,mein,valeria
gdc,kqwr.0,13131,13220,ponce,13164,13167,ich,ponce
gdc,kqwr.0,13131,13220,ponce,13204,13207,ich,ponce
gdc,kqwr.0,13225,13260,valeria,13237,13240,mir,valeria
gdc,kqwr.0,13225,13260,valeria,13247,13254,Valeria,valeria
gdc,kqwr.0,13343,13535,valeria,13373,13377,mich,valeria
gdc,kqwr.0,13343,13535,valeria,13382,13387,Ponce,ponce
gdc,kqwr.0,13343,13535,valeria,13414,13417,ich,valeria
gdc,kqwr.0,13343,13535,valeria,13418,13422,mich,valeria
gdc,kqwr.0,13343,13535,valeria,13459,13462,ich,valeria
gdc,kqwr.0,13540,13594,ponce,13582,13585,ich,ponce
gdc,kqwr.0,13599,13739,valeria,13636,13641,Ponce,ponce
