corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,ksd1.0,1061,1141,_stage,1061,1067,Danton,danton
gdc,ksd1.0,1061,1141,_stage,1069,1074,Julie,julie
gdc,ksd1.0,1061,1141,_stage,1093,1099,Danton,danton
gdc,ksd1.0,1061,1141,_stage,1135,1140,Julie,julie
gdc,ksd1.0,1378,1404,julie,1399,1403,mich,julie
gdc,ksd1.0,1409,1622,danton,1426,1429,ich,danton
gdc,ksd1.0,1627,1657,julie,1644,1648,mich,julie
gdc,ksd1.0,1627,1657,julie,1650,1656,Danton,danton
gdc,ksd1.0,1662,2012,danton,1780,1783,mir,danton
gdc,ksd1.0,2027,2038,_stage,2030,2037,Hérault,herault
gdc,ksd1.0,2250,2299,danton,2264,2269,Julie,julie
gdc,ksd1.0,2250,2299,danton,2271,2274,ich,danton
gdc,ksd1.0,2333,2615,danton,2357,2362,Leute,leute
gdc,ksd1.0,2333,2615,danton,2437,2440,ich,danton
gdc,ksd1.0,2333,2615,danton,2544,2548,mein,danton
gdc,ksd1.0,2333,2615,danton,2574,2578,mein,danton
gdc,ksd1.0,2333,2615,danton,2603,2607,mein,danton
gdc,ksd1.0,2814,3346,herault,2913,2916,Ich,herault
gdc,ksd1.0,2814,3346,herault,2970,2975,meine,herault
gdc,ksd1.0,2814,3346,herault,3026,3032,Madame,madame
gdc,ksd1.0,2814,3346,herault,3146,3149,Ich,herault
gdc,ksd1.0,2814,3346,herault,3156,3161,meine,herault
gdc,ksd1.0,3301,3346,_stage,3301,3308,Camille,camille
gdc,ksd1.0,3301,3346,_stage,3324,3334,Philippeau,philippeau
gdc,ksd1.0,3350,3602,herault,3359,3369,Philippeau,philippeau
gdc,ksd1.0,4336,4583,herault,4388,4396,St. Just,st_just
gdc,ksd1.0,5663,6663,camille,6616,6622,Danton,danton
gdc,ksd1.0,6668,6842,danton,6676,6679,Ich,danton
gdc,ksd1.0,6668,6842,danton,6831,6835,mein,danton
gdc,ksd1.0,7012,7052,philippeau,7046,7051,Leute,leute
gdc,ksd1.0,7449,7618,danton,7461,7466,Leute,leute
gdc,ksd1.0,7449,7618,danton,7473,7476,mir,danton
gdc,ksd1.0,7449,7618,danton,7486,7489,Ich,danton
gdc,ksd1.0,7449,7618,danton,7573,7577,Mein,danton
gdc,ksd1.0,7650,7659,_stage,7653,7658,Julie,julie
gdc,ksd1.0,7643,7908,danton,7660,7663,Ich,danton
gdc,ksd1.0,7643,7908,danton,7685,7689,mich,danton
gdc,ksd1.0,7643,7908,danton,7763,7766,ich,danton
gdc,ksd1.0,8092,8109,_stage,8092,8097,Simon,simon
gdc,ksd1.0,8319,8396,simon,8337,8341,mich,simon
gdc,ksd1.0,8319,8396,simon,8367,8370,ich,simon
gdc,ksd1.0,8401,8450,simons_weib,8407,8410,Ich,simons_weib
gdc,ksd1.0,8401,8450,simons_weib,8435,8438,ich,simons_weib
gdc,ksd1.0,8401,8450,simons_weib,8446,8449,ich,simons_weib
gdc,ksd1.0,8455,8638,simon,8471,8474,ich,simon
gdc,ksd1.0,8455,8638,simon,8536,8539,ich,simon
gdc,ksd1.0,8673,8889,simon,8723,8726,ich,simon
gdc,ksd1.0,8673,8889,simon,8856,8860,mich,simon
gdc,ksd1.0,8673,8889,simon,8862,8865,Ich,simon
gdc,ksd1.0,8970,9121,simon,9085,9088,mir,simon
gdc,ksd1.0,9439,9505,simon,9475,9479,mein,simon
gdc,ksd1.0,9647,9768,simons_weib,9663,9666,ich,simons_weib
gdc,ksd1.0,9647,9768,simons_weib,9715,9719,mich,simons_weib
gdc,ksd1.0,9821,9934,simons_weib,9831,9836,meine,simons_weib
gdc,ksd1.0,10426,10507,simon,10464,10467,mir,simon
gdc,ksd1.0,10512,11181,erster_buerger_1-2,10642,10647,Leute,leute
gdc,ksd1.0,12289,12322,junger_mensch,12309,12314,meine,junger_mensch
gdc,ksd1.0,12981,13040,_stage,12981,12992,Robespierre,robespierre
gdc,ksd1.0,14642,14706,viele_stimmen_1-2,14684,14695,Robespierre,robespierre
gdc,ksd1.0,14710,14768,simon,14721,14724,mir,simon
gdc,ksd1.0,14807,14867,simon,14856,14860,mein,simon
gdc,ksd1.0,14891,15171,simon,14932,14935,mir,simon
gdc,ksd1.0,14891,15171,simon,14962,14965,ich,simon
gdc,ksd1.0,14891,15171,simon,14986,14991,meine,simon
gdc,ksd1.0,14891,15171,simon,15008,15012,mein,simon
gdc,ksd1.0,14891,15171,simon,15018,15022,mein,simon
gdc,ksd1.0,14891,15171,simon,15157,15161,mein,simon
gdc,ksd1.0,15209,15270,simon,15235,15239,mein,simon
gdc,ksd1.0,15297,16373,ein_lyoner,16135,16148,ein Jakobiner,ein_jakobiner
gdc,ksd1.0,16449,16917,legendre,16550,16555,Leute,leute
gdc,ksd1.0,16922,16988,einige_stimmen_1-3,16952,16957,Leute,leute
gdc,ksd1.0,16993,17153,legendre,17044,17047,Ich,legendre
gdc,ksd1.0,17158,17609,collot_d_herbois,17196,17199,ich,collot_d_herbois
gdc,ksd1.0,17158,17609,collot_d_herbois,17212,17220,Legendre,legendre
gdc,ksd1.0,17158,17609,collot_d_herbois,17475,17483,Legendre,legendre
gdc,ksd1.0,17614,17649,robespierre,17627,17630,Ich,robespierre
gdc,ksd1.0,17705,23308,robespierre,18248,18251,Ich,robespierre
gdc,ksd1.0,17705,23308,robespierre,19224,19235,eine andere,eine_andere
gdc,ksd1.0,17705,23308,robespierre,20401,20406,Leute,leute
gdc,ksd1.0,17705,23308,robespierre,20849,20852,mir,robespierre
gdc,ksd1.0,17705,23308,robespierre,21561,21565,mich,robespierre
gdc,ksd1.0,17705,23308,robespierre,21596,21601,Leute,leute
gdc,ksd1.0,17705,23308,robespierre,22278,22281,ich,robespierre
gdc,ksd1.0,17705,23308,robespierre,22351,22354,ich,robespierre
