corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Meine,PPOSAT,mein,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,allergnädigsten,ADJA,allergnädigster,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Damen,NN,dame,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,und,KON,und,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,sehr,ADV,sehr,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,verehrlichen,ADJA,verehrlich,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Herrn,NN,herr,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,"!",$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Sie,PPER,sie,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,werden,VAFIN,werden,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mir,PPER,sich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,',$(,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,s,PPER,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,wohl,ADV,wohl,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,glauben,VVINF,glauben,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,:,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,ich,PPER,ich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,gefiele,VVFIN,gefiel,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Ihnen,PPER,ihnen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,gern,ADV,gern,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,.,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Aber,KON,aber,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mein,PPOSAT,mein,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Herr,NN,herr,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,der,ART,der,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Dichter,NN,dichter,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,hat,VAFIN,haben,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mich,PPER,mich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,leider,ADV,leider,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,ausersehn,VVINF,ausersehn,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Jedem,KOUI,jeder,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,eine,ART,ein,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Nase,NN,nase,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,zu,APPR,zu,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,drehn,CARD,drehn,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,.,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Wer,PWS,wer,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,weiß,VVFIN,weiß,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,vielleicht,ADV,vielleicht,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,dreh,VVFIN,dreh,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,ich,PPER,ich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,ihm,PPER,ihm,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,selber,ADV,selber,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,auch,ADV,auch,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,eine,ART,ein,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,;,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,indessen,ADV,indessen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,diese,PDAT,dieser,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Nase,NN,nase,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,hat,VAFIN,haben,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,–,PPER,–,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,lange,ADJA,lang,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Beine,NN,bein,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,.,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Zunächst,ADV,zunächst,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,nämlich,ADV,nämlich,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,soll,VMFIN,sollen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,ich,PPER,ich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mich,PRF,mich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,erfrechen,VVINF,erfrechen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,über,APPR,über,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,den,ART,der,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Gang,NN,gang,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,der,ART,der,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Handlung,NN,handlung,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,im,APPRART,in,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Voraus,NN,voraus,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mit,APPR,mit,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Ihnen,PPER,ihnen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,zu,PTKZU,zu,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,sprechen,VVINF,sprechen,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,.,$.,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,Sie,PPER,sie,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,sehn,VVFIN,sehn,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,',$(,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,s,PPER,--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,schon,ADV,schon,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,an,APPR,an,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mir,PPER,sich,24072,eulenspiegel,(0)
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,",","$,",--,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,und,KON,und,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,merken,VVFIN,merken,24072,,
gdc,mbmn.0,537,2535,Eulenspiegel,eulenspiegel,mit,APPR,mit,24072,,
