corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,mgfk.0,650,10607,0,1317,8906,0
gdc,mgfk.0,650,10607,0,8913,10607,0
gdc,mgfk.0,10613,42213,0,10733,11974,0
gdc,mgfk.0,10613,42213,0,11980,14026,0
gdc,mgfk.0,10613,42213,0,14033,15209,0
gdc,mgfk.0,10613,42213,0,15216,16547,0
gdc,mgfk.0,10613,42213,0,16553,26197,0
gdc,mgfk.0,10613,42213,0,26202,29989,0
gdc,mgfk.0,10613,42213,0,29995,35575,0
gdc,mgfk.0,10613,42213,0,35581,39066,0
gdc,mgfk.0,10613,42213,0,39072,41576,0
gdc,mgfk.0,10613,42213,0,41583,42213,0
gdc,mgfk.0,42221,62172,0,42468,45793,0
gdc,mgfk.0,42221,62172,0,45799,49371,0
gdc,mgfk.0,42221,62172,0,49377,52086,0
gdc,mgfk.0,42221,62172,0,52090,53886,0
gdc,mgfk.0,42221,62172,0,53893,57897,0
gdc,mgfk.0,42221,62172,0,57903,62172,0
gdc,mgfk.0,62181,89739,0,62350,63798,0
gdc,mgfk.0,62181,89739,0,63804,67936,0
gdc,mgfk.0,62181,89739,0,67941,68758,0
gdc,mgfk.0,62181,89739,0,68764,73877,0
gdc,mgfk.0,62181,89739,0,73881,77040,0
gdc,mgfk.0,62181,89739,0,77044,80943,0
gdc,mgfk.0,62181,89739,0,80949,82508,0
gdc,mgfk.0,62181,89739,0,82514,83449,0
gdc,mgfk.0,62181,89739,0,83455,85686,0
gdc,mgfk.0,62181,89739,0,85693,87310,0
gdc,mgfk.0,62181,89739,0,87316,89739,0
