corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,mhq8.0,897,1392,der_laienbruder,1223,1232,Francesco,francesco
gdc,mhq8.0,1429,1585,der_laienbruder,1542,1546,Lisa,lisa
gdc,mhq8.0,1591,1615,die_frau,1610,1614,Lisa,lisa
gdc,mhq8.0,1893,1965,der_fremde,1936,1942,meiner,der_fremde
gdc,mhq8.0,1971,2124,die_frau,2019,2024,meine,die_frau
gdc,mhq8.0,1971,2124,die_frau,2087,2090,ich,die_frau
gdc,mhq8.0,2131,2165,der_laienbruder,2156,2159,ich,der_laienbruder
gdc,mhq8.0,2205,2302,der_fremde,2249,2253,Mein,der_fremde
gdc,mhq8.0,2395,2493,die_frau,2432,2435,Ich,die_frau
gdc,mhq8.0,2395,2493,die_frau,2436,2440,mein,die_frau
gdc,mhq8.0,2395,2493,die_frau,2461,2464,Ich,die_frau
gdc,mhq8.0,2602,2626,die_frau,2621,2625,Lisa,lisa
gdc,mhq8.0,2631,3647,der_laienbruder,2778,2781,ich,der_laienbruder
gdc,mhq8.0,3692,4004,der_laienbruder,3711,3714,ich,der_laienbruder
gdc,mhq8.0,4374,4430,pietro,4414,4417,ich,pietro
gdc,mhq8.0,4497,4567,alessio,4507,4513,Arrigo,arrigo
gdc,mhq8.0,4497,4567,alessio,4562,4566,Chor,chor
gdc,mhq8.0,5360,5406,dianora,5396,5399,ich,dianora
gdc,mhq8.0,5438,5472,dianora,5460,5463,ich,dianora
gdc,mhq8.0,5477,5547,francesco,5489,5492,Ich,francesco
gdc,mhq8.0,8196,8222,pietro,8207,8210,mir,pietro
gdc,mhq8.0,8196,8222,pietro,8212,8216,mein,pietro
gdc,mhq8.0,8617,8811,arrigo,8656,8663,Ginevra,ginevra
gdc,mhq8.0,8935,8987,arrigo,8951,8960,Francesco,francesco
gdc,mhq8.0,8993,9023,francesco,9015,9019,Lisa,lisa
gdc,mhq8.0,9137,9160,francesco,9148,9151,Ich,francesco
gdc,mhq8.0,9337,9406,ginevra,9381,9384,mir,ginevra
gdc,mhq8.0,9679,9715,pietro,9700,9704,mein,pietro
gdc,mhq8.0,9894,9950,pietro,9920,9923,ich,pietro
gdc,mhq8.0,9894,9950,pietro,9937,9940,mir,pietro
gdc,mhq8.0,10011,10088,ginevra,10059,10063,mich,ginevra
gdc,mhq8.0,10390,10508,arrigo,10415,10418,ich,arrigo
gdc,mhq8.0,10514,10637,masolino,10541,10544,ich,masolino
gdc,mhq8.0,10643,10764,sandro,10668,10671,ich,sandro
gdc,mhq8.0,10643,10764,sandro,10746,10749,ich,sandro
gdc,mhq8.0,10770,10865,ginevra,10824,10828,mein,ginevra
gdc,mhq8.0,10871,10973,alessio,10921,10924,mir,alessio
gdc,mhq8.0,10871,10973,alessio,10946,10949,ich,alessio
gdc,mhq8.0,10979,11082,ginevra,11072,11075,ich,ginevra
gdc,mhq8.0,11181,11276,ginevra,11218,11221,mir,ginevra
gdc,mhq8.0,11392,11435,francesco,11403,11409,Arrigo,arrigo
gdc,mhq8.0,11516,11618,lisa,11539,11542,mir,lisa
gdc,mhq8.0,11516,11618,lisa,11570,11575,Meine,lisa
gdc,mhq8.0,11624,11684,francesco,11673,11676,ich,francesco
gdc,mhq8.0,11772,11800,lisa,11796,11799,ich,lisa
gdc,mhq8.0,11842,11865,lisa,11858,11861,ich,lisa
