corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,mjbp.0,473,98422,0,473,4225,0
gdc,mjbp.0,473,98422,0,4233,13375,0
gdc,mjbp.0,473,98422,0,13382,16158,0
gdc,mjbp.0,473,98422,0,16165,28228,0
gdc,mjbp.0,473,98422,0,28235,35196,0
gdc,mjbp.0,473,98422,0,35203,47897,0
gdc,mjbp.0,473,98422,0,47903,57208,0
gdc,mjbp.0,473,98422,0,57215,68816,0
gdc,mjbp.0,473,98422,0,68823,70065,0
gdc,mjbp.0,473,98422,0,70072,80615,0
gdc,mjbp.0,473,98422,0,80622,87471,0
gdc,mjbp.0,473,98422,0,87479,92685,0
gdc,mjbp.0,473,98422,0,92692,95578,0
gdc,mjbp.0,473,98422,0,95586,98422,0
