corpus,drama,figure_surface,figure_id,Gender,Age
gdc,mvqs.0,KURAKIN,kurakin,,
gdc,mvqs.0,BIRON,biron,,
gdc,mvqs.0,WOLINSKI,wolinski,,
gdc,mvqs.0,ANNA,anna,,
gdc,mvqs.0,ANATOL,anatol,,
gdc,mvqs.0,KNRAKIN,knrakin,,
gdc,mvqs.0,EIN RUSSISCHER OFFIZIER,ein_russischer_offizier,,
gdc,mvqs.0,EICHLER,eichler,,
gdc,mvqs.0,STALLMEISTER,stallmeister,,
gdc,mvqs.0,PETER JEROPKIN,peter_jeropkin,,
gdc,mvqs.0,CHRUSCHTSCHOW,chruschtschow,,
gdc,mvqs.0,PUSCHKIN,puschkin,,
gdc,mvqs.0,TRUBETZKOJ,trubetzkoj,,
gdc,mvqs.0,LÖWENWOLDE,löwenwolde,,
gdc,mvqs.0,ZWEI ZEREMONIENMEISTER,zwei_zeremonienmeister,,
gdc,mvqs.0,OSTERMANN,ostermann,,
gdc,mvqs.0,EIN LAKAI,ein_lakai,,
gdc,mvqs.0,LA COSTA,la_costa,,
gdc,mvqs.0,DIE NARREN,die_narren,,
gdc,mvqs.0,MARIA,maria,,
gdc,mvqs.0,DER HOF,der_hof,,
gdc,mvqs.0,PEDRILLO,pedrillo,,
gdc,mvqs.0,BALAKYREW,balakyrew,,
gdc,mvqs.0,APRAXIN,apraxin,,
gdc,mvqs.0,Anna Iwanowna,de,"Ertler, Bruno",105488437,,,1919,1920,1920,0
