corpus,drama,figure_surface,figure_id,Gender,Age
gdc,mvr3.0,DER BÜRGERMEISTER,der_bürgermeister,,
gdc,mvr3.0,EIN RAT,ein_rat,,
gdc,mvr3.0,RAT KLEMENS,rat_klemens,,
gdc,mvr3.0,ROLAND,roland,,
gdc,mvr3.0,DIE RATSHERREN,die_ratsherren,,
gdc,mvr3.0,FEMINA,femina,,
gdc,mvr3.0,GESCHREI,geschrei,,
gdc,mvr3.0,MARIE,marie,,
gdc,mvr3.0,STIMME,stimme,,
gdc,mvr3.0,HELLEBARDIER,hellebardier,,
gdc,mvr3.0,FRAU KÜNKELÜN,frau_künkelün,,
gdc,mvr3.0,WEIB,weib,,
gdc,mvr3.0,DER HAUFEN,der_haufen,,
gdc,mvr3.0,EIN WEIB (3),ein_weib_3,,
gdc,mvr3.0,WEIBER,weiber,,
gdc,mvr3.0,FRAU KLEMENS,frau_klemens,,
gdc,mvr3.0,DIE ANGEFLOGENEN,die_angeflogenen,,
gdc,mvr3.0,ERSTE,erste,,
gdc,mvr3.0,ZWEITE,zweite,,
gdc,mvr3.0,EIN WEIB (5),ein_weib_5,,
gdc,mvr3.0,ANDERES WEIB,anderes_weib,,
gdc,mvr3.0,DRITTES WEIB,drittes_weib,,
gdc,mvr3.0,VIERTES WEIB,viertes_weib,,
gdc,mvr3.0,NEUES WEIB,neues_weib,,
gdc,mvr3.0,FRANZOSE,franzose,,
gdc,mvr3.0,DIE FRANZOSEN,die_franzosen,,
gdc,mvr3.0,MELAK,melak,,
gdc,mvr3.0,ALLE MÄNNER,alle_männer,,
