corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,n0xc.0,566,853,Cili,cili,So,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADV,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,so,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADV,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,so,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADJD,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,mien,ADJA,mien,7043,,
gdc,n0xc.0,566,853,Cili,cili,Heiner,NE,heiner,7043,,
gdc,n0xc.0,566,853,Cili,cili,slöpt,VVFIN,slöpen,7043,,
gdc,n0xc.0,566,853,Cili,cili,int,APPR,int,7043,,
gdc,n0xc.0,566,853,Cili,cili,Stroh,NE,stroh,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,NE,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,ne,NE,ne,7043,,
gdc,n0xc.0,566,853,Cili,cili,",","$,",--,7043,,
gdc,n0xc.0,566,853,Cili,cili,wi,NE,wi,7043,,
gdc,n0xc.0,566,853,Cili,cili,wöt,NE,wöt,7043,,
gdc,n0xc.0,566,853,Cili,cili,dat,NE,dat,7043,,
gdc,n0xc.0,566,853,Cili,cili,anners,NE,anner,7043,,
gdc,n0xc.0,566,853,Cili,cili,moken,VVINF,moken,7043,,
gdc,n0xc.0,566,853,Cili,cili,",","$,",--,7043,,
gdc,n0xc.0,566,853,Cili,cili,Heiner,NE,heiner,7043,,
gdc,n0xc.0,566,853,Cili,cili,schall,ADJD,schall,7043,,
gdc,n0xc.0,566,853,Cili,cili,inne,APPR,inn,7043,,
gdc,n0xc.0,566,853,Cili,cili,Eitag,NN,eitag,7043,,
gdc,n0xc.0,566,853,Cili,cili,slopen,VVINF,slopen,7043,,
gdc,n0xc.0,566,853,Cili,cili,"!",$.,--,7043,,
gdc,n0xc.0,566,853,Cili,cili,So,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADV,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,so,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADV,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,so,ADV,so,7043,,
gdc,n0xc.0,566,853,Cili,cili,–,ADJD,–,7043,,
gdc,n0xc.0,566,853,Cili,cili,mien,ADJA,mien,7043,,
gdc,n0xc.0,566,853,Cili,cili,Heiner,NN,heiner,7043,,
gdc,n0xc.0,566,853,Cili,cili,slöpt,VVFIN,slöpen,7043,,
gdc,n0xc.0,566,853,Cili,cili,int,APPRART,int,7043,,
gdc,n0xc.0,566,853,Cili,cili,Stroh,NN,stroh,7043,,
gdc,n0xc.0,566,853,Cili,cili,.,$.,--,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,Ik,XY,ik,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,hebb,XY,hebb,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,achter,ADJD,achter,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,de,XY,de,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,Ruten,NN,rute,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,stohn,VVFIN,stohn,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,un,APPR,UN,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,di,PPER,--,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,singen,VVINF,singen,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,hürt,VAFIN,hüren,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,",","$,",--,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,Cili,NE,cili,7043,cili,(0)
gdc,n0xc.0,889,1084,Eggert,eggert,.,$.,--,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,Slöpt,NE,slöpt,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,de,NE,de,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,lütte,VVFIN,lütt,7043,,
gdc,n0xc.0,889,1084,Eggert,eggert,Speisemeister,NN,speisemeister,7043,,
