corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,n2k7.0,1196,1351,_stage,1196,1199,Ida,ida
gdc,n2k7.0,1196,1351,_stage,1253,1259,Oberst,oberst
gdc,n2k7.0,1353,1611,oberst,1367,1370,Ida,ida
gdc,n2k7.0,1353,1611,oberst,1555,1558,ich,oberst
gdc,n2k7.0,1664,1813,oberst,1673,1688,Adelheid Runeck,adelheid
gdc,n2k7.0,2017,2080,ida,2069,2078,Oldendorf,oldendorf
gdc,n2k7.0,2085,2351,oberst,2323,2326,ich,oberst
gdc,n2k7.0,2385,2550,oberst,2412,2415,mir,oberst
gdc,n2k7.0,2385,2550,oberst,2468,2471,ich,oberst
gdc,n2k7.0,2385,2550,oberst,2475,2479,mich,oberst
gdc,n2k7.0,2385,2550,oberst,2492,2495,ich,oberst
gdc,n2k7.0,2385,2550,oberst,2525,2528,ich,oberst
gdc,n2k7.0,2540,2550,_stage,2540,2549,Oldendorf,oldendorf
gdc,n2k7.0,2554,2591,oldendorf,2584,2590,Oberst,oberst
gdc,n2k7.0,2596,2724,ida,2639,2648,Oldendorf,oldendorf
gdc,n2k7.0,2596,2724,ida,2663,2666,mir,ida
gdc,n2k7.0,2838,2940,oldendorf,2864,2867,ich,oldendorf
gdc,n2k7.0,2838,2940,oldendorf,2892,2896,mich,oldendorf
gdc,n2k7.0,2945,3163,oberst,2986,2989,mir,oberst
gdc,n2k7.0,2945,3163,oberst,3013,3016,ich,oberst
gdc,n2k7.0,2945,3163,oberst,3069,3073,mich,oberst
gdc,n2k7.0,3168,3250,oldendorf,3196,3202,Oberst,oberst
gdc,n2k7.0,3168,3250,oldendorf,3208,3211,ich,oldendorf
gdc,n2k7.0,3255,3478,oberst,3263,3266,Ich,oberst
gdc,n2k7.0,3483,3568,oldendorf,3525,3531,Oberst,oberst
gdc,n2k7.0,3483,3568,oldendorf,3537,3540,ich,oldendorf
gdc,n2k7.0,3573,3794,oberst,3590,3593,Ich,oberst
gdc,n2k7.0,3573,3794,oberst,3612,3621,Oldendorf,oldendorf
gdc,n2k7.0,3809,3891,_stage,3832,3835,Ida,ida
gdc,n2k7.0,3799,4135,oldendorf,3907,3910,ich,oldendorf
gdc,n2k7.0,3799,4135,oldendorf,3956,3962,meinen,oldendorf
gdc,n2k7.0,3799,4135,oldendorf,3995,3998,mir,oldendorf
gdc,n2k7.0,3799,4135,oldendorf,4064,4070,meinem,oldendorf
gdc,n2k7.0,4140,4367,oberst,4190,4193,Ich,oberst
gdc,n2k7.0,4140,4367,oberst,4199,4202,mir,oberst
gdc,n2k7.0,4140,4367,oberst,4244,4247,Ida,ida
gdc,n2k7.0,4140,4367,oberst,4300,4303,Ich,oberst
gdc,n2k7.0,4140,4367,oberst,4312,4318,meinen,oberst
gdc,n2k7.0,4473,4756,ida,4478,4481,Ich,ida
gdc,n2k7.0,4473,4756,ida,4679,4688,Oldendorf,oldendorf
gdc,n2k7.0,4794,5053,ida,4799,4802,Ich,ida
gdc,n2k7.0,5058,5232,oldendorf,5069,5072,Ich,oldendorf
gdc,n2k7.0,5058,5232,oldendorf,5083,5086,Ida,ida
gdc,n2k7.0,5058,5232,oldendorf,5092,5095,ich,oldendorf
gdc,n2k7.0,5058,5232,oldendorf,5209,5212,ich,oldendorf
gdc,n2k7.0,5346,5445,oldendorf,5357,5360,Ida,ida
gdc,n2k7.0,5346,5445,oldendorf,5432,5435,ich,oldendorf
gdc,n2k7.0,5450,5529,ida,5472,5475,Ich,ida
gdc,n2k7.0,5450,5529,ida,5497,5500,ich,ida
gdc,n2k7.0,5534,5698,oldendorf,5554,5557,ich,oldendorf
gdc,n2k7.0,5534,5698,oldendorf,5579,5582,ich,oldendorf
gdc,n2k7.0,5534,5698,oldendorf,5612,5615,mir,oldendorf
gdc,n2k7.0,5534,5698,oldendorf,5626,5629,ich,oldendorf
gdc,n2k7.0,5534,5698,oldendorf,5675,5681,meiner,oldendorf
gdc,n2k7.0,5791,6057,oldendorf,5813,5816,ich,oldendorf
gdc,n2k7.0,5791,6057,oldendorf,5849,5852,ich,oldendorf
gdc,n2k7.0,5791,6057,oldendorf,5889,5892,mir,oldendorf
gdc,n2k7.0,5791,6057,oldendorf,5942,5945,ich,oldendorf
gdc,n2k7.0,5791,6057,oldendorf,6005,6008,ich,oldendorf
gdc,n2k7.0,6063,6392,ida,6288,6297,Oldendorf,oldendorf
gdc,n2k7.0,6358,6392,_stage,6358,6364,Senden,senden
gdc,n2k7.0,6358,6392,_stage,6366,6376,Blumenberg,blumenberg
gdc,n2k7.0,6358,6392,_stage,6378,6382,Karl,karl
gdc,n2k7.0,6358,6392,_stage,6384,6391,Schmock,schmock
gdc,n2k7.0,6396,6442,senden,6428,6434,Oberst,oberst
gdc,n2k7.0,6447,6490,karl,6468,6477,Oldendorf,oldendorf
gdc,n2k7.0,6495,6782,senden,6521,6525,Karl,karl
gdc,n2k7.0,6495,6782,senden,6548,6557,Oldendorf,oldendorf
gdc,n2k7.0,6495,6782,senden,6570,6580,Blumenberg,blumenberg
gdc,n2k7.0,6891,7030,senden,6913,6916,ich,senden
gdc,n2k7.0,6891,7030,senden,6917,6922,meine,senden
gdc,n2k7.0,7035,7255,blumenberg,7086,7089,Ich,blumenberg
gdc,n2k7.0,7289,7464,blumenberg,7305,7308,ich,blumenberg
gdc,n2k7.0,7289,7464,blumenberg,7369,7376,Schmock,schmock
gdc,n2k7.0,7289,7464,blumenberg,7424,7431,Schmock,schmock
gdc,n2k7.0,7469,7590,schmock,7478,7481,Ich,schmock
gdc,n2k7.0,7469,7590,schmock,7529,7532,ich,schmock
gdc,n2k7.0,7469,7590,schmock,7552,7555,Ich,schmock
gdc,n2k7.0,7595,7790,blumenberg,7697,7700,ich,blumenberg
gdc,n2k7.0,7795,7870,schmock,7813,7816,ich,schmock
