corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,n7rr.0,2852,2870,_Stage,_Stage,Zimmer,NN,zimmer,25226,,
gdc,n7rr.0,2852,2870,_Stage,_Stage,der,ART,der,25226,,
gdc,n7rr.0,2852,2870,_Stage,_Stage,Sophie,NE,sophie,25226,,(3)
gdc,n7rr.0,2852,2870,_Stage,_Stage,.,$.,--,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,Es,PPER,es,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,steht,VVFIN,stehen,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,vor,APPR,vor,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,dem,ART,der,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,Sofa,NN,sofa,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,ein,ART,ein,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,kleiner,ADJA,klein,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,Arbeitstisch,NN,arbeitstisch,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,",","$,",--,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,auf,APPR,auf,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,demselben,PDS,derselbe,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,ein,ART,ein,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,Buch,NN,buch,25226,,
gdc,n7rr.0,2871,2942,_Stage,_Stage,.,$.,--,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Herr,NN,herr,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,von,APPR,von,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Dromer,NE,dromer,25226,,(1)
gdc,n7rr.0,2962,3102,_Stage,_Stage,tritt,VVFIN,treten,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,auf,PTKVZ,auf,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,",","$,",--,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,ein,ART,ein,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Bedienter,NN,bedienter,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,geht,VVFIN,gehen,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,ihm,PPER,ihm,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,vor,PTKVZ,vor,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,und,KON,und,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,in,APPR,in,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,das,ART,der,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Nebenzimmer,NN,nebenzimmer,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,.,$.,--,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Er,PPER,er,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,nimmt,VVFIN,nehmen,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,eben,ADV,eben,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,das,ART,der,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Buch,NN,buch,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,in,APPR,in,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,die,ART,der,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Hand,NN,hand,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,",","$,",--,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,als,APPR,als,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Graf,NN,graf,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,Karl,NE,karl,25226,,(0)
gdc,n7rr.0,2962,3102,_Stage,_Stage,hereinkömmt,VVFIN,hereinkömmen,25226,,
gdc,n7rr.0,2962,3102,_Stage,_Stage,.,$.,--,25226,,
gdc,n7rr.0,3358,3366,Bedienter (I/1/1),bedienter_1-1-1,Geht,VVFIN,gehen,25226,,
gdc,n7rr.0,3358,3366,Bedienter (I/1/1),bedienter_1-1-1,ab,PTKVZ,ab,25226,,
gdc,n7rr.0,3358,3366,Bedienter (I/1/1),bedienter_1-1-1,.,$.,--,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,hat,VAFIN,haben,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,sich,PRF,sich,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,auf,APPR,auf,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,den,ART,der,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,Sofa,NN,sofa,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,geworfen,VVPP,werfen,25226,,
gdc,n7rr.0,3376,3407,Karl,karl,.,$.,--,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,Er,PPER,er,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,will,VMFIN,wollen,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,gehen,VVINF,gehen,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,",","$,",--,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,kommt,VVFIN,kommen,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,aber,ADV,aber,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,von,APPR,von,25226,,
gdc,n7rr.0,4322,4369,Karl,karl,der,ART,der,25226,,
