corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,nds0.0,343,419,Anselmo,anselmo,Hilf,APPR,hilf,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,dem,ART,der,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,armen,ADJA,arm,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,Gaddo,NN,gaddo,20034,gaddo,(2)
gdc,nds0.0,343,419,Anselmo,anselmo,",","$,",--,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,mein,PPOSAT,mein,20034,anselmo,(0)
gdc,nds0.0,343,419,Anselmo,anselmo,Vater,NN,vater,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,"!",$.,--,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,Sein,PPOSAT,sein,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,Anblick,NN,anblick,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,dringt,VVFIN,dringen,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,mir,PPER,sich,20034,anselmo,(0)
gdc,nds0.0,343,419,Anselmo,anselmo,ans,APPRART,an,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,Herz,NN,herz,20034,,
gdc,nds0.0,343,419,Anselmo,anselmo,.,$.,--,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,Guten,ADJA,gute,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,Mut,NN,mut,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,",","$,",--,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,mein,PPOSAT,mein,20034,ugolino,(1)
gdc,nds0.0,424,480,Ugolino,ugolino,wackrer,ADJA,wackr,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,Anselmo,NN,anselmo,20034,anselmo,(0)
gdc,nds0.0,424,480,Ugolino,ugolino,.,$.,--,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,–,XY,–,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,Armer,NN,armer,20034,,
gdc,nds0.0,424,480,Ugolino,ugolino,Gaddo,NE,gaddo,20034,gaddo,(2)
gdc,nds0.0,424,480,Ugolino,ugolino,"!",$.,--,20034,,
gdc,nds0.0,485,508,Gaddo,gaddo,Ach,ITJ,ach,20034,,
