corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,ndtw.0,166,182,_stage,166,171,Lamon,lamon
gdc,ndtw.0,166,182,_stage,176,181,Chloe,chloe
gdc,ndtw.0,184,358,chloe,211,215,mein,chloe
gdc,ndtw.0,363,806,lamon,457,460,Ich,lamon
gdc,ndtw.0,363,806,lamon,496,499,ich,lamon
gdc,ndtw.0,363,806,lamon,520,523,ich,lamon
gdc,ndtw.0,363,806,lamon,596,599,ich,lamon
gdc,ndtw.0,363,806,lamon,637,644,Evander,evander
gdc,ndtw.0,363,806,lamon,646,650,mein,lamon
gdc,ndtw.0,363,806,lamon,662,665,mir,lamon
gdc,ndtw.0,811,1434,chloe,1154,1157,ich,chloe
gdc,ndtw.0,811,1434,chloe,1184,1191,Alcimna,alcimna
gdc,ndtw.0,811,1434,chloe,1193,1199,meiner,chloe
gdc,ndtw.0,811,1434,chloe,1269,1272,mir,chloe
gdc,ndtw.0,811,1434,chloe,1418,1421,mir,chloe
gdc,ndtw.0,1439,1906,lamon,1490,1497,Evander,evander
gdc,ndtw.0,1912,2151,chloe,1942,1949,Alcimna,alcimna
gdc,ndtw.0,2156,2660,lamon,2163,2166,Ich,lamon
gdc,ndtw.0,2156,2660,lamon,2334,2337,ich,lamon
gdc,ndtw.0,2666,2832,chloe,2696,2701,Lamon,lamon
gdc,ndtw.0,2666,2832,chloe,2703,2706,Ich,chloe
gdc,ndtw.0,2666,2832,chloe,2760,2763,ich,chloe
gdc,ndtw.0,2666,2832,chloe,2805,2808,ich,chloe
gdc,ndtw.0,2837,3285,lamon,2921,2925,mich,lamon
gdc,ndtw.0,2837,3285,lamon,3006,3010,mich,lamon
gdc,ndtw.0,2837,3285,lamon,3017,3020,ich,lamon
gdc,ndtw.0,2837,3285,lamon,3077,3080,Ich,lamon
gdc,ndtw.0,2837,3285,lamon,3107,3110,ich,lamon
gdc,ndtw.0,2837,3285,lamon,3135,3138,Ich,lamon
gdc,ndtw.0,2837,3285,lamon,3224,3227,ich,lamon
gdc,ndtw.0,3291,3608,chloe,3510,3513,ich,chloe
gdc,ndtw.0,3291,3608,chloe,3522,3528,meinen,chloe
gdc,ndtw.0,3291,3608,chloe,3568,3571,ich,chloe
gdc,ndtw.0,3613,3678,lamon,3620,3623,Ich,lamon
gdc,ndtw.0,3613,3678,lamon,3634,3637,ich,lamon
gdc,ndtw.0,3704,3721,_stage,3704,3711,Evander,evander
gdc,ndtw.0,3704,3721,_stage,3713,3720,Alcimna,alcimna
gdc,ndtw.0,3723,4744,evander,3732,3735,Ich,evander
gdc,ndtw.0,3723,4744,evander,3841,3844,ich,evander
gdc,ndtw.0,3723,4744,evander,3976,3980,mich,evander
gdc,ndtw.0,3723,4744,evander,3986,3990,mein,evander
gdc,ndtw.0,3723,4744,evander,4004,4008,mich,evander
gdc,ndtw.0,3723,4744,evander,4034,4037,ich,evander
gdc,ndtw.0,3723,4744,evander,4048,4054,meiner,evander
gdc,ndtw.0,3723,4744,evander,4055,4062,Alcimna,alcimna
gdc,ndtw.0,3723,4744,evander,4082,4085,Ich,evander
gdc,ndtw.0,3723,4744,evander,4103,4106,ich,evander
gdc,ndtw.0,3723,4744,evander,4166,4169,ich,evander
gdc,ndtw.0,3723,4744,evander,4281,4284,mir,evander
gdc,ndtw.0,3723,4744,evander,4388,4391,ich,evander
gdc,ndtw.0,3723,4744,evander,4500,4506,meinen,evander
gdc,ndtw.0,3723,4744,evander,4668,4675,Alcimna,alcimna
gdc,ndtw.0,4749,4770,alcimna,4766,4769,ich,alcimna
gdc,ndtw.0,4775,4806,evander,4786,4793,Alcimna,alcimna
gdc,ndtw.0,4841,4902,evander,4856,4859,ich,evander
gdc,ndtw.0,4841,4902,evander,4867,4871,mich,evander
gdc,ndtw.0,4907,4995,alcimna,4954,4958,mich,alcimna
gdc,ndtw.0,5000,5134,alcimna,5020,5024,mich,alcimna
gdc,ndtw.0,5000,5134,alcimna,5056,5060,mich,alcimna
gdc,ndtw.0,5000,5134,alcimna,5068,5073,Milon,milon
gdc,ndtw.0,5000,5134,alcimna,5121,5124,mir,alcimna
gdc,ndtw.0,5193,5212,_stage,5193,5198,Milon,milon
gdc,ndtw.0,5214,5405,milon,5233,5236,ich,milon
gdc,ndtw.0,5214,5405,milon,5271,5278,Evander,evander
gdc,ndtw.0,5214,5405,milon,5354,5361,Evander,evander
gdc,ndtw.0,5448,5540,milon,5455,5458,Ich,milon
gdc,ndtw.0,5771,5883,milon,5797,5801,mich,milon
gdc,ndtw.0,5771,5883,milon,5829,5832,ich,milon
gdc,ndtw.0,5771,5883,milon,5863,5866,ich,milon
gdc,ndtw.0,5964,6009,alcimna,5981,5984,ich,alcimna
gdc,ndtw.0,6014,6311,milon,6052,6059,Evander,evander
gdc,ndtw.0,6014,6311,milon,6074,6078,mich,milon
gdc,ndtw.0,6014,6311,milon,6113,6116,ich,milon
gdc,ndtw.0,6014,6311,milon,6144,6147,ich,milon
gdc,ndtw.0,6014,6311,milon,6207,6210,ich,milon
gdc,ndtw.0,6014,6311,milon,6264,6267,ich,milon
gdc,ndtw.0,6316,6363,evander,6325,6328,Ich,evander
gdc,ndtw.0,6368,6404,milon,6378,6381,ich,milon
gdc,ndtw.0,6409,6626,alcimna,6422,6425,ich,alcimna
gdc,ndtw.0,6631,6677,milon,6638,6641,Ich,milon
gdc,ndtw.0,6723,6911,milon,6737,6740,ich,milon
gdc,ndtw.0,6723,6911,milon,6777,6780,ich,milon
gdc,ndtw.0,6723,6911,milon,6814,6817,ich,milon
gdc,ndtw.0,6723,6911,milon,6889,6892,ich,milon
gdc,ndtw.0,6954,7243,milon,6973,6976,ich,milon
gdc,ndtw.0,6954,7243,milon,7001,7004,ich,milon
