corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,nkdq.0,6470,6791,_Stage,_Stage,Auf,APPR,auf,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,einer,ART,ein,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Seite,NN,seite,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,eine,ART,ein,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Felsengrotte,NN,felsengrotte,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,",","$,",--,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,deren,PRELAT,der,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Eingang,NN,eingang,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,mit,APPR,mit,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Muscheln,NN,muschel,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,und,KON,und,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Korallenzweigen,NN,korallenzweig,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,geziert,VVPP,zieren,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,ist,VAFIN,sein,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,;,$.,--,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,auf,APPR,auf,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,der,ART,der,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,andern,PIS,anderer,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,ein,ART,ein,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Wald,NN,wald,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,mit,APPR,mit,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,einzelnen,ADJA,einzeln,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Sitzen,NN,sitz,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,von,APPR,von,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Rasen,NN,rasen,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,",","$,",--,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,oder,KON,oder,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,abgehauenen,ADJA,abgehauen,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Stämmen,NN,stämme,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,.,$.,--,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Die,ART,der,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Aussicht,NN,aussicht,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,auf,APPR,auf,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,das,ART,der,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Meer,NN,meer,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,ist,VAFIN,sein,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,von,APPR,von,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Bäumen,NN,baum,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,und,KON,und,15823,,
gdc,nkdq.0,6470,6791,_Stage,_Stage,Felsen,NN,fels,15823,,
