corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,nks0.0,32590,55672,0,32610,36541,0
gdc,nks0.0,32590,55672,0,36549,41006,0
gdc,nks0.0,32590,55672,0,41014,44067,0
gdc,nks0.0,32590,55672,0,44074,48456,0
gdc,nks0.0,32590,55672,0,48464,51263,0
gdc,nks0.0,32590,55672,0,51271,51848,0
gdc,nks0.0,32590,55672,0,51856,55672,0
gdc,nks0.0,55678,71493,0,55699,56753,0
gdc,nks0.0,55678,71493,0,56761,60675,0
gdc,nks0.0,55678,71493,0,60681,61726,0
gdc,nks0.0,55678,71493,0,61732,64347,0
gdc,nks0.0,55678,71493,0,64355,66019,0
gdc,nks0.0,55678,71493,0,66025,67810,0
gdc,nks0.0,55678,71493,0,67819,71493,0
gdc,nks0.0,71499,91101,0,71520,73985,0
gdc,nks0.0,71499,91101,0,73993,79121,0
gdc,nks0.0,71499,91101,0,79128,89102,0
gdc,nks0.0,71499,91101,0,89110,91101,0
gdc,nks0.0,91107,112346,0,91128,94317,0
gdc,nks0.0,91107,112346,0,94325,101139,0
gdc,nks0.0,91107,112346,0,101147,104742,0
gdc,nks0.0,91107,112346,0,104750,107393,0
gdc,nks0.0,91107,112346,0,107400,112346,0
gdc,nks0.0,112352,126201,0,112373,115304,0
gdc,nks0.0,112352,126201,0,115310,117553,0
gdc,nks0.0,112352,126201,0,117559,118446,0
gdc,nks0.0,112352,126201,0,118454,120132,0
gdc,nks0.0,112352,126201,0,120138,121066,0
gdc,nks0.0,112352,126201,0,121074,121793,0
gdc,nks0.0,112352,126201,0,121802,123920,0
gdc,nks0.0,112352,126201,0,123928,126201,0
