corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,nm24.0,609,644,_Stage,_Stage,Fräulein,NE,fräulein,30040,,(0
gdc,nm24.0,609,644,_Stage,_Stage,Amalie,NE,amalie,30040,,0)
gdc,nm24.0,609,644,_Stage,_Stage,.,$.,--,30040,,
gdc,nm24.0,609,644,_Stage,_Stage,Fräulein,NE,fräulein,30040,,(1
gdc,nm24.0,609,644,_Stage,_Stage,Karoline,NE,karoline,30040,,1)
gdc,nm24.0,609,644,_Stage,_Stage,.,$.,--,30040,,
gdc,nm24.0,1124,1144,Fräulein Amalie,fraeulein_amalie,nickt,ADJD,nicken,30040,,
gdc,nm24.0,1124,1144,Fräulein Amalie,fraeulein_amalie,mit,APPR,mit,30040,,
gdc,nm24.0,1124,1144,Fräulein Amalie,fraeulein_amalie,dem,ART,der,30040,,
gdc,nm24.0,1124,1144,Fräulein Amalie,fraeulein_amalie,Kopfe,NN,kopfe,30040,,
gdc,nm24.0,1124,1144,Fräulein Amalie,fraeulein_amalie,.,$.,--,30040,,
gdc,nm24.0,1409,1433,Fräulein Amalie,fraeulein_amalie,schüttelt,VVFIN,schütteln,30040,,
gdc,nm24.0,1409,1433,Fräulein Amalie,fraeulein_amalie,mit,APPR,mit,30040,,
gdc,nm24.0,1409,1433,Fräulein Amalie,fraeulein_amalie,dem,ART,der,30040,,
gdc,nm24.0,1409,1433,Fräulein Amalie,fraeulein_amalie,Kopfe,NN,kopfe,30040,,
gdc,nm24.0,1409,1433,Fräulein Amalie,fraeulein_amalie,.,$.,--,30040,,
gdc,nm24.0,2296,2306,Fräulein Karoline,fraeulein_karoline,spöttisch,ADJD,spöttisch,30040,,
gdc,nm24.0,2296,2306,Fräulein Karoline,fraeulein_karoline,.,$.,--,30040,,
gdc,nm24.0,2440,2449,Fräulein Amalie,fraeulein_amalie,höhnisch,ADJD,höhnisch,30040,,
gdc,nm24.0,2440,2449,Fräulein Amalie,fraeulein_amalie,.,$.,--,30040,,
gdc,nm24.0,2542,2550,Fräulein Karoline,fraeulein_karoline,lachend,ADJD,lachend,30040,,
gdc,nm24.0,2542,2550,Fräulein Karoline,fraeulein_karoline,.,$.,--,30040,,
gdc,nm24.0,3445,3453,Fräulein Karoline,fraeulein_karoline,lachend,ADJD,lachend,30040,,
gdc,nm24.0,3445,3453,Fräulein Karoline,fraeulein_karoline,.,$.,--,30040,,
gdc,nm24.0,3680,3690,Fräulein Karoline,fraeulein_karoline,Spöttisch,ADJD,spöttisch,30040,,
gdc,nm24.0,3680,3690,Fräulein Karoline,fraeulein_karoline,.,$.,--,30040,,
gdc,nm24.0,3829,3838,Fräulein Karoline,fraeulein_karoline,lächelnd,ADJD,lächelnd,30040,,
gdc,nm24.0,3829,3838,Fräulein Karoline,fraeulein_karoline,.,$.,--,30040,,
gdc,nm24.0,3919,3928,Fräulein Amalie,fraeulein_amalie,höhnisch,ADJD,höhnisch,30040,,
gdc,nm24.0,3919,3928,Fräulein Amalie,fraeulein_amalie,.,$.,--,30040,,
