corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,nmfv.0,266,24431,0,293,4590,0
gdc,nmfv.0,266,24431,0,4597,8892,0
gdc,nmfv.0,266,24431,0,8898,13319,0
gdc,nmfv.0,266,24431,0,13326,18688,0
gdc,nmfv.0,266,24431,0,18694,24431,0
gdc,nmfv.0,24441,42633,0,24466,33838,0
gdc,nmfv.0,24441,42633,0,33846,40234,0
gdc,nmfv.0,24441,42633,0,40241,42633,0
gdc,nmfv.0,42642,63552,0,42670,45171,0
gdc,nmfv.0,42642,63552,0,45178,48275,0
gdc,nmfv.0,42642,63552,0,48282,53085,0
gdc,nmfv.0,42642,63552,0,53093,54573,0
gdc,nmfv.0,42642,63552,0,54580,56425,0
gdc,nmfv.0,42642,63552,0,56432,58170,0
gdc,nmfv.0,42642,63552,0,58178,59850,0
gdc,nmfv.0,42642,63552,0,59857,63552,0
gdc,nmfv.0,63562,97370,0,63575,69043,0
gdc,nmfv.0,63562,97370,0,69050,70972,0
gdc,nmfv.0,63562,97370,0,70979,73876,0
gdc,nmfv.0,63562,97370,0,73883,77231,0
gdc,nmfv.0,63562,97370,0,77237,79557,0
gdc,nmfv.0,63562,97370,0,79564,85612,0
gdc,nmfv.0,63562,97370,0,85619,90250,0
gdc,nmfv.0,63562,97370,0,90257,97370,0
gdc,nmfv.0,97380,116532,0,97399,103051,0
gdc,nmfv.0,97380,116532,0,103058,106223,0
gdc,nmfv.0,97380,116532,0,106231,107798,0
gdc,nmfv.0,97380,116532,0,107806,116532,0
