corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,nmfv.0,351,376,Brasidas,brasidas,Du,PPER,du,22412,,
gdc,nmfv.0,351,376,Brasidas,brasidas,liebst,VVFIN,liebst,22412,,
gdc,nmfv.0,351,376,Brasidas,brasidas,mich,PPER,mich,22412,brasidas,(0)
gdc,nmfv.0,351,376,Brasidas,brasidas,?,$.,--,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,Ewiges,ADJA,ewig,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,Gefrag,NN,gefrag,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,.,$.,--,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,Muß,VMFIN,müssen,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,ich,PPER,ich,22412,alitta,(1)
gdc,nmfv.0,381,493,Alitta,alitta,stündlich,ADJD,stündlich,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,wiederholen,VVINF,wiederholen,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,",","$,",--,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,was,PWS,was,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,man,PIS,man,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,kaum,ADV,kaum,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,sagt,VVFIN,sagen,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,",","$,",--,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,ohne,APPR,ohne,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,die,ART,der,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,Tiefe,NN,tiefe,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,des,ART,der,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,Herzens,NN,Herz,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,zu,APPR,zu,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,entweihn,NN,entweihn,22412,,
gdc,nmfv.0,381,493,Alitta,alitta,?,$.,--,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,So,ADV,so,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,werde,VAFIN,werden,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,mir,PPER,sich,22412,brasidas,(0)
gdc,nmfv.0,498,547,Brasidas,brasidas,wieder,ADV,wieder,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,ein,ART,ein,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,heiterer,ADJA,heiter,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,Stern,NN,stern,22412,,
gdc,nmfv.0,498,547,Brasidas,brasidas,"!",$.,--,22412,,
gdc,nmfv.0,552,575,Alitta,alitta,Ich,PPER,ich,22412,alitta,(1)
gdc,nmfv.0,552,575,Alitta,alitta,?,$.,--,22412,,
gdc,nmfv.0,552,575,Alitta,alitta,Die,ART,der,22412,,
gdc,nmfv.0,552,575,Alitta,alitta,Waise,NN,waise,22412,,
gdc,nmfv.0,552,575,Alitta,alitta,?,$.,--,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Nicht,PTKNEG,nicht,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,das,ART,der,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,–,ADJA,–,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Hat,NN,haben,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Dir,NE,dir,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,auch,ADV,auch,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,die,ART,der,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Pest,NN,pest,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,furchtbar,ADJD,furchtbar,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,rasch,ADJD,rasch,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,die,ART,der,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Eltern,NN,eltern,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,entrissen,VVPP,entreißen,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,",","$,",--,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,Dir,PPER,dir,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,blieb,VVFIN,bleiben,22412,,
gdc,nmfv.0,580,673,Brasidas,brasidas,–,XY,–,22412,,
gdc,nmfv.0,678,690,Alitta,alitta,Was,PWS,was,22412,,
gdc,nmfv.0,678,690,Alitta,alitta,?,$.,--,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,Der,ART,der,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,Freund,NN,freund,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,.,$.,--,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,Und,KON,und,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,Karthago,NE,karthago,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,",","$,",--,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,die,ART,der,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,allgemeine,ADJA,allgemein,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,Mutter,NN,mutter,22412,,
gdc,nmfv.0,695,753,Brasidas,brasidas,.,$.,--,22412,,
gdc,nmfv.0,758,1023,Alitta,alitta,Ja,PTKANT,ja,22412,,
