corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,nns8.0,732,3081,mirza,921,924,ich,mirza
gdc,nns8.0,732,3081,mirza,947,950,ich,mirza
gdc,nns8.0,732,3081,mirza,1370,1373,ich,mirza
gdc,nns8.0,732,3081,mirza,1399,1402,ich,mirza
gdc,nns8.0,732,3081,mirza,1824,1830,Rustan,rustan
gdc,nns8.0,732,3081,mirza,2734,2738,mich,mirza
gdc,nns8.0,732,3081,mirza,2767,2771,mich,mirza
gdc,nns8.0,3054,3081,_stage,3054,3060,Massud,massud
gdc,nns8.0,3085,3099,massud,3093,3098,Mirza,mirza
gdc,nns8.0,3104,3118,mirza,3111,3117,Rustan,rustan
gdc,nns8.0,3123,3207,massud,3132,3135,Ich,massud
gdc,nns8.0,3123,3207,massud,3142,3147,Mirza,mirza
gdc,nns8.0,3213,3253,mirza,3235,3238,ich,mirza
gdc,nns8.0,3380,3668,mirza,3488,3491,mir,mirza
gdc,nns8.0,3380,3668,mirza,3498,3501,ich,mirza
gdc,nns8.0,3380,3668,mirza,3547,3550,ich,mirza
gdc,nns8.0,3380,3668,mirza,3595,3598,ich,mirza
gdc,nns8.0,3674,4392,massud,4364,4367,Ich,massud
gdc,nns8.0,3674,4392,massud,4382,4386,mein,massud
gdc,nns8.0,4398,4819,mirza,4431,4435,mein,mirza
gdc,nns8.0,4398,4819,mirza,4476,4479,ich,mirza
gdc,nns8.0,4398,4819,mirza,4642,4645,mir,mirza
gdc,nns8.0,4398,4819,mirza,4674,4677,mir,mirza
gdc,nns8.0,4825,4897,massud,4845,4849,mich,massud
gdc,nns8.0,4903,5989,mirza,4919,4923,mein,mirza
gdc,nns8.0,4903,5989,mirza,4947,4952,Zanga,zanga
gdc,nns8.0,4903,5989,mirza,5102,5108,Rustan,rustan
gdc,nns8.0,4903,5989,mirza,5359,5364,Zanga,zanga
gdc,nns8.0,4903,5989,mirza,5463,5466,ich,mirza
gdc,nns8.0,4903,5989,mirza,5498,5504,Rustan,rustan
gdc,nns8.0,4903,5989,mirza,5505,5508,mir,mirza
gdc,nns8.0,4903,5989,mirza,5592,5597,Zanga,zanga
gdc,nns8.0,6104,6246,mirza,6137,6141,mein,mirza
gdc,nns8.0,6104,6246,mirza,6153,6156,ich,mirza
gdc,nns8.0,6104,6246,mirza,6174,6180,Rustan,rustan
gdc,nns8.0,6104,6246,mirza,6229,6234,Zanga,zanga
gdc,nns8.0,6478,6535,mirza,6530,6534,mich,mirza
gdc,nns8.0,6541,6651,massud,6596,6599,ich,massud
gdc,nns8.0,6761,6889,massud,6863,6866,ich,massud
gdc,nns8.0,6932,7144,massud,7084,7090,Rustan,rustan
gdc,nns8.0,7178,7381,massud,7353,7359,Rustan,rustan
gdc,nns8.0,7577,7953,massud,7670,7676,Rustan,rustan
gdc,nns8.0,7577,7953,massud,7694,7697,mir,massud
gdc,nns8.0,7577,7953,massud,7739,7742,mir,massud
gdc,nns8.0,7577,7953,massud,7870,7875,Mirza,mirza
gdc,nns8.0,7577,7953,massud,7917,7921,mich,massud
gdc,nns8.0,7989,8354,massud,8004,8007,ich,massud
gdc,nns8.0,7989,8354,massud,8026,8030,mich,massud
gdc,nns8.0,7989,8354,massud,8053,8056,ich,massud
gdc,nns8.0,7989,8354,massud,8235,8238,Ich,massud
gdc,nns8.0,8284,8354,_stage,8308,8313,Zanga,zanga
gdc,nns8.0,8402,8440,_stage,8402,8408,Rustan,rustan
gdc,nns8.0,8773,9829,rustan,8798,8801,ich,rustan
gdc,nns8.0,8773,9829,rustan,8862,8865,ich,rustan
gdc,nns8.0,8773,9829,rustan,8883,8886,ich,rustan
gdc,nns8.0,8773,9829,rustan,8897,8900,ich,rustan
gdc,nns8.0,8773,9829,rustan,8931,8934,ich,rustan
gdc,nns8.0,8773,9829,rustan,8975,8978,mir,rustan
gdc,nns8.0,8773,9829,rustan,9031,9035,mich,rustan
gdc,nns8.0,8773,9829,rustan,9108,9112,mich,rustan
gdc,nns8.0,8773,9829,rustan,9289,9292,ich,rustan
gdc,nns8.0,8773,9829,rustan,9479,9482,ich,rustan
gdc,nns8.0,9835,10042,zanga,9943,9951,der alte,der_alte
gdc,nns8.0,10048,10539,rustan,10176,10180,mich,rustan
gdc,nns8.0,10048,10539,rustan,10203,10207,mich,rustan
gdc,nns8.0,10048,10539,rustan,10406,10409,ich,rustan
gdc,nns8.0,10048,10539,rustan,10418,10421,ich,rustan
gdc,nns8.0,10048,10539,rustan,10530,10533,ich,rustan
gdc,nns8.0,10545,10589,zanga,10575,10581,meinem,zanga
gdc,nns8.0,10594,10932,rustan,10622,10626,mich,rustan
gdc,nns8.0,10594,10932,rustan,10745,10749,mich,rustan
gdc,nns8.0,10594,10932,rustan,10779,10783,mich,rustan
gdc,nns8.0,10594,10932,rustan,10893,10896,mir,rustan
gdc,nns8.0,10938,11267,zanga,10970,10973,ich,zanga
gdc,nns8.0,12172,12505,rustan,12187,12191,mein,rustan
gdc,nns8.0,12172,12505,rustan,12216,12222,Meines,rustan
gdc,nns8.0,12172,12505,rustan,12343,12346,ich,rustan
gdc,nns8.0,12172,12505,rustan,12475,12479,mich,rustan
gdc,nns8.0,12697,12762,rustan,12756,12761,Zanga,zanga
gdc,nns8.0,12768,14582,zanga,12855,12858,ich,zanga
gdc,nns8.0,12768,14582,zanga,13147,13150,ich,zanga
gdc,nns8.0,12768,14582,zanga,13180,13183,ich,zanga
gdc,nns8.0,12768,14582,zanga,13207,13212,Meine,zanga
gdc,nns8.0,12768,14582,zanga,13247,13250,mir,zanga
gdc,nns8.0,12768,14582,zanga,13278,13281,mir,zanga
gdc,nns8.0,12768,14582,zanga,13789,13792,ich,zanga
gdc,nns8.0,12768,14582,zanga,13793,13797,mein,zanga
gdc,nns8.0,14588,14624,rustan,14619,14623,mich,rustan
gdc,nns8.0,14757,14783,_stage,14757,14762,Mirza,mirza
gdc,nns8.0,14787,14801,mirza,14794,14800,Rustan,rustan
gdc,nns8.0,14956,15415,mirza,15036,15039,ich,mirza
gdc,nns8.0,14956,15415,mirza,15040,15043,mir,mirza
gdc,nns8.0,14956,15415,mirza,15105,15108,ich,mirza
gdc,nns8.0,14956,15415,mirza,15282,15287,meine,mirza
gdc,nns8.0,15421,15464,rustan,15436,15440,mich,rustan
gdc,nns8.0,15469,15571,mirza,15477,15480,Ich,mirza
gdc,nns8.0,15763,15790,_stage,15767,15773,Rustan,rustan
gdc,nns8.0,15794,16206,zanga,15807,15810,mir,zanga
gdc,nns8.0,16000,16156,_stage,16093,16099,Massud,massud
gdc,nns8.0,16157,16206,_stage,16157,16162,Mirza,mirza
gdc,nns8.0,16157,16206,_stage,16169,16175,Rustan,rustan
gdc,nns8.0,16157,16206,_stage,16200,16205,Zanga,zanga
gdc,nns8.0,16210,16786,mirza,16227,16233,Rustan,rustan
gdc,nns8.0,16565,16639,_stage,16568,16574,Rustan,rustan
gdc,nns8.0,16210,16786,mirza,16669,16672,Ich,mirza
gdc,nns8.0,16210,16786,mirza,16718,16722,mein,mirza
gdc,nns8.0,16737,16786,_stage,16737,16743,Rustan,rustan
gdc,nns8.0,16790,16823,massud,16816,16822,Rustan,rustan
gdc,nns8.0,16973,17079,massud,16988,16991,mir,massud
gdc,nns8.0,16973,17079,massud,17049,17053,mein,massud
gdc,nns8.0,17085,17112,mirza,17107,17110,mir,mirza
gdc,nns8.0,17117,17668,massud,17208,17211,ich,massud
gdc,nns8.0,17117,17668,massud,17604,17607,ich,massud
gdc,nns8.0,17674,17783,zanga,17761,17764,ich,zanga
gdc,nns8.0,17805,17834,zanga,17812,17815,Ich,zanga
gdc,nns8.0,17928,17963,mirza,17952,17955,mir,mirza
gdc,nns8.0,17968,19187,zanga,18513,18519,Meinem,zanga
gdc,nns8.0,17968,19187,zanga,18823,18827,mein,zanga
gdc,nns8.0,17968,19187,zanga,19018,19024,Rustan,rustan
gdc,nns8.0,19193,19277,rustan,19225,19228,Ich,rustan
gdc,nns8.0,19312,19521,rustan,19328,19331,ich,rustan
gdc,nns8.0,19312,19521,rustan,19376,19379,ich,rustan
gdc,nns8.0,19312,19521,rustan,19395,19399,mich,rustan
gdc,nns8.0,19312,19521,rustan,19487,19490,ich,rustan
gdc,nns8.0,19312,19521,rustan,19510,19513,mir,rustan
gdc,nns8.0,19544,20116,rustan,19559,19563,mich,rustan
gdc,nns8.0,19544,20116,rustan,19638,19643,meine,rustan
gdc,nns8.0,19544,20116,rustan,19652,19655,Ich,rustan
gdc,nns8.0,19544,20116,rustan,19666,19669,ich,rustan
gdc,nns8.0,19544,20116,rustan,19989,19993,mich,rustan
gdc,nns8.0,19544,20116,rustan,20068,20072,mich,rustan
gdc,nns8.0,19544,20116,rustan,20088,20091,mir,rustan
gdc,nns8.0,19544,20116,rustan,20111,20115,mich,rustan
gdc,nns8.0,20152,20172,rustan,20164,20167,ich,rustan
gdc,nns8.0,20277,20346,rustan,20337,20340,ich,rustan
gdc,nns8.0,20486,20558,rustan,20510,20513,ich,rustan
gdc,nns8.0,20564,20604,massud,20579,20583,mich,massud
gdc,nns8.0,20609,20730,rustan,20636,20639,ich,rustan
gdc,nns8.0,20609,20730,rustan,20715,20718,mir,rustan
gdc,nns8.0,20609,20730,rustan,20719,20723,mein,rustan
gdc,nns8.0,20736,20750,mirza,20743,20749,Rustan,rustan
gdc,nns8.0,20755,20849,rustan,20764,20769,Mirza,mirza
gdc,nns8.0,20755,20849,rustan,20771,20774,Ich,rustan
gdc,nns8.0,20916,20946,rustan,20924,20927,Ich,rustan
gdc,nns8.0,21026,21107,rustan,21035,21040,Mirza,mirza
gdc,nns8.0,21113,21127,mirza,21120,21126,Rustan,rustan
gdc,nns8.0,21397,21429,rustan,21405,21410,Zanga,zanga
gdc,nns8.0,21451,21775,massud,21588,21591,ich,massud
gdc,nns8.0,21451,21775,massud,21747,21752,Mirza,mirza
gdc,nns8.0,21781,22210,mirza,21819,21825,Rustan,rustan
gdc,nns8.0,21781,22210,mirza,21894,21897,ich,mirza
gdc,nns8.0,21781,22210,mirza,21994,21997,mir,mirza
gdc,nns8.0,21781,22210,mirza,22036,22039,ich,mirza
gdc,nns8.0,21781,22210,mirza,22120,22123,mir,mirza
gdc,nns8.0,22470,22488,_stage,22482,22487,Mirza,mirza
gdc,nns8.0,22492,22506,mirza,22499,22505,Rustan,rustan
gdc,nns8.0,22511,22551,rustan,22520,22525,Zanga,zanga
gdc,nns8.0,22609,24577,rustan,22714,22717,Ich,rustan
gdc,nns8.0,22609,24577,rustan,22792,22796,mich,rustan
gdc,nns8.0,22609,24577,rustan,22852,22855,mir,rustan
gdc,nns8.0,22609,24577,rustan,22866,22869,Ich,rustan
gdc,nns8.0,22609,24577,rustan,23185,23193,der alte,der_alte
gdc,nns8.0,22609,24577,rustan,23725,23730,Zanga,zanga
gdc,nns8.0,24102,24558,_stage,24520,24526,Rustan,rustan
gdc,nns8.0,24855,24879,_stage,24855,24861,Rustan,rustan
gdc,nns8.0,24855,24879,_stage,24866,24871,Zanga,zanga
gdc,nns8.0,24881,25310,rustan,24930,24933,ich,rustan
gdc,nns8.0,24881,25310,rustan,24986,24989,ich,rustan
gdc,nns8.0,24881,25310,rustan,25252,25256,mein,rustan
gdc,nns8.0,25399,26147,rustan,25446,25450,mich,rustan
gdc,nns8.0,25399,26147,rustan,25576,25580,mein,rustan
gdc,nns8.0,25399,26147,rustan,25907,25913,Stimme,koenig
gdc,nns8.0,25399,26147,rustan,25995,25998,ich,rustan
gdc,nns8.0,25399,26147,rustan,25999,26003,mich,rustan
gdc,nns8.0,25399,26147,rustan,26101,26104,ich,rustan
gdc,nns8.0,26153,26242,zanga,26197,26200,Ich,zanga
gdc,nns8.0,26153,26242,zanga,26211,26215,mich,zanga
gdc,nns8.0,26246,26319,rustan,26255,26260,Zanga,zanga
gdc,nns8.0,26325,26446,zanga,26427,26430,ich,zanga
gdc,nns8.0,26451,26614,rustan,26546,26549,Ich,rustan
gdc,nns8.0,26620,27675,zanga,26708,26711,mir,zanga
