corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,npsg.0,513,2994,hero,747,750,ich,hero
gdc,npsg.0,513,2994,hero,782,785,Mir,hero
gdc,npsg.0,513,2994,hero,1070,1074,mich,hero
gdc,npsg.0,513,2994,hero,1087,1090,ich,hero
gdc,npsg.0,513,2994,hero,1313,1317,mich,hero
gdc,npsg.0,513,2994,hero,1383,1387,Hero,hero
gdc,npsg.0,513,2994,hero,1476,1488,Die Priester,die_priester
gdc,npsg.0,513,2994,hero,1480,1488,Priester,priester
gdc,npsg.0,513,2994,hero,1666,1674,das Volk,das_volk
gdc,npsg.0,513,2994,hero,1872,1875,ich,hero
gdc,npsg.0,513,2994,hero,1940,1943,ich,hero
gdc,npsg.0,513,2994,hero,2121,2124,Ich,hero
gdc,npsg.0,513,2994,hero,2134,2139,meine,hero
gdc,npsg.0,513,2994,hero,2148,2152,mich,hero
gdc,npsg.0,513,2994,hero,2188,2191,mir,hero
gdc,npsg.0,513,2994,hero,2230,2236,meiner,hero
gdc,npsg.0,513,2994,hero,2274,2277,ich,hero
gdc,npsg.0,513,2994,hero,2406,2409,ich,hero
gdc,npsg.0,513,2994,hero,2750,2754,mein,hero
gdc,npsg.0,513,2994,hero,2797,2801,mich,hero
gdc,npsg.0,2956,2994,_stage,2956,2962,Janthe,janthe
gdc,npsg.0,2998,3049,janthe,3017,3021,Hero,hero
gdc,npsg.0,3404,3642,hero,3601,3604,ich,hero
gdc,npsg.0,3745,3973,hero,3752,3755,Ich,hero
gdc,npsg.0,3745,3973,hero,3812,3815,ich,hero
gdc,npsg.0,3745,3973,hero,3897,3900,ich,hero
gdc,npsg.0,3745,3973,hero,3937,3940,ich,hero
gdc,npsg.0,3979,4080,janthe,4052,4060,Priester,priester
gdc,npsg.0,4146,4178,hero,4170,4173,ich,hero
gdc,npsg.0,4251,4302,hero,4267,4270,ich,hero
gdc,npsg.0,4513,5001,hero,4534,4537,ich,hero
gdc,npsg.0,4513,5001,hero,4540,4543,Ich,hero
gdc,npsg.0,4513,5001,hero,4684,4692,Priester,priester
gdc,npsg.0,4513,5001,hero,4694,4700,meinem,hero
gdc,npsg.0,4513,5001,hero,4768,4771,Ich,hero
gdc,npsg.0,4513,5001,hero,4776,4779,mir,hero
gdc,npsg.0,4513,5001,hero,4790,4794,mich,hero
gdc,npsg.0,4513,5001,hero,4831,4834,ich,hero
gdc,npsg.0,4513,5001,hero,4853,4856,ich,hero
gdc,npsg.0,4513,5001,hero,4891,4894,ich,hero
gdc,npsg.0,4914,5001,_stage,4918,4926,Priester,priester
gdc,npsg.0,4914,5001,_stage,4936,4947,Tempelhüter,tempelhueter
gdc,npsg.0,5005,5189,hero,5032,5035,mir,hero
gdc,npsg.0,5005,5189,hero,5052,5056,mein,hero
gdc,npsg.0,5005,5189,hero,5180,5184,mein,hero
gdc,npsg.0,5573,5857,hero,5616,5619,ich,hero
gdc,npsg.0,5783,5799,_stage,5787,5798,Tempelhüter,tempelhueter
gdc,npsg.0,5891,5907,hero,5897,5900,Ich,hero
gdc,npsg.0,6018,6089,_stage,6022,6033,Tempelhüter,tempelhueter
gdc,npsg.0,6093,6225,hero,6108,6111,mir,hero
gdc,npsg.0,6093,6225,hero,6120,6123,Ich,hero
gdc,npsg.0,6231,6557,priester,6250,6254,mich,priester
gdc,npsg.0,6231,6557,priester,6357,6361,mich,priester
gdc,npsg.0,6231,6557,priester,6367,6370,ich,priester
gdc,npsg.0,6563,7208,hero,6570,6573,Ich,hero
gdc,npsg.0,6563,7208,hero,6823,6831,das Volk,das_volk
gdc,npsg.0,7214,7250,priester,7232,7236,mich,priester
gdc,npsg.0,7255,7373,hero,7335,7339,mich,hero
gdc,npsg.0,7255,7373,hero,7348,7351,ich,hero
gdc,npsg.0,7255,7373,hero,7357,7360,ich,hero
gdc,npsg.0,7444,8545,hero,7625,7628,Ich,hero
gdc,npsg.0,7444,8545,hero,7642,7645,ich,hero
gdc,npsg.0,7444,8545,hero,7750,7754,mich,hero
gdc,npsg.0,7444,8545,hero,8021,8024,ich,hero
gdc,npsg.0,7444,8545,hero,8025,8029,mich,hero
gdc,npsg.0,7444,8545,hero,8044,8047,ich,hero
gdc,npsg.0,7444,8545,hero,8063,8067,Mein,hero
gdc,npsg.0,7444,8545,hero,8156,8159,ich,hero
gdc,npsg.0,7444,8545,hero,8234,8237,mir,hero
gdc,npsg.0,7444,8545,hero,8435,8438,mir,hero
gdc,npsg.0,7444,8545,hero,8459,8463,Mein,hero
gdc,npsg.0,7444,8545,hero,8529,8532,ich,hero
gdc,npsg.0,8551,9375,priester,9211,9214,Ich,priester
gdc,npsg.0,9381,9570,hero,9431,9435,Mich,hero
gdc,npsg.0,9381,9570,hero,9524,9527,Ich,hero
gdc,npsg.0,9381,9570,hero,9533,9537,mich,hero
gdc,npsg.0,9614,9911,hero,9621,9624,Ich,hero
gdc,npsg.0,9614,9911,hero,9692,9696,mich,hero
gdc,npsg.0,9614,9911,hero,9701,9707,meiner,hero
gdc,npsg.0,9614,9911,hero,9774,9777,ich,hero
gdc,npsg.0,9614,9911,hero,9830,9836,meiner,hero
gdc,npsg.0,9945,9964,hero,9954,9958,mein,hero
gdc,npsg.0,10053,10103,hero,10098,10102,mich,hero
gdc,npsg.0,10164,10644,hero,10171,10174,Ich,hero
gdc,npsg.0,10164,10644,hero,10229,10232,ich,hero
gdc,npsg.0,10164,10644,hero,10302,10306,Mein,hero
gdc,npsg.0,10164,10644,hero,10307,10312,Vater,vater
gdc,npsg.0,10164,10644,hero,10358,10362,mich,hero
gdc,npsg.0,10164,10644,hero,10391,10397,Mutter,mutter
gdc,npsg.0,10164,10644,hero,10420,10424,Mein,hero
gdc,npsg.0,10164,10644,hero,10472,10475,ich,hero
gdc,npsg.0,10164,10644,hero,10499,10503,mein,hero
gdc,npsg.0,10164,10644,hero,10535,10538,ich,hero
gdc,npsg.0,10164,10644,hero,10563,10567,mich,hero
gdc,npsg.0,10164,10644,hero,10609,10612,ich,hero
gdc,npsg.0,10692,10839,hero,10718,10721,ich,hero
gdc,npsg.0,10692,10839,hero,10765,10769,mein,hero
gdc,npsg.0,10692,10839,hero,10802,10806,mich,hero
gdc,npsg.0,10945,10977,hero,10951,10955,Mich,hero
gdc,npsg.0,10982,11032,priester,10996,11002,Mutter,mutter
gdc,npsg.0,11037,11110,hero,11086,11089,ich,hero
gdc,npsg.0,11037,11110,hero,11091,11094,ich,hero
gdc,npsg.0,11532,11549,hero,11538,11542,Mein,hero
gdc,npsg.0,11532,11549,hero,11543,11548,Vater,vater
gdc,npsg.0,11659,11680,hero,11665,11671,Mutter,mutter
gdc,npsg.0,11659,11680,hero,11673,11679,Mutter,mutter
gdc,npsg.0,11765,11863,hero,11779,11783,mich,hero
gdc,npsg.0,11765,11863,hero,11805,11808,ich,hero
gdc,npsg.0,11867,11901,vater,11874,11878,Mein,vater
gdc,npsg.0,11867,11901,vater,11885,11889,Hero,hero
gdc,npsg.0,11867,11901,vater,11891,11895,mein,vater
gdc,npsg.0,11911,11936,_stage,11920,11926,Mutter,mutter
gdc,npsg.0,11906,11952,hero,11939,11944,meine,hero
gdc,npsg.0,11906,11952,hero,11945,11951,Mutter,mutter
gdc,npsg.0,11957,12418,vater,12009,12013,Mein,vater
gdc,npsg.0,11957,12418,vater,12285,12289,mich,vater
gdc,npsg.0,11957,12418,vater,12343,12346,ich,vater
gdc,npsg.0,12424,12443,hero,12430,12435,Meine,hero
gdc,npsg.0,12424,12443,hero,12436,12442,Mutter,mutter
gdc,npsg.0,12448,12849,vater,12820,12823,ich,vater
gdc,npsg.0,13165,13239,hero,13221,13226,meine,hero
gdc,npsg.0,13165,13239,hero,13227,13233,Mutter,mutter
gdc,npsg.0,13367,13400,mutter,13384,13388,Mein,mutter
gdc,npsg.0,13405,13495,hero,13482,13487,meine,hero
gdc,npsg.0,13405,13495,hero,13488,13494,Mutter,mutter
gdc,npsg.0,13637,13737,_stage,13701,13712,Tempelhüter,tempelhueter
gdc,npsg.0,13570,13782,vater,13745,13749,mein,vater
gdc,npsg.0,14106,14143,_stage,14116,14122,Mutter,mutter
gdc,npsg.0,14101,14453,hero,14155,14161,Mutter,mutter
gdc,npsg.0,14101,14453,hero,14234,14237,Ich,hero
gdc,npsg.0,14101,14453,hero,14316,14319,ich,hero
gdc,npsg.0,14101,14453,hero,14386,14389,mir,hero
gdc,npsg.0,14101,14453,hero,14419,14422,ich,hero
gdc,npsg.0,14528,15035,hero,14676,14679,ich,hero
gdc,npsg.0,14528,15035,hero,14752,14755,ich,hero
gdc,npsg.0,14528,15035,hero,15028,15034,Mutter,mutter
gdc,npsg.0,15041,15082,mutter,15055,15058,ich,mutter
gdc,npsg.0,15087,15378,hero,15231,15234,ich,hero
gdc,npsg.0,15087,15378,hero,15272,15276,mein,hero
gdc,npsg.0,15824,16472,hero,15881,15884,ich,hero
gdc,npsg.0,15824,16472,hero,15914,15917,mir,hero
