corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,p5bz.0,alle_4-2-2,22,
gdc,p5bz.0,eversmann,1,
gdc,p5bz.0,seckendorf,7,
gdc,p5bz.0,dritter_grenadier,14,
gdc,p5bz.0,graf_schwerin,15,
gdc,p5bz.0,graf_wartensleben,16,
gdc,p5bz.0,grumbkow,6,
gdc,p5bz.0,hofdamen,24,
gdc,p5bz.0,koenig,5,
gdc,p5bz.0,kamke,10,
gdc,p5bz.0,koenigin,4,
gdc,p5bz.0,erster_grenadier,12,
gdc,p5bz.0,erbprinz,3,
gdc,p5bz.0,hotham,9,
gdc,p5bz.0,die_trommler,19,
gdc,p5bz.0,alle_5-1-4_und_5-1-5,25,
gdc,p5bz.0,holzendorf,18,
gdc,p5bz.0,bediente,20,
gdc,p5bz.0,alle_3-1-4,21,
gdc,p5bz.0,wilhelmine,2,
gdc,p5bz.0,eckhof,11,
gdc,p5bz.0,viereck,17,
gdc,p5bz.0,zweiter_grenadier,13,
gdc,p5bz.0,sonnsfeld,0,
gdc,p5bz.0,lakai,8,
gdc,p5bz.0,lakaien,23,
