corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,pgpm.0,544,567,_Stage,_Stage,Leander,NE,leander,27566,,(0)
gdc,pgpm.0,544,567,_Stage,_Stage,",","$,",--,27566,,
gdc,pgpm.0,544,567,_Stage,_Stage,und,KON,und,27566,,
gdc,pgpm.0,544,567,_Stage,_Stage,Hanswurst,NE,hanswurst,27566,,(1)
gdc,pgpm.0,544,567,_Stage,_Stage,.,$.,--,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,Beyde,NN,beyde,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,kommen,VVFIN,kommen,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,auf,APPR,auf,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,das,ART,der,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,Theater,NN,theater,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,ohne,APPR,ohne,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,ein,ART,ein,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,Wort,NN,wort,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,zu,PTKZU,zu,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,reden,VVINF,reden,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,",","$,",--,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,und,KON,und,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,nach,APPR,nach,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,einer,ART,ein,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,eile,NN,eile,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,fängt,VVFIN,fangen,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,Leander,NE,leander,27566,,(0)
gdc,pgpm.0,568,669,_Stage,_Stage,zu,PTKZU,zu,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,seufzen,VVINF,seufzen,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,an,PTKVZ,an,27566,,
gdc,pgpm.0,568,669,_Stage,_Stage,.,$.,--,27566,,
gdc,pgpm.0,1080,1096,Leander,leander,in,APPR,in,27566,,
gdc,pgpm.0,1080,1096,Leander,leander,vollem,ADJA,voll,27566,,
gdc,pgpm.0,1080,1096,Leander,leander,Eifer,NN,eifer,27566,,
gdc,pgpm.0,1080,1096,Leander,leander,.,$.,--,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,Er,PPER,er,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,giebt,VVFIN,gieben,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,dem,ART,der,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,Hanswurst,NN,hanswurst,27566,,(1)
gdc,pgpm.0,6070,6105,Leander,leander,einen,ART,ein,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,Brief,NN,brief,27566,,
gdc,pgpm.0,6070,6105,Leander,leander,.,$.,--,27566,,
gdc,pgpm.0,6120,6133,Hanswurst,hanswurst,nihmt,ADJD,nihmen,27566,,
gdc,pgpm.0,6120,6133,Hanswurst,hanswurst,selben,VVINF,selber,27566,,
gdc,pgpm.0,6120,6133,Hanswurst,hanswurst,.,$.,--,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,Ziehet,VVFIN,ziehet,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,einen,ART,ein,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,Brief,NN,brief,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,her,ADV,her,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,aus,PTKVZ,aus,27566,,
gdc,pgpm.0,6992,7019,Hanswurst,hanswurst,.,$.,--,27566,,
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,Geht,VVFIN,gehen,27566,,
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,in,APPR,in,27566,,
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,das,ART,der,27566,,
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,Odoardo,NE,odoardo,27566,,(2)
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,Haus,NN,haus,27566,,
gdc,pgpm.0,7630,7655,Hanswurst,hanswurst,.,$.,--,27566,,
gdc,pgpm.0,7668,7678,Leander,leander,im,APPRART,in,27566,,
gdc,pgpm.0,7668,7678,Leander,leander,Abgehn,NN,abgehn,27566,,
gdc,pgpm.0,7668,7678,Leander,leander,.,$.,--,27566,,
gdc,pgpm.0,7728,7741,Leander,leander,Geht,VVFIN,gehen,27566,,
gdc,pgpm.0,7728,7741,Leander,leander,auch,ADV,auch,27566,,
