corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,pkhc.0,257,882,_Stage,_Stage,Ein,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,vornehmer,ADJA,vornehm,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Salon,NN,salon,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,mit,APPR,mit,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,einer,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Glastür,NN,glastür,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,nach,APPR,nach,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Terrasse,NN,terrasse,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,und,KON,und,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Garten,NN,garten,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,in,APPR,in,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,der,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Tiefe,NN,tiefe,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,.,$.,--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,In,APPR,in,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,der,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Mitte,NN,mitte,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,des,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Zimmers,NN,zimmer,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,ein,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,freier,ADJA,frei,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Schreibtisch,NN,schreibtisch,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,",","$,",--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,etwas,ADV,etwas,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,quer,ADJD,quer,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,gestellt,VVPP,stellen,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,",","$,",--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,wovor,PWAV,wovor,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,ein,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,bequemer,ADJA,bequem,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Arbeitsstuhl,NN,arbeitsstuhl,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,steht,VVFIN,stehen,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,.,$.,--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Ein,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,buntes,ADJA,bunt,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Schultertuch,NN,schultertuch,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,hängt,VVFIN,hängen,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,über,APPR,über,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,die,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Lehne,NN,lehne,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,.,$.,--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Ein,ART,ein,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,grosser,ADJA,gross,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Pelzfussack,NN,pelzfussack,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,liegt,VVFIN,liegen,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,auf,APPR,auf,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,dem,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Bärenfell,NN,bärenfell,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,davor,PROAV,davor,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,.,$.,--,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Auf,APPR,auf,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,dem,ART,der,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Schreibtisch,NN,schreibtisch,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,liegen,VVFIN,liegen,9089,,
gdc,pkhc.0,257,882,_Stage,_Stage,Zeitungen,NN,zeitung,9089,,
