corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
gdc,pkj1.0,859,992,_stage,859,863,Tozi,tozi
gdc,pkj1.0,859,992,_stage,868,873,Ginyo,ginyo
gdc,pkj1.0,994,1362,die_dienerin,1340,1350,der Kaiser,der_kaiser
gdc,pkj1.0,1369,1972,tozi,1391,1396,Giwau,giwau
gdc,pkj1.0,1369,1972,tozi,1403,1413,die Mutter,tozi
gdc,pkj1.0,1369,1972,tozi,1433,1438,Ginyo,ginyo
gdc,pkj1.0,1805,1972,_stage,1848,1853,Giwau,giwau
gdc,pkj1.0,1976,2579,giwau,2036,2039,mir,giwau
gdc,pkj1.0,1976,2579,giwau,2040,2050,der Kaiser,der_kaiser
gdc,pkj1.0,1976,2579,giwau,2081,2085,mich,giwau
gdc,pkj1.0,1976,2579,giwau,2101,2105,mich,giwau
gdc,pkj1.0,1976,2579,giwau,2400,2403,mir,giwau
gdc,pkj1.0,1976,2579,giwau,2441,2444,ich,giwau
gdc,pkj1.0,1976,2579,giwau,2500,2506,Stimme,hotoke
gdc,pkj1.0,1976,2579,giwau,2525,2529,mich,giwau
gdc,pkj1.0,1976,2579,giwau,2536,2540,mich,giwau
gdc,pkj1.0,1976,2579,giwau,2548,2552,mich,giwau
gdc,pkj1.0,1976,2579,giwau,2560,2565,Giwau,giwau
gdc,pkj1.0,3176,4700,giwau,3255,3261,meines,giwau
gdc,pkj1.0,3176,4700,giwau,3305,3310,meine,giwau
gdc,pkj1.0,3176,4700,giwau,3458,3464,meinen,giwau
gdc,pkj1.0,3176,4700,giwau,3531,3534,mir,giwau
gdc,pkj1.0,3176,4700,giwau,3571,3575,mein,giwau
gdc,pkj1.0,3176,4700,giwau,3606,3610,mich,giwau
gdc,pkj1.0,3176,4700,giwau,3623,3629,meiner,giwau
gdc,pkj1.0,3176,4700,giwau,3722,3727,Ginyo,ginyo
gdc,pkj1.0,3176,4700,giwau,3819,3822,mir,giwau
gdc,pkj1.0,3176,4700,giwau,3830,3834,Mein,giwau
gdc,pkj1.0,3176,4700,giwau,3841,3851,Der Kaiser,der_kaiser
gdc,pkj1.0,3176,4700,giwau,4002,4006,mich,giwau
gdc,pkj1.0,4231,4309,_stage,4231,4236,Giwau,giwau
gdc,pkj1.0,3176,4700,giwau,4408,4411,ich,giwau
gdc,pkj1.0,4420,4700,_stage,4474,4479,Giwau,giwau
gdc,pkj1.0,4420,4700,_stage,4484,4489,Giwau,giwau
gdc,pkj1.0,4704,5127,der_kaiser,4820,4825,Giwau,giwau
gdc,pkj1.0,4704,5127,der_kaiser,4833,4839,meiner,der_kaiser
gdc,pkj1.0,4704,5127,der_kaiser,5114,5117,ich,der_kaiser
gdc,pkj1.0,5133,5892,giwau,5205,5208,mir,giwau
gdc,pkj1.0,5133,5892,giwau,5250,5256,meiner,giwau
gdc,pkj1.0,5133,5892,giwau,5307,5310,ich,giwau
gdc,pkj1.0,5133,5892,giwau,5386,5392,Stimme,hotoke
gdc,pkj1.0,5898,6060,der_kaiser,6047,6052,Giwau,giwau
gdc,pkj1.0,6065,6199,giwau,6147,6152,meine,giwau
gdc,pkj1.0,6247,6763,giwau,6493,6499,meinen,giwau
gdc,pkj1.0,6564,6763,_stage,6653,6663,Der Kaiser,der_kaiser
gdc,pkj1.0,6767,7438,hotoke,6794,6798,mich,hotoke
gdc,pkj1.0,6767,7438,hotoke,6850,6853,ich,hotoke
gdc,pkj1.0,6767,7438,hotoke,6858,6864,Hotoke,hotoke
gdc,pkj1.0,6767,7438,hotoke,6867,6873,Hotoke,hotoke
gdc,pkj1.0,6767,7438,hotoke,6894,6898,mein,hotoke
gdc,pkj1.0,6767,7438,hotoke,6900,6906,Hotoke,hotoke
gdc,pkj1.0,6767,7438,hotoke,7000,7006,meinen,hotoke
gdc,pkj1.0,6767,7438,hotoke,7032,7038,meiner,hotoke
gdc,pkj1.0,6767,7438,hotoke,7226,7230,mich,hotoke
gdc,pkj1.0,7245,7438,_stage,7245,7251,Hotoke,hotoke
gdc,pkj1.0,7245,7438,_stage,7370,7375,Giwau,giwau
gdc,pkj1.0,7245,7438,_stage,7422,7428,Hotoke,hotoke
gdc,pkj1.0,7442,7608,hotoke,7535,7538,Ich,hotoke
gdc,pkj1.0,7442,7608,hotoke,7589,7592,ich,hotoke
gdc,pkj1.0,7442,7608,hotoke,7601,7607,Hotoke,hotoke
gdc,pkj1.0,7614,7949,der_kaiser,7634,7640,Hotoke,hotoke
gdc,pkj1.0,7614,7949,der_kaiser,7668,7674,Hotoke,hotoke
gdc,pkj1.0,7614,7949,der_kaiser,7775,7781,Stimme,hotoke
gdc,pkj1.0,8182,8702,der_kaiser,8223,8228,Giwau,giwau
gdc,pkj1.0,8324,8358,_stage,8351,8357,Hotoke,hotoke
gdc,pkj1.0,8375,8404,_stage,8388,8393,Giwau,giwau
gdc,pkj1.0,8182,8702,der_kaiser,8409,8414,Giwau,giwau
gdc,pkj1.0,8587,8636,_stage,8621,8627,Hotoke,hotoke
gdc,pkj1.0,8182,8702,der_kaiser,8649,8652,Ich,der_kaiser
gdc,pkj1.0,8675,8702,_stage,8675,8681,Hotoke,hotoke
gdc,pkj1.0,8707,9197,giwau,8740,8746,Hotoke,hotoke
gdc,pkj1.0,8749,8837,_stage,8757,8763,Hotoke,hotoke
gdc,pkj1.0,8749,8837,_stage,8809,8814,Giwau,giwau
gdc,pkj1.0,8707,9197,giwau,8838,8841,Ich,giwau
gdc,pkj1.0,8872,8908,_stage,8872,8878,Hotoke,hotoke
gdc,pkj1.0,8707,9197,giwau,8914,8918,mein,giwau
gdc,pkj1.0,8707,9197,giwau,9180,9190,der Kaiser,der_kaiser
gdc,pkj1.0,9203,9255,der_kaiser,9220,9225,Giwau,giwau
gdc,pkj1.0,9203,9255,der_kaiser,9228,9231,Ich,der_kaiser
gdc,pkj1.0,9468,9541,_stage,9468,9478,Der Kaiser,der_kaiser
gdc,pkj1.0,9542,9616,_stage,9542,9548,Hotoke,hotoke
gdc,pkj1.0,9620,9696,ein_diener,9649,9659,Der Kaiser,der_kaiser
gdc,pkj1.0,9701,9890,hotoke,9730,9735,meine,hotoke
gdc,pkj1.0,9701,9890,hotoke,9830,9834,mein,hotoke
gdc,pkj1.0,9896,9954,giwau,9937,9943,Hotoke,hotoke
gdc,pkj1.0,9959,10384,hotoke,9990,9993,Ich,hotoke
gdc,pkj1.0,9959,10384,hotoke,10046,10050,mein,hotoke
gdc,pkj1.0,9959,10384,hotoke,10085,10090,meine,hotoke
gdc,pkj1.0,9959,10384,hotoke,10140,10145,meine,hotoke
gdc,pkj1.0,9959,10384,hotoke,10169,10173,mich,hotoke
gdc,pkj1.0,9959,10384,hotoke,10174,10184,der Kaiser,der_kaiser
gdc,pkj1.0,9959,10384,hotoke,10234,10240,meinem,hotoke
gdc,pkj1.0,9959,10384,hotoke,10317,10320,ich,hotoke
gdc,pkj1.0,9959,10384,hotoke,10343,10346,ich,hotoke
gdc,pkj1.0,10420,10793,hotoke,10451,10454,Ich,hotoke
gdc,pkj1.0,10420,10793,hotoke,10612,10617,meine,hotoke
gdc,pkj1.0,10420,10793,hotoke,10638,10643,meine,hotoke
gdc,pkj1.0,10420,10793,hotoke,10664,10667,Ich,hotoke
