corpus,drama,figure_surface,figure_id,Gender,Age
gdc,pksn.0,THEOBALD,theobald,,
gdc,pksn.0,AGNES,agnes,,
gdc,pksn.0,KNIPPELDOLLINGER,knippeldollinger,,
gdc,pksn.0,BARBARA,barbara,,
gdc,pksn.0,CASPAR BERNAUER,caspar_bernauer,,
gdc,pksn.0,ALBRECHT,albrecht,,
gdc,pksn.0,BÜRGERMEISTER,bürgermeister,,
gdc,pksn.0,NOTHHAFFT VON WERNBERG,nothhafft_von_wernberg,,
gdc,pksn.0,FRAUENHOVEN,frauenhoven,,
gdc,pksn.0,TÖRRING,törring,,
gdc,pksn.0,MARTHA,martha,,
gdc,pksn.0,ERNST,ernst,,
gdc,pksn.0,STACHUS,stachus,,
gdc,pksn.0,PREISING,preising,,
gdc,pksn.0,KASTELLAN,kastellan,,
gdc,pksn.0,MARSCHALL,marschall,,
gdc,pksn.0,PIENZENAU,pienzenau,,
gdc,pksn.0,HANS VON LÄUBELFING,hans_von_läubelfing,,
gdc,pksn.0,DER KASTELLAN,der_kastellan,,
gdc,pksn.0,PAPPENHEIM,pappenheim,,
gdc,pksn.0,DIE KNECHTE,die_knechte,,
gdc,pksn.0,DIE REISIGEN,die_reisigen,,
gdc,pksn.0,EMERAN NUSPERGER ZU KALMPERG,emeran_nusperger_zu_kalmperg,,
gdc,pksn.0,EIN HÄSCHER,ein_häscher,,
gdc,pksn.0,IGNAZ VON SEYBOLTSTORFF,ignaz_von_seyboltstorff,,
gdc,pksn.0,OTTO VON BERN,otto_von_bern,,
gdc,pksn.0,EINIGE,einige,,
gdc,pksn.0,ANDERE,andere,,
gdc,pksn.0,ROLF VON FRAUENHOVEN,rolf_von_frauenhoven,,
gdc,pksn.0,STIMMEN,stimmen,,
gdc,pksn.0,ANDERE STIMMEN,andere_stimmen,,
gdc,pksn.0,DER HEROLD,der_herold,,
gdc,pksn.0,NOTHHAFFT,nothhafft,,
gdc,pksn.0,VIELE STIMMEN,viele_stimmen,,
gdc,pksn.0,Agnes Bernauer,de,"Hebbel, Friedrich",118547445,,,0,1855,1852,0
