corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,pm7m.0,835,1063,Assad,assad,Welch,PWAT,welch,15454,,
gdc,pm7m.0,835,1063,Assad,assad,eine,ART,ein,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Pracht,NN,pracht,15454,,
gdc,pm7m.0,835,1063,Assad,assad,"!",$.,--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,O,NE,O,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Hakam,NE,hakam,15454,hakam,(1)
gdc,pm7m.0,835,1063,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,schau,VVFIN,schau,15454,,
gdc,pm7m.0,835,1063,Assad,assad,dich,PPER,dich,15454,,
gdc,pm7m.0,835,1063,Assad,assad,um,APPR,um,15454,,
gdc,pm7m.0,835,1063,Assad,assad,"!",$.,--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Was,PWS,was,15454,,
gdc,pm7m.0,835,1063,Assad,assad,das,PDS,der,15454,,
gdc,pm7m.0,835,1063,Assad,assad,für,APPR,für,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Häuser,NN,haus,15454,,
gdc,pm7m.0,835,1063,Assad,assad,sind,VAFIN,sein,15454,,
gdc,pm7m.0,835,1063,Assad,assad,und,KON,und,15454,,
gdc,pm7m.0,835,1063,Assad,assad,was,PWS,was,15454,,
gdc,pm7m.0,835,1063,Assad,assad,für,APPR,für,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Gassen,NN,gasse,15454,,
gdc,pm7m.0,835,1063,Assad,assad,"!",$.,--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Kaum,ADV,kaum,15454,,
gdc,pm7m.0,835,1063,Assad,assad,glauben,VVINF,glauben,15454,,
gdc,pm7m.0,835,1063,Assad,assad,kann,VMFIN,können,15454,,
gdc,pm7m.0,835,1063,Assad,assad,ichs,NE,ichs,15454,,
gdc,pm7m.0,835,1063,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,daß,KOUS,daß,15454,,
gdc,pm7m.0,835,1063,Assad,assad,die,ART,der,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Wunderstadt,NN,wunderstadt,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Von,APPR,von,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Menschenhand,NN,menschenhand,15454,,
gdc,pm7m.0,835,1063,Assad,assad,erbaut,VVPP,erbauen,15454,,
gdc,pm7m.0,835,1063,Assad,assad,ward,VVFIN,ward,15454,,
gdc,pm7m.0,835,1063,Assad,assad,und,KON,und,15454,,
gdc,pm7m.0,835,1063,Assad,assad,noch,ADV,noch,15454,,
gdc,pm7m.0,835,1063,Assad,assad,minder,ADV,minder,15454,,
gdc,pm7m.0,835,1063,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Daß,KOUS,daß,15454,,
gdc,pm7m.0,835,1063,Assad,assad,sie,PPER,sie,15454,,
gdc,pm7m.0,835,1063,Assad,assad,ein,ART,ein,15454,,
gdc,pm7m.0,835,1063,Assad,assad,Menschenfuß,NN,menschenfuß,15454,,
gdc,pm7m.0,835,1063,Assad,assad,betreten,VVINF,betreten,15454,,
gdc,pm7m.0,835,1063,Assad,assad,darf,VMFIN,dürfen,15454,,
gdc,pm7m.0,835,1063,Assad,assad,–,XY,–,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,Und,KON,und,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,stehst,VVFIN,stehsen,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,doch,ADV,doch,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,selbst,ADV,selbst,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,darin,PROAV,darin,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,",","$,",--,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,und,KON,und,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,obendrein,ADV,obendrein,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,Mit,APPR,mit,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,Füßen,NN,fuß,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,",","$,",--,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,die,PRELS,der,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,nicht,PTKNEG,nicht,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,gar,ADV,gar,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,zu,PTKA,zu,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,sauber,ADJD,sauber,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,sind,VAFIN,sein,15454,,
gdc,pm7m.0,1069,1162,Hakam,hakam,"!",$.,--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Schau,NN,schau,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,dort,ADV,dort,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,das,ART,der,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Minarett,NN,minarett,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,"!",$.,--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Der,ART,der,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Halbmond,NN,halbmond,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,drauf,PROAV,drauf,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Sieht,VVFIN,sehen,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,er,PPER,er,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,nicht,PTKNEG,nicht,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,ganz,ADV,ganz,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,so,ADV,so,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,aus,PTKVZ,aus,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,",","$,",--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,als,KOKOM,als,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,hätt,VAFIN,hätt,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,man,PIS,man,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,ihn,PPER,ihn,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,So,ADV,so,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,von,APPR,von,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,der,ART,der,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Himmelsdecke,NN,himmelsdecke,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,weggerissen,VVPP,weggerissen,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,?,$.,--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Und,KON,und,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,drüben,ADV,drüben,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,der,ART,der,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Palast,NN,palast,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,"!",$.,--,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Ein,ART,ein,15454,,
gdc,pm7m.0,1168,1537,Assad,assad,Fenster,NN,fenster,15454,,
