corpus,drama,figure_surface,figure_id,Gender,Age
gdc,pm99.0,Der Graf,der_graf,MALE,
gdc,pm99.0,Erster Kavalier,erster_kavalier,MALE,
gdc,pm99.0,Schlüter,schlueter,MALE,
gdc,pm99.0,Zweite Dame,zweite_dame,FEMALE,
gdc,pm99.0,Dritte Dame,dritte_dame,FEMALE,
gdc,pm99.0,Doktor Pfeffer,doktor_pfeffer,MALE,
gdc,pm99.0,Die Hofmeisterin,die_hofmeisterin,FEMALE,
gdc,pm99.0,Die Aftermuse/Musa,die_aftermuse_musa,FEMALE,
gdc,pm99.0,Die Prinzessin,die_prinzessin,FEMALE,
gdc,pm99.0,Kilian,kilian,MALE,
gdc,pm99.0,Jacob,jacob,MALE,
gdc,pm99.0,Der Prinz,der_prinz,MALE,
gdc,pm99.0,Der Jäger,der_jaeger,MALE,
gdc,pm99.0,Die Muse,die_muse,FEMALE,
gdc,pm99.0,König,der_koenig,MALE,
gdc,pm99.0,Barbara,barbara,FEMALE,
gdc,pm99.0,Die Königin,koenigin,FEMALE,
gdc,pm99.0,Zweiter Kavalier,zweiter_kavalier,MALE,
gdc,pm99.0,Jörg,joerg,MALE,
gdc,pm99.0,Erste Dame,erste_dame,FEMALE,
gdc,pm99.0,Benjamin,benjamin,MALE,
gdc,pm99.0,Der Dichter,der_dichter,MALE,
gdc,pm99.0,Meister Block,block,MALE,
