corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,pmfw.0,kuester,24,
gdc,pmfw.0,buergermeister,18,
gdc,pmfw.0,marina,5,
gdc,pmfw.0,marfa,14,
gdc,pmfw.0,laienschwester,15,
gdc,pmfw.0,schuiskoi,10,
gdc,pmfw.0,demetrius,4,
gdc,pmfw.0,basmanow,8,
gdc,pmfw.0,hiob,12,
gdc,pmfw.0,ossip,20,
gdc,pmfw.0,poniatowsky,1,
gdc,pmfw.0,maschinka,3,
gdc,pmfw.0,odowalsky,0,
gdc,pmfw.0,boris,11,
gdc,pmfw.0,rurik,19,
gdc,pmfw.0,petrowitsch,21,
gdc,pmfw.0,soldat,23,
gdc,pmfw.0,stimmen_3-20,26,
gdc,pmfw.0,mniczek,6,
gdc,pmfw.0,geschrei_volk,27,
gdc,pmfw.0,stimmen_vorspiel-13,25,
gdc,pmfw.0,barbara,22,
gdc,pmfw.0,gregory,2,
gdc,pmfw.0,otrepiep,16,
gdc,pmfw.0,kardinal-legat,7,
gdc,pmfw.0,aebtissin,13,
gdc,pmfw.0,adjutant,17,
gdc,pmfw.0,mstislawski,9,
