corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc,pvxf.0,simeon,8,
gdc,pvxf.0,repnin,1,
gdc,pvxf.0,schuiski,16,
gdc,pvxf.0,diener_1b,29,
gdc,pvxf.0,erster_bojar_1,11,
gdc,pvxf.0,boris,5,
gdc,pvxf.0,diener_1a,0,
gdc,pvxf.0,der_bote_1a,9,
gdc,pvxf.0,einer_4a,26,
gdc,pvxf.0,maria,6,
gdc,pvxf.0,arzt,15,
gdc,pvxf.0,bote_1c,13,
gdc,pvxf.0,irina,14,
gdc,pvxf.0,moench,17,
gdc,pvxf.0,christian,7,
gdc,pvxf.0,zweiter,28,
gdc,pvxf.0,ksenja,4,
gdc,pvxf.0,der_rotbart,23,
gdc,pvxf.0,einer_4b,27,
gdc,pvxf.0,der_irre,22,
gdc,pvxf.0,die_menge_geschrei_stimmen,30,
gdc,pvxf.0,der_weissbart,25,
gdc,pvxf.0,der_schwarzbart,24,
gdc,pvxf.0,erster_bojar_2,18,
gdc,pvxf.0,eine_stimme,21,
gdc,pvxf.0,ilja,20,
gdc,pvxf.0,bassmanof,10,
gdc,pvxf.0,bote_1b,12,
gdc,pvxf.0,fiodor,3,
gdc,pvxf.0,zweiter_bojar,19,
gdc,pvxf.0,galizin,2,
