corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,pvxk.0,1502,1679,Costa,costa,Das,PDS,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,ist,VAFIN,sein,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,der,ART,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Streit,NN,streit,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,von,APPR,von,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Flut,NN,flut,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,und,KON,und,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Feuer,NN,feuer,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,",","$,",--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Kind,NN,kind,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,.,$.,--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Du,PPER,du,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,fragst,VVFIN,fragen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,",","$,",--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,wer,PWS,wer,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,stärker,ADJD,stark,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,ist,VAFIN,sein,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,?,$.,--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,dies,PDS,dieser,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,zeigt,VVFIN,zeigen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,sich,PRF,sich,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,so,ADV,so,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Wie,NN,wie,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,',$(,--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,s,PPER,--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,eben,ADV,eben,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,kommt,VVFIN,kommen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,.,$.,--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Den,ART,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Tropfen,NN,tropfen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,frißt,VVFIN,fressen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,die,ART,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Flamme,NN,flamme,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,",","$,",--,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Der,ART,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Regen,NN,regen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,löscht,VVFIN,löschen,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,den,ART,der,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,Herd,NN,herd,22576,,
gdc,pvxk.0,1502,1679,Costa,costa,.,$.,--,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,Was,PWS,was,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,schwatzest,VVFIN,schwatzeen,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,du,PPER,du,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,"!",$.,--,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,Den,ART,der,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,Zaren,NN,zar,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,meinst,VVFIN,meinst,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,du,PPER,du,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,",","$,",--,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,wenn,KOUS,wenn,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,ich,PPER,ich,22576,afanassjitsch,(1)
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,dich,PRF,dich,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,verstand,VVFIN,verstehen,22576,,
gdc,pvxk.0,1685,1797,Afanássjitsch,afanassjitsch,",","$,",--,22576,,
