corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,q41n.0,713,927,DON JUAN,don_juan,Geh,VVIMP,geh,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,nun,ADV,nun,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,voraus,ADV,voraus,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,",","$,",--,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,Alter,NN,alter,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,"!",$.,--,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,Ich,PPER,ich,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,bedarf,VVFIN,bedürfen,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,deiner,PPOSAT,dein,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,nicht,PTKNEG,nicht,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,mehr,ADV,mehr,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,und,KON,und,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,will,VMFIN,wollen,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,hier,ADV,hier,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,einen,ART,ein,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,Augenblick,NN,augenblick,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,rasten,VVINF,rasten,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,.,$.,--,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,Da,ADV,da,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,liegt,VVFIN,liegen,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,ja,ADV,ja,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,wahrlich,ADV,wahrlich,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,auch,ADV,auch,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,mein,PPOSAT,mein,22084,DON JUAN,don_juan
gdc,q41n.0,713,927,DON JUAN,don_juan,Diener,NN,diener,22084,EIN DIENER,ein_diener
gdc,q41n.0,713,927,DON JUAN,don_juan,noch,ADV,noch,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,",","$,",--,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,wo,PWAV,wo,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,wir,PPER,wir,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,ihn,PPER,ihn,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,verlassen,VVPP,verlassen,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,haben,VAFIN,haben,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,.,$.,--,22084,,
gdc,q41n.0,713,927,DON JUAN,don_juan,He,NN,--,22084,,
