corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,qd6w.0,432,73471,0,543,4320,0
gdc,qd6w.0,432,73471,0,4327,4875,0
gdc,qd6w.0,432,73471,0,4881,19337,0
gdc,qd6w.0,432,73471,0,19344,19863,0
gdc,qd6w.0,432,73471,0,19869,20767,0
gdc,qd6w.0,432,73471,0,20774,27333,0
gdc,qd6w.0,432,73471,0,27339,31319,0
gdc,qd6w.0,432,73471,0,31326,43233,0
gdc,qd6w.0,432,73471,0,43240,43482,0
gdc,qd6w.0,432,73471,0,43488,45715,0
gdc,qd6w.0,432,73471,0,45722,46808,0
gdc,qd6w.0,432,73471,0,46814,53844,0
gdc,qd6w.0,432,73471,0,53850,58060,0
gdc,qd6w.0,432,73471,0,58066,59003,0
gdc,qd6w.0,432,73471,0,59009,62222,0
gdc,qd6w.0,432,73471,0,62230,67929,0
gdc,qd6w.0,432,73471,0,67936,68360,0
gdc,qd6w.0,432,73471,0,68367,72215,0
gdc,qd6w.0,432,73471,0,72221,72424,0
gdc,qd6w.0,432,73471,0,72431,73471,0
gdc,qd6w.0,73479,134606,0,73708,84225,0
gdc,qd6w.0,73479,134606,0,84232,93846,0
gdc,qd6w.0,73479,134606,0,93852,97852,0
gdc,qd6w.0,73479,134606,0,97859,98634,0
gdc,qd6w.0,73479,134606,0,98641,99452,0
gdc,qd6w.0,73479,134606,0,99458,100783,0
gdc,qd6w.0,73479,134606,0,100790,101323,0
gdc,qd6w.0,73479,134606,0,101331,101830,0
gdc,qd6w.0,73479,134606,0,101837,102064,0
gdc,qd6w.0,73479,134606,0,102071,112716,0
gdc,qd6w.0,73479,134606,0,112723,113779,0
gdc,qd6w.0,73479,134606,0,113786,115797,0
gdc,qd6w.0,73479,134606,0,115804,122376,0
gdc,qd6w.0,73479,134606,0,122383,134606,0
gdc,qd6w.0,134614,185703,0,134878,135842,0
gdc,qd6w.0,134614,185703,0,135849,143626,0
gdc,qd6w.0,134614,185703,0,143632,146027,0
gdc,qd6w.0,134614,185703,0,146034,150182,0
gdc,qd6w.0,134614,185703,0,150188,157197,0
gdc,qd6w.0,134614,185703,0,157203,158005,0
gdc,qd6w.0,134614,185703,0,158012,162703,0
gdc,qd6w.0,134614,185703,0,162710,172046,0
gdc,qd6w.0,134614,185703,0,172052,172473,0
gdc,qd6w.0,134614,185703,0,172481,174914,0
gdc,qd6w.0,134614,185703,0,174920,175869,0
gdc,qd6w.0,134614,185703,0,175876,178642,0
gdc,qd6w.0,134614,185703,0,178648,184213,0
gdc,qd6w.0,134614,185703,0,184220,185703,0
