corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qdj2.0,1161,1329,Olivier,olivier,Rekrut,NN,rekrut,44207,rekrut,(1)
gdc,qdj2.0,1161,1329,Olivier,olivier,",","$,",--,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,hierher,PROAV,hierher,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,Spring,NE,spring,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,Rekrut,NE,rekrut,44207,rekrut,(1)
gdc,qdj2.0,1161,1329,Olivier,olivier,",","$,",--,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,und,KON,und,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,hol,VAFIN,hol,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,mir,PPER,sich,44207,olivier,(0)
gdc,qdj2.0,1161,1329,Olivier,olivier,Feuer,NN,feuer,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,zur,APPRART,zu,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,Pfeife,NN,pfeife,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,Ich,PPER,ich,44207,olivier,(0)
gdc,qdj2.0,1161,1329,Olivier,olivier,will,VMFIN,wollen,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,Tabak,NN,tabak,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,rauchen,VVINF,rauchen,44207,,
gdc,qdj2.0,1161,1329,Olivier,olivier,.,$.,--,44207,,
gdc,qdj2.0,1334,1362,Rekrut,rekrut,Ja,PTKANT,ja,44207,,
gdc,qdj2.0,1334,1362,Rekrut,rekrut,",","$,",--,44207,,
gdc,qdj2.0,1334,1362,Rekrut,rekrut,Herr,NN,herr,44207,,
gdc,qdj2.0,1334,1362,Rekrut,rekrut,"!",$.,--,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,Zu,APPR,zu,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,Befehl,NN,befehl,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,",","$,",--,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,Herr,NN,herr,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,Gefreiter,NN,gefreiter,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,",","$,",--,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,hast,VAFIN,haben,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,du,PPER,du,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,zu,PTKZU,zu,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,sagen,VVINF,sagen,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,Verstanden,VVPP,verstehen,44207,,
gdc,qdj2.0,1366,1431,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1436,1453,Rekrut,rekrut,Ja,PTKANT,ja,44207,,
gdc,qdj2.0,1436,1453,Rekrut,rekrut,",","$,",--,44207,,
gdc,qdj2.0,1436,1453,Rekrut,rekrut,Herr,NN,herr,44207,,
gdc,qdj2.0,1436,1453,Rekrut,rekrut,.,$.,--,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,Eselskopf,NN,eselskopf,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,Dreckschädel,NE,dreckschädel,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,Bougre,NE,bougre,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,Larron,NE,larron,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,"!",$.,--,44207,,
gdc,qdj2.0,1458,1547,Olivier,olivier,maledetta,NE,maledetta,44207,,
