corpus,drama,figure_surface,figure_id,Gender,Age
gdc,qdm9.0,Ein Mann/Der Bote,ein_mann_der_bote,MALE,
gdc,qdm9.0,Der Sterbende,der_sterbende,MALE,
gdc,qdm9.0,Türhüter,tuerhueter,MALE,
gdc,qdm9.0,Die Diener,die_diener,MALE,
gdc,qdm9.0,Ein Diener (II. Aufzug),ein_diener_2a,MALE,
gdc,qdm9.0,Magier,magier,MALE,
gdc,qdm9.0,Sechster,sechster_bote,MALE,
gdc,qdm9.0,Volk,das_volk,UNKNOWN,
gdc,qdm9.0,Fünfter,fuenfter_bote,MALE,
gdc,qdm9.0,Die Greise,die_greise,MALE,
gdc,qdm9.0,Der Wagenlenker,der_wagenlenker,MALE,
gdc,qdm9.0,Teiresias,teiresias,MALE,
gdc,qdm9.0,Ein Diener (I. Aufzug),ein_diener_1,MALE,
gdc,qdm9.0,Dritter Bote,dritter_bote,MALE,
gdc,qdm9.0,Der Herold des Laïos,herold,MALE,
gdc,qdm9.0,Ermos,ermos,MALE,
gdc,qdm9.0,Vierter,vierter_bote,MALE,
gdc,qdm9.0,Bote,erster_bote,MALE,
gdc,qdm9.0,Die Frauen,die_frauen,FEMALE,
gdc,qdm9.0,Kreon,kreon,MALE,
gdc,qdm9.0,Knabe,der_knabe,MALE,
gdc,qdm9.0,Elatos,elatos,MALE,
gdc,qdm9.0,Wärter,waerter,MALE,
gdc,qdm9.0,Die Mägde,die_maegde,FEMALE,
gdc,qdm9.0,Ödipus,oedipus,MALE,
gdc,qdm9.0,Zweiter Bote,zweiter_bote,MALE,
gdc,qdm9.0,Antiope,antiope,FEMALE,
gdc,qdm9.0,Knabe,das_kind,MALE,
gdc,qdm9.0,Phönix,phoenix,MALE,
gdc,qdm9.0,Laïos,laios,MALE,
gdc,qdm9.0,Jokaste,jokaste,FEMALE,
gdc,qdm9.0,Ein Diener (II. Aufzug),ein_diener_2b,MALE,
gdc,qdm9.0,Stimmen,die_stimmen,UNKNOWN,
gdc,qdm9.0,Zwerg,zwerg,MALE,
