corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qdqn.0,849,953,Fischer,der_fischer,',$(,--,27289,,
gdc,qdqn.0,849,953,Fischer,der_fischer,s,PPER,--,27289,,
gdc,qdqn.0,849,953,Fischer,der_fischer,ist,VAFIN,sein,27289,,
gdc,qdqn.0,849,953,Fischer,der_fischer,niemand,PIS,niemand,27289,,
gdc,qdqn.0,849,953,Fischer,der_fischer,da,ADV,da,27289,,
gdc,qdqn.0,849,953,Fischer,der_fischer,.,$.,--,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,Nu,PTKANT,nu,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,",","$,",--,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,hast,VAFIN,haben,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,du,PPER,du,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,ihrs,NN,ihr,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,gesagt,VVPP,sagen,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,?,$.,--,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,Hast,VAFIN,haben,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,du,PPER,du,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,sie,PPER,sie,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,angeredet,VVPP,anreden,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,um,APPR,um,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,den,ART,der,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,Dienst,NN,dienst,27289,,
gdc,qdqn.0,957,1061,Fischersfrau,des_fischers_frau,?,$.,--,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,Sie,PPER,sie,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,hat,VAFIN,haben,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,ja,ADV,ja,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,doch,ADV,doch,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,kein,PIAT,kein,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,Mannsbild,NN,mannsbild,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,in,APPR,in,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,der,ART,der,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,Wirtschaft,NN,wirtschaft,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,.,$.,--,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,Wir,PPER,wir,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,lassen,VVFIN,lassen,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,ihn,PPER,ihn,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,.,$.,--,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,Ist,VAFIN,sein,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,alles,PIS,alle,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,eins,PIS,eins,27289,,
gdc,qdqn.0,1067,1159,Fischer,der_fischer,.,$.,--,27289,,
gdc,qdqn.0,1165,1194,Fischersfrau,des_fischers_frau,Drei,CARD,drei,27289,,
gdc,qdqn.0,1165,1194,Fischersfrau,des_fischers_frau,Mädel,NN,mädel,27289,,
gdc,qdqn.0,1165,1194,Fischersfrau,des_fischers_frau,Sind,VAFIN,sein,27289,,
gdc,qdqn.0,1165,1194,Fischersfrau,des_fischers_frau,drin,ADV,drin,27289,,
gdc,qdqn.0,1165,1194,Fischersfrau,des_fischers_frau,.,$.,--,27289,,
gdc,qdqn.0,1200,1221,Fischer,der_fischer,Kein,PIAT,kein,27289,,
gdc,qdqn.0,1200,1221,Fischer,der_fischer,Mensch,NN,mensch,27289,,
gdc,qdqn.0,1200,1221,Fischer,der_fischer,"!",$.,--,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,Drei,CARD,drei,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,junge,ADJA,jung,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,starke,ADJA,stark,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,Mädel,NN,mädel,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,",","$,",--,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,Ich,PPER,ich,27289,des_fischers_frau,(1)
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,weiß,VVFIN,weiß,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,doch,ADV,doch,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,"!",$.,--,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,Jesus,NE,Jesus,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,",","$,",--,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,geh,XY,gehen,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,doch,ADV,doch,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,",","$,",--,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,red,VVFIN,red,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,sie,PPER,sie,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,an,PTKVZ,an,27289,,
gdc,qdqn.0,1226,1302,Fischersfrau,des_fischers_frau,"!",$.,--,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,Von,APPR,von,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,woher,PWAV,woher,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,sollten,VMFIN,sollen,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,denn,ADV,denn,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,drei,CARD,drei,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,Mädel,NN,mädel,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,da,ADV,da,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,sein,VAINF,sein,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,",","$,",--,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,Wer,PWS,wer,27289,,
gdc,qdqn.0,1308,1428,Fischer,der_fischer,sollten,VMFIN,sollen,27289,,
