corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qfxj.0,3203,3428,Franz,franz,Uns,PPER,uns,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,trennet,VVFIN,trennen,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,kein,PIAT,kein,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Schicksal,NN,schicksal,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,",","$,",--,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,uns,PPER,uns,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,trennet,VVFIN,trennet,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,kein,PIAT,kein,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Schmerz,NN,schmerz,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,",","$,",--,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Uns,NN,uns,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,trennet,VVFIN,trennen,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,kein,PIAT,kein,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Schmerz,NN,schmerz,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,;,$.,--,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Wir,PPER,wir,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,halten,VVFIN,halten,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,zusammen,PTKVZ,zusammen,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,",","$,",--,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,In,APPR,in,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Fluthen,NN,fluthen,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,und,KON,und,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Flammen,NN,flamme,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,",","$,",--,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,In,APPR,in,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Freuden,NN,freude,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,und,KON,und,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Leiden,NN,leiden,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,bewährt,VVFIN,bewähren,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,sich,PRF,sich,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,das,ART,der,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,Herz,NN,herz,8356,,
gdc,qfxj.0,3203,3428,Franz,franz,.,$.,--,8356,,
gdc,qfxj.0,3203,3428,Louise,louise,Uns,PPER,uns,8356,,
gdc,qfxj.0,3203,3428,Louise,louise,trennet,VVFIN,trennen,8356,,
gdc,qfxj.0,3203,3428,Louise,louise,kein,PIAT,kein,8356,,
gdc,qfxj.0,3203,3428,Louise,louise,Schicksal,NN,schicksal,8356,,
