corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,qhpn.0,192,329,_Stage,_Stage,Schon,ADV,schon,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,bevor,KOUS,bevor,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,der,ART,der,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,Vorhang,NN,vorhang,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,hochgeht,VVFIN,hochgehen,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,",","$,",--,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,ertönt,VVFIN,ertönen,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,auf,APPR,auf,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,einem,ART,ein,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,Harmonium,NN,harmonium,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,gespielt,VVFIN,spielen,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,das,ART,der,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,Thema,NN,thema,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,des,ART,der,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,zweiten,ADJA,zweiter,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,Satzes,NN,satz,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,aus,APPR,aus,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,dem,ART,der,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,Schubertschen,ADJA,schubertsch,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,D-Moll-Quartett,NN,d-moll-quartett,79786,,
gdc,qhpn.0,192,329,_Stage,_Stage,:,$.,--,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Bei,APPR,bei,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,der,ART,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Wiederholung,NN,wiederholung,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,des,ART,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,zweiten,ADJA,zweiter,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Teils,NN,teil,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,",","$,",--,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,an,APPR,an,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,der,PRELS,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,mit,APPR,mit,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,einem,ART,ein,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Kreuz,NN,kreuz,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,bezeichneten,ADJA,bezeichnet,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Stelle,NN,stelle,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,",","$,",--,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,teilt,VVFIN,teilen,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,sich,PRF,sich,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,langsam,ADJD,langsam,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,der,ART,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Vorhang,NN,vorhang,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,.,$.,--,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,An,APPR,an,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,der,ART,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,mit,APPR,mit,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,einem,ART,ein,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Doppelkreuz,NN,doppelkreuz,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,bezeichneten,ADJA,bezeichnet,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Stelle,NN,stelle,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,ist,VAFIN,sein,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,er,PPER,er,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,voll,ADJD,voll,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,auseinander,ADV,auseinander,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,gegangen,VVPP,gehen,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,.,$.,--,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Die,ART,der,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,Bühne,NN,bühne,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,stellt,VVFIN,stellen,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,ein,ART,ein,79786,,
gdc,qhpn.0,335,3072,_Stage,_Stage,hohes,ADJA,hoch,79786,,
